#,impact,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,topic_10,topic_100,topic_200,topic_300,topic_400
1,Nondelay,0,2007-03-17 00:00:00,Story,353,0,0,0,Major,7,1,1,1,2,0,1,0,0,0,9,88,173,255,344
2,Nondelay,0,2007-09-07 00:00:00,Story,300,0,0,3,Blocker,3,2,1,1,5,4,0,0,0,1,9,84,167,293,275
3,Nondelay,0,2007-09-14 00:00:00,Story,192,0,0,0,Minor,2,0,1,1,0,0,0,0,0,0,6,95,196,74,328
4,Nondelay,0,2007-11-27 00:00:00,Story,219,0,0,9,Minor,2,0,2,1,1,1,0,0,0.5714285714285714,0,8,16,98,252,371
5,Nondelay,0,2008-02-01 00:00:00,Bug,394,0,0,14,Trivial,3,0,1,1,0,0,0,0,0,1,6,60,143,273,339
6,high,185,2008-02-22 00:00:00,Story,546,1,0,1,Minor,5,3,1,1,0,0,0,0,0,0,10,74,102,290,365
7,high,200,2008-03-04 00:00:00,Story,320,1,0,7,Minor,3,3,1,1,0,0,0,0,0.8,0,8,92,19,216,350
8,high,116,2008-04-01 00:00:00,Story,95,1,11,9,Blocker,3,3,1,0,0,0,0,0,0.47058823529411764,0,8,92,190,138,183
9,low,5,2008-05-05 00:00:00,Bug,89,0,0,28,Minor,3,2,1,1,1,0,0,1,0.5714285714285714,0,8,82,190,48,376
10,high,71,2008-05-14 00:00:00,Story,362,1,0,1,Major,4,0,1,2,1,0,0,0,0.47368421052631576,1,4,29,35,119,7
11,Nondelay,0,2008-06-04 00:00:00,Bug,74,0,0,0,Minor,2,0,1,1,0,0,0,1,0,0,6,47,193,288,331
12,high,107,2008-06-04 00:00:00,Bug,115,1,0,0,Minor,3,3,2,2,0,0,0,2,0,0,2,100,42,283,292
13,Nondelay,0,2008-06-04 00:00:00,Bug,57,0,0,10,Minor,2,0,1,2,0,0,0,1,0,0,7,70,190,272,333
14,high,107,2008-06-04 00:00:00,Bug,115,1,0,0,Minor,3,3,2,2,0,0,0,2,0,0,4,68,158,258,242
15,low,5,2008-06-14 00:00:00,Bug,69,0,3,29,Minor,3,2,1,1,1,0,0,1,0.84,0,8,100,39,108,358
16,high,107,2008-06-30 00:00:00,Bug,68,1,0,19,Minor,3,3,1,1,0,0,0,1,0.43478260869565216,0,10,64,186,158,369
17,low,4,2008-07-08 00:00:00,Story,35,1,0,4,Major,3,2,0,0,1,0,0,0,0.1111111111111111,0,9,73,172,280,350
18,medium,29,2008-07-09 00:00:00,Story,56,2,20,5,Major,1,2,1,1,1,0,0,0,0.13513513513513514,0,9,1,175,104,350
19,Nondelay,0,2008-07-10 00:00:00,Bug,53,0,5,20,Minor,2,1,1,3,2,0,0,7,0.4583333333333333,0,9,25,142,293,102
20,Nondelay,0,2008-07-11 00:00:00,Bug,103,0,0,0,Major,2,0,2,3,1,0,1,2,0.48,0,10,41,171,255,343
21,Nondelay,0,2008-07-28 00:00:00,Bug,37,0,0,18,Minor,5,0,1,2,1,0,0,1,0.7368421052631579,0,9,39,147,276,391
22,low,5,2008-07-29 00:00:00,Bug,46,0,5,34,Minor,2,2,1,1,1,0,0,1,0.8666666666666667,0,9,98,97,216,361
23,Nondelay,0,2008-08-04 00:00:00,Bug,41,0,15,13,Blocker,1,0,1,1,1,0,0,1,0.7272727272727273,0,10,78,140,232,388
24,Nondelay,0,2008-08-08 00:00:00,Bug,583,0,0,0,Minor,10,0,1,3,1,0,0,3,0,0,7,26,145,289,323
25,Nondelay,0,2008-08-11 00:00:00,Story,32,0,0,20,Major,2,0,1,1,0,0,0,0,0.7619047619047619,0,8,61,133,20,234
26,Nondelay,0,2008-08-11 00:00:00,Bug,37,0,3,26,Critical,1,1,1,2,3,0,0,7,0,0,9,37,135,162,313
27,Nondelay,0,2008-08-26 00:00:00,Bug,30,0,8,35,Minor,2,0,1,2,0,0,0,0,0.8709677419354839,0,6,95,171,291,341
28,Nondelay,0,2008-09-05 00:00:00,Story,25,0,14,14,Major,4,1,1,3,1,0,0,0,0.75,0,6,29,71,35,267
29,Nondelay,0,2008-09-12 00:00:00,Story,13,1,0,21,Major,1,0,1,2,1,0,0,0,0.8,0,9,68,162,217,393
30,Nondelay,0,2008-09-18 00:00:00,Story,18,0,8,28,Major,0,0,1,1,1,0,0,0,0.8484848484848485,0,8,100,39,113,339
31,low,3,2008-09-23 00:00:00,Story,17,0,8,29,Minor,0,2,1,1,1,0,0,0,0.8529411764705882,1,6,95,135,247,324
32,Nondelay,0,2008-09-23 00:00:00,Story,1,0,3,27,Critical,0,0,1,0,3,0,0,0,0.45161290322580644,0,7,15,199,185,299
33,Nondelay,0,2008-09-23 00:00:00,Story,16,0,3,27,Trivial,0,0,2,0,1,0,0,0,0.45161290322580644,0,10,86,47,240,328
34,high,130,2008-09-25 00:00:00,Bug,80,1,0,0,Minor,1,3,1,1,0,0,0,1,0,1,3,88,182,242,365
35,low,2,2008-09-30 00:00:00,Story,12,0,0,21,Blocker,0,1,1,0,1,0,0,0,0.14285714285714285,0,10,88,172,211,242
