#,impact,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,topic_10,topic_100,topic_200,topic_300,topic_400
1,high,372,2004-08-25 00:00:00,Suggestion,189,0,0,200,,2,1,0,0,0,0,0,1,0,0,9,61,88,272,346
2,Nondelay,0,2004-09-14 00:00:00,Suggestion,0,0,0,0,,0,1,1,0,1,0,0,1,0,0,9,61,88,151,263
3,low,13,2004-09-24 00:00:00,Suggestion,9,0,0,98,,0,1,1,0,0,0,0,1,0.5,0,8,70,122,280,348
4,high,51,2004-09-29 00:00:00,Bug,29,0,0,150,Minor,0,0,1,1,0,0,0,1,0.3333333333333333,1,7,95,199,145,368
5,low,3,2004-09-29 00:00:00,Bug,5,0,0,98,Major,1,0,1,0,0,0,0,1,0.3333333333333333,0,7,92,77,253,372
6,Nondelay,0,2004-09-29 00:00:00,Bug,0,0,0,0,Major,0,0,1,0,0,0,0,1,0.3333333333333333,0,9,87,178,265,324
7,low,2,2004-09-30 00:00:00,Bug,4,0,0,98,Major,0,0,1,0,0,0,0,1,0.3333333333333333,0,10,98,192,282,386
8,medium,24,2004-10-05 00:00:00,Bug,16,0,0,150,Minor,0,0,1,1,1,0,0,1,0,0,7,39,90,100,285
9,medium,15,2004-10-13 00:00:00,Bug,11,0,0,150,Major,3,0,1,1,2,0,0,1,0.2857142857142857,0,7,6,195,270,138
10,Nondelay,0,2004-10-13 00:00:00,Bug,0,0,100,1,Trivial,1,0,1,0,0,0,0,1,0.2857142857142857,0,5,95,194,295,367
11,medium,28,2004-10-14 00:00:00,Bug,18,0,50,150,Major,3,0,1,1,1,0,0,1,0.2222222222222222,0,2,91,171,164,62
12,high,152,2004-10-15 00:00:00,Suggestion,86,0,0,200,,1,0,1,4,2,0,0,1,0.3,0,10,98,169,151,135
13,Nondelay,0,2004-10-19 00:00:00,Bug,0,0,0,0,Major,0,0,1,0,0,0,0,1,0.2727272727272727,0,6,82,59,154,125
14,Nondelay,0,2004-10-19 00:00:00,Suggestion,0,0,66,1,,1,1,1,0,0,0,0,1,0.2727272727272727,0,8,76,160,285,295
15,Nondelay,0,2004-10-20 00:00:00,Suggestion,22,0,0,0,,2,1,1,2,1,0,0,1,0.3076923076923077,0,9,95,35,275,203
16,medium,25,2004-10-25 00:00:00,Suggestion,15,0,50,1,,1,1,1,1,0,0,0,1,0.2857142857142857,0,10,91,102,164,62
17,Nondelay,0,2004-10-25 00:00:00,SubTask,0,0,50,1,Major,1,0,1,0,0,0,0,1,0.2857142857142857,0,4,82,165,261,400
18,Nondelay,0,2004-11-07 00:00:00,Bug,0,0,0,0,Blocker,1,0,0,2,0,0,0,1,0,0,7,92,171,74,391
19,Nondelay,0,2005-12-29 00:00:00,Task,0,0,0,0,Major,1,0,1,0,0,0,0,0,0,0,5,48,167,227,376
20,high,369,2006-01-31 00:00:00,Suggestion,7,0,0,200,,1,1,1,2,1,0,0,0,0,0,6,13,145,185,37
21,low,4,2006-02-11 00:00:00,Improvement,57,1,0,98,Critical,0,0,0,0,1,0,0,0,0,2,10,93,67,236,365
22,high,401,2006-05-07 00:00:00,Bug,57,0,0,1,Major,0,0,1,2,0,0,0,2,0,2,6,31,118,53,383
23,medium,40,2006-11-22 00:00:00,Improvement,223,0,0,150,Major,0,0,1,0,0,0,0,0,0,0,9,81,176,228,289
24,medium,29,2006-12-16 00:00:00,Bug,5,0,0,150,Major,3,0,1,1,0,0,0,1,0,0,10,89,176,296,311
25,low,10,2007-01-01 00:00:00,Suggestion,1,1,0,1,,1,1,1,1,0,0,0,1,0,0,7,98,167,290,395
26,Nondelay,0,2007-01-01 00:00:00,Suggestion,45,0,0,0,,3,1,1,3,0,0,0,0,0,0,7,56,131,153,293
27,Nondelay,0,2007-01-01 00:00:00,Suggestion,1,0,0,0,,1,1,1,1,0,0,0,1,0,0,10,80,8,270,349
28,Nondelay,0,2007-01-02 00:00:00,Suggestion,1,0,0,0,,1,1,1,1,0,0,0,0,0,0,2,73,95,148,43
29,Nondelay,0,2007-01-02 00:00:00,Suggestion,29,0,0,0,,0,1,1,2,0,0,0,1,0,1,5,95,33,269,39
30,Nondelay,0,2007-01-02 00:00:00,Bug,5,0,0,0,Blocker,17,1,1,1,0,0,0,2,0,0,8,58,87,174,326
31,medium,15,2007-01-02 00:00:00,Bug,33,0,0,150,Major,2,0,1,2,1,0,0,1,0,0,10,99,178,220,332
32,Nondelay,0,2007-01-02 00:00:00,Bug,25,0,0,0,Major,4,0,1,4,0,0,0,1,0,0,4,79,116,235,190
33,Nondelay,0,2007-01-04 00:00:00,Bug,1,0,0,0,Critical,2,0,1,1,0,0,0,1,0,0,4,76,24,254,393
34,Nondelay,0,2007-01-04 00:00:00,Bug,22,0,0,0,Critical,5,0,1,6,1,0,0,1,0,0,2,94,153,299,285
35,Nondelay,0,2007-01-04 00:00:00,Bug,3,0,0,0,Minor,5,0,1,2,3,0,0,1,0,0,2,58,181,139,91
36,Nondelay,0,2007-01-04 00:00:00,Suggestion,7,1,0,0,,13,1,1,2,2,0,0,1,0,0,8,43,124,277,147
37,Nondelay,0,2007-01-05 00:00:00,Bug,2,0,0,2,Major,9,0,1,1,0,0,0,1,0,0,8,35,196,162,380
38,Nondelay,0,2007-01-05 00:00:00,Bug,2,0,0,0,Major,2,0,1,4,0,0,0,1,0,0,10,16,27,68,305
39,medium,14,2007-01-05 00:00:00,Suggestion,294,0,0,98,,19,1,1,2,3,0,0,1,0.5,1,9,18,138,242,327
40,Nondelay,0,2007-01-08 00:00:00,Suggestion,295,0,0,0,,9,1,1,1,0,0,0,1,0,0,4,80,114,257,351
41,Nondelay,0,2007-01-08 00:00:00,Bug,0,0,0,0,Critical,1,0,1,0,0,0,0,2,0,0,6,82,59,228,397
42,low,2,2007-01-08 00:00:00,Bug,2,0,0,98,Blocker,2,0,1,1,0,0,0,1,0,0,6,72,178,250,389
43,Nondelay,0,2007-01-09 00:00:00,Bug,0,0,0,1,Major,2,0,1,0,0,0,0,1,0,0,9,50,166,99,385
44,Nondelay,0,2007-01-10 00:00:00,Suggestion,7,0,0,0,,2,1,1,2,0,0,0,1,0,0,6,28,166,176,390
