#,impact,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,topic_10,topic_100,topic_200,topic_300,topic_400
1,high,153,2004-04-16 00:00:00,Bug,114,0,0,200,Major,2,3,1,2,1,0,0,0,0,0,10,76,176,285,279
2,medium,19,2004-11-07 00:00:00,Task,10,0,0,192,Major,1,0,2,1,2,1,0,1,0,1,1,76,158,212,284
3,low,8,2004-11-07 00:00:00,Bug,10,0,0,34,Major,2,0,2,1,1,0,0,1,0,0,2,81,176,294,273
4,medium,34,2004-11-07 00:00:00,Task,397,0,0,192,Major,0,3,1,1,2,2,0,1,0,0,9,63,61,259,306
5,medium,30,2004-11-13 00:00:00,Task,48,0,0,150,Critical,1,3,1,2,0,0,0,1,0.625,1,2,95,181,245,400
6,high,117,2004-11-14 00:00:00,Task,60,0,0,150,Major,1,3,0,2,1,0,0,1,0.5555555555555556,2,10,3,140,299,380
7,medium,54,2004-11-18 00:00:00,Task,28,0,100,1,Critical,1,3,1,0,0,0,0,3,0.5,0,10,88,134,118,284
8,medium,23,2004-11-18 00:00:00,Task,28,1,20,4,Major,1,0,1,0,0,0,0,3,0.5,0,8,100,159,233,329
9,medium,25,2004-11-20 00:00:00,Feature Request,33,0,0,56,Critical,1,0,1,0,0,0,0,1,0.5,0,8,95,107,53,311
10,high,171,2004-11-20 00:00:00,Feature Request,106,0,0,56,Critical,3,3,1,2,0,0,0,1,0.5,0,6,100,184,270,158
11,Nondelay,0,2004-11-23 00:00:00,Task,0,0,0,0,Major,2,0,0,0,0,0,0,0,0,0,8,49,167,273,363
12,high,79,2004-11-23 00:00:00,Task,46,0,0,217,Major,0,3,0,0,4,0,2,1,0.5,0,9,61,134,220,132
13,medium,17,2004-11-23 00:00:00,Task,389,0,0,217,Major,0,0,1,1,8,0,8,1,0.5,0,9,77,134,235,50
14,high,76,2004-11-26 00:00:00,Feature Request,69,0,0,9,Major,2,3,0,0,0,0,0,0,0.5,1,8,88,181,250,282
15,Nondelay,0,2004-11-28 00:00:00,Bug,1,0,0,3,Blocker,3,0,0,0,1,1,0,0,0.8,0,4,52,158,151,390
16,medium,17,2004-11-28 00:00:00,Task,387,0,1,222,Major,0,0,1,0,5,1,4,1,0.8,0,10,90,176,181,195
17,medium,12,2004-11-30 00:00:00,Bug,57,0,0,15,Major,0,0,1,0,0,0,0,1,0,0,7,92,111,277,314
18,medium,12,2004-11-30 00:00:00,Bug,57,0,0,15,Major,0,0,1,0,0,0,0,1,0,0,6,79,179,258,186
19,medium,12,2004-11-30 00:00:00,Feature Request,57,0,0,15,Major,0,0,1,0,0,0,0,1,0,0,8,50,179,259,285
20,medium,12,2004-11-30 00:00:00,Feature Request,57,0,0,15,Major,0,0,1,0,0,0,0,1,0,0,4,63,71,131,162
21,medium,12,2004-11-30 00:00:00,Feature Request,57,0,0,15,Major,0,0,1,0,0,0,0,1,0,0,6,100,143,270,241
22,high,82,2004-12-01 00:00:00,Task,56,0,0,150,Major,0,3,0,0,0,0,0,0,0,0,1,59,188,104,349
23,Nondelay,0,2004-12-01 00:00:00,Task,0,0,0,57,Major,0,0,1,0,0,0,0,1,0,0,9,82,170,81,195
24,high,75,2004-12-02 00:00:00,Task,800,0,0,150,Major,0,3,1,1,1,0,0,0,0,0,4,65,143,201,364
25,Nondelay,0,2004-12-02 00:00:00,Task,4,0,0,33,Major,0,0,1,1,1,0,0,0,0,0,4,100,30,251,95
26,high,75,2004-12-02 00:00:00,Task,800,0,0,33,Major,0,3,1,1,1,0,0,0,0,0,4,22,105,270,355
27,high,75,2004-12-02 00:00:00,SubTask,800,0,0,150,Major,0,3,1,1,0,0,0,0,0,0,10,14,196,241,4
28,high,75,2004-12-02 00:00:00,SubTask,800,0,0,33,Major,0,3,1,1,0,0,0,0,0,0,10,67,200,244,380
29,high,97,2004-12-02 00:00:00,SubTask,800,0,0,33,Major,1,3,1,1,0,0,0,0,0,0,9,51,112,187,383
30,high,75,2004-12-02 00:00:00,Feature Request,800,0,0,150,Major,0,3,1,1,0,0,0,0,0,0,10,14,196,214,361
31,medium,60,2004-12-03 00:00:00,Feature Request,54,0,0,150,Major,1,3,1,0,0,0,0,0,0.4,0,9,49,188,225,349
32,high,180,2004-12-03 00:00:00,Feature Request,535,0,8,37,Major,1,3,1,1,0,0,0,0,0.4,1,8,72,52,169,96
33,medium,61,2004-12-03 00:00:00,SubTask,800,0,75,4,Major,3,3,1,0,0,0,0,0,0.4,0,8,66,173,259,357
34,medium,39,2004-12-03 00:00:00,SubTask,54,0,0,150,Major,1,3,1,0,0,0,0,0,0.4,0,1,51,190,270,343
35,medium,61,2004-12-03 00:00:00,SubTask,55,0,0,150,Major,0,3,1,0,0,0,0,0,0.4,1,9,88,98,289,55
36,high,124,2004-12-03 00:00:00,Feature Request,86,0,0,1,Major,0,1,0,0,0,0,0,0,0,1,10,100,104,67,332
37,medium,55,2004-12-03 00:00:00,Feature Request,55,0,0,1,Critical,0,3,0,1,0,0,0,0,0,0,10,72,115,185,151
38,high,177,2004-12-03 00:00:00,Feature Request,140,0,0,200,Major,4,1,1,1,1,1,0,0,0,0,10,35,134,166,289
39,Nondelay,0,2004-12-03 00:00:00,Feature Request,55,0,0,1,Major,0,1,0,1,0,0,0,0,0,1,3,14,26,185,88
40,Nondelay,0,2004-12-03 00:00:00,Task,59,0,0,1,Major,0,1,0,0,0,0,0,0,0,0,6,84,123,289,274
41,medium,28,2004-12-04 00:00:00,Feature Request,27,1,30,4,Major,1,0,1,0,0,0,0,1,0.45454545454545453,0,10,100,30,289,279
42,Nondelay,0,2004-12-04 00:00:00,Patch,294,0,0,0,Minor,2,0,0,1,0,0,0,0,0,0,1,94,187,248,255
43,low,1,2004-12-04 00:00:00,Task,2,0,0,100,Minor,2,1,0,1,0,0,0,0,0,0,4,78,67,235,198
44,low,7,2004-12-04 00:00:00,Task,10,0,0,100,Major,5,0,0,1,0,0,0,0,0,0,9,64,99,228,198
45,low,5,2004-12-04 00:00:00,Feature Request,37,0,0,100,Major,1,0,1,0,0,0,0,1,0.45454545454545453,0,9,95,198,21,139
46,Nondelay,0,2004-12-07 00:00:00,Bug,5,0,33,6,Major,6,0,1,2,0,0,0,1,0.46153846153846156,0,9,67,127,228,198
47,medium,14,2004-12-10 00:00:00,Task,43,0,0,100,Major,0,0,0,0,2,1,0,0,0,1,9,3,188,246,289
48,Nondelay,0,2004-12-13 00:00:00,Feature Request,2,0,0,15,Major,1,0,1,1,0,0,0,1,0,0,6,83,172,127,350
49,medium,18,2004-12-13 00:00:00,Feature Request,18,0,0,15,Major,0,0,1,0,0,0,0,1,0,0,2,84,112,268,354
50,high,116,2004-12-13 00:00:00,Feature Request,83,0,0,15,Major,4,3,1,3,1,1,0,1,0,0,7,65,141,246,276
51,Nondelay,0,2004-12-13 00:00:00,Bug,19,0,0,15,Major,0,0,1,0,0,0,0,1,0,0,10,64,138,170,141
52,Nondelay,0,2004-12-13 00:00:00,Feature Request,16,0,0,15,Major,0,0,1,0,0,0,0,1,0,1,8,47,102,199,283
53,Nondelay,0,2004-12-13 00:00:00,Feature Request,12,1,100,2,Major,0,0,1,0,0,0,0,1,0,0,5,50,147,260,193
54,Nondelay,0,2004-12-13 00:00:00,Feature Request,16,0,0,93,Major,1,0,1,0,0,0,0,1,0,0,8,60,171,198,199
55,Nondelay,0,2004-12-13 00:00:00,Feature Request,82,0,0,0,Major,0,0,1,2,0,0,0,1,0,0,10,100,30,214,95
56,Nondelay,0,2004-12-13 00:00:00,Feature Request,3,0,100,2,Major,0,0,1,0,1,1,0,1,0,0,6,70,172,165,283
57,Nondelay,0,2004-12-13 00:00:00,Feature Request,3,0,100,2,Major,0,0,1,0,1,0,1,1,0,0,9,82,179,204,347
58,Nondelay,0,2004-12-13 00:00:00,Task,23,0,0,15,Major,0,0,1,0,0,0,0,1,0,1,9,98,160,230,248
59,Nondelay,0,2004-12-13 00:00:00,Feature Request,2,0,100,2,Major,0,0,1,0,0,0,0,1,0,0,10,30,57,169,324
60,Nondelay,0,2004-12-13 00:00:00,Task,22,0,0,15,Blocker,1,0,1,0,1,0,1,1,0,1,9,63,177,191,169
61,Nondelay,0,2004-12-13 00:00:00,Feature Request,16,0,0,15,Blocker,0,0,1,0,1,0,1,1,0,0,2,91,177,266,367
62,high,314,2004-12-15 00:00:00,Task,501,0,0,59,Blocker,4,2,1,2,8,3,1,0,0.07692307692307693,0,8,93,67,261,399
