#,impact,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,topic_10,topic_100,topic_200,topic_300,topic_400
1,Nondelay,0,2006-11-09 00:00:00,Bug,5,0,0,1,Major,3,0,1,1,0,0,0,0,0,0,8,77,144,220,389
2,Nondelay,0,2006-11-13 00:00:00,Bug,4,1,0,0,Major,7,0,1,1,0,0,0,0,0,1,9,93,120,294,219
3,high,223,2006-11-13 00:00:00,Bug,84,2,0,76,Minor,9,5,1,2,0,0,0,0,0,0,8,65,117,163,302
4,Nondelay,0,2006-11-13 00:00:00,Bug,2,0,0,0,Major,2,0,1,1,0,0,0,0,0,0,2,83,161,168,57
5,medium,12,2006-11-13 00:00:00,Bug,6,0,0,83,Blocker,3,1,1,1,0,0,0,0,0,0,6,70,197,208,399
6,Nondelay,0,2006-11-14 00:00:00,Bug,3,0,0,0,Major,3,0,1,1,0,0,0,0,0,0,6,7,196,291,241
7,Nondelay,0,2006-11-14 00:00:00,Bug,3,0,0,0,Major,1,0,1,1,0,0,0,0,0,0,7,98,171,275,98
8,Nondelay,0,2006-11-14 00:00:00,Bug,3,0,0,0,Major,5,0,1,1,0,0,0,0,0,0,3,90,163,166,369
9,Nondelay,0,2006-11-15 00:00:00,Bug,3,0,0,0,Major,2,0,1,1,0,0,0,0,0,0,4,49,129,300,376
10,Nondelay,0,2006-11-15 00:00:00,Bug,3,0,0,0,Major,2,0,1,1,0,0,0,0,0.5,0,5,32,9,255,299
11,low,5,2006-11-15 00:00:00,Bug,80,0,0,1,Minor,2,0,1,1,0,0,0,0,0,0,6,13,88,208,250
12,Nondelay,0,2006-11-16 00:00:00,Bug,1,0,0,0,Major,2,0,1,1,0,0,0,0,0,0,3,100,123,214,57
13,low,3,2006-11-16 00:00:00,Bug,8,0,0,79,Minor,2,0,1,1,0,0,0,0,0.3333333333333333,0,7,18,198,276,277
14,Nondelay,0,2006-11-17 00:00:00,Bug,0,0,0,3,Major,2,0,1,0,0,0,0,1,0.5,0,3,69,34,167,89
15,Nondelay,0,2006-11-17 00:00:00,Bug,4,0,0,1,Major,2,0,1,1,0,0,0,0,0.2,0,9,41,79,282,104
16,Nondelay,0,2006-11-17 00:00:00,Bug,2,0,0,0,Minor,3,0,1,1,0,0,0,0,0,0,3,36,99,254,374
17,Nondelay,0,2006-11-17 00:00:00,Bug,1,0,0,0,Critical,1,1,1,0,0,0,0,1,0.5,0,9,83,99,276,303
18,Nondelay,0,2006-11-17 00:00:00,Bug,0,0,0,3,Critical,2,0,1,1,0,0,0,0,0.2,0,5,77,9,255,317
19,Nondelay,0,2006-11-18 00:00:00,Bug,0,0,0,0,Major,2,0,1,1,0,0,0,0,0,0,7,98,171,205,98
20,medium,9,2006-11-19 00:00:00,Bug,9,0,0,2,Minor,2,0,1,1,0,0,0,0,0.125,0,6,63,188,290,399
21,Nondelay,0,2006-11-19 00:00:00,Bug,0,0,0,1,Major,2,0,1,1,0,0,0,0,0.125,0,8,77,98,230,395
22,Nondelay,0,2006-11-19 00:00:00,Bug,1,0,0,0,Major,2,0,1,1,0,0,0,0,0,0,8,16,94,200,237
23,Nondelay,0,2006-11-19 00:00:00,Bug,1,0,0,2,Major,3,0,1,1,0,0,0,0,0,0,7,16,94,226,370
24,Nondelay,0,2006-11-19 00:00:00,Bug,2,0,0,4,Major,1,0,1,1,0,0,0,0,0,0,7,16,9,255,317
25,Nondelay,0,2006-11-19 00:00:00,Bug,5,0,0,4,Major,3,0,1,1,0,0,0,0,0.125,0,8,100,171,295,347
26,Nondelay,0,2006-11-19 00:00:00,Bug,2,0,0,6,Major,2,0,1,1,0,0,0,0,0,0,10,37,91,282,263
27,Nondelay,0,2006-11-19 00:00:00,Bug,0,1,0,0,Major,5,0,1,1,0,0,0,0,0,0,8,4,87,66,133
28,Nondelay,0,2006-11-19 00:00:00,Bug,0,0,0,0,Major,2,0,1,1,0,0,0,0,0,0,6,81,16,164,186
29,low,5,2006-11-20 00:00:00,Improvement,78,0,0,8,Minor,2,0,1,1,0,0,0,1,0,0,10,33,180,270,124
30,Nondelay,0,2006-11-20 00:00:00,Bug,1,0,0,7,Minor,2,0,1,0,0,0,0,1,0,0,10,98,178,129,263
31,Nondelay,0,2006-11-20 00:00:00,Bug,2,0,0,8,Major,2,0,1,1,0,0,0,0,0.15,0,3,69,120,274,331
32,Nondelay,0,2006-11-20 00:00:00,Bug,3,0,0,8,Critical,2,0,1,1,0,0,0,0,0,0,5,69,9,274,331
33,high,203,2006-11-20 00:00:00,Bug,73,0,0,76,Major,1,5,1,1,0,0,0,1,0.15,0,5,32,196,255,317
34,low,1,2006-11-21 00:00:00,Bug,3,1,0,79,Major,2,0,1,1,0,0,0,1,0.11428571428571428,0,7,98,70,122,375
35,low,2,2006-11-21 00:00:00,Bug,1,0,0,79,Major,2,0,1,0,0,0,0,1,0,0,10,92,67,268,308
36,Nondelay,0,2006-11-21 00:00:00,Bug,3,0,0,10,Minor,2,0,1,1,0,0,0,1,0,0,9,99,176,96,391
37,Nondelay,0,2006-11-21 00:00:00,Bug,1,0,0,1,Major,2,0,1,1,0,0,0,0,0.10714285714285714,0,8,47,171,226,104
38,Nondelay,0,2006-11-21 00:00:00,Bug,3,0,0,10,Minor,3,0,1,1,0,0,0,1,0.10714285714285714,0,9,86,148,11,371
39,Nondelay,0,2006-11-22 00:00:00,Bug,1,0,0,11,Major,2,0,1,1,0,0,0,1,0.12903225806451613,0,6,52,118,83,156
40,Nondelay,0,2006-11-22 00:00:00,Bug,1,0,0,13,Minor,2,0,1,1,0,0,0,1,0.12903225806451613,0,10,18,117,86,248
41,high,231,2006-11-22 00:00:00,Improvement,77,0,0,76,Trivial,2,5,1,0,0,0,0,1,0,0,6,79,136,208,250
42,Nondelay,0,2006-11-22 00:00:00,Bug,0,0,0,13,Major,1,0,1,1,0,0,0,0,0.12903225806451613,0,8,47,171,226,104
43,low,6,2006-11-23 00:00:00,Bug,2,1,0,79,Major,1,0,1,0,0,0,0,1,0,0,7,16,94,120,385
44,Nondelay,0,2006-11-23 00:00:00,Bug,2,0,0,2,Major,2,0,1,1,0,0,0,1,0.11428571428571428,0,8,4,87,66,133
45,low,5,2006-11-23 00:00:00,Bug,2,0,0,79,Major,2,0,1,0,0,0,0,1,0,0,4,33,196,255,67
46,low,5,2006-11-23 00:00:00,Bug,2,0,0,79,Major,1,0,1,1,0,0,0,0,0.11428571428571428,0,10,89,178,271,200
47,low,6,2006-11-23 00:00:00,Bug,3,0,0,79,Major,2,0,1,0,0,0,0,1,0,0,8,81,95,163,244
48,Nondelay,0,2006-11-23 00:00:00,Bug,3,0,0,15,Major,2,0,1,1,0,0,0,1,0.11428571428571428,0,10,38,37,11,204
49,low,6,2006-11-23 00:00:00,Bug,3,0,0,79,Major,2,0,1,0,0,0,0,1,0,0,3,100,8,220,244
50,Nondelay,0,2006-11-23 00:00:00,Bug,0,0,0,15,Minor,3,0,1,1,0,0,0,1,0.11428571428571428,0,3,81,61,167,67
51,Nondelay,0,2006-11-23 00:00:00,Bug,0,0,0,9,Trivial,3,0,1,1,0,0,0,1,0.11428571428571428,0,10,42,61,167,67
52,low,4,2006-11-23 00:00:00,Bug,2,0,0,79,Blocker,1,0,1,0,0,0,0,1,0,0,8,18,117,191,321
53,low,6,2006-11-23 00:00:00,Bug,3,0,0,79,Trivial,2,0,1,0,0,0,0,1,0,0,6,70,171,299,104
54,Nondelay,0,2006-11-23 00:00:00,Bug,2,0,0,15,Major,2,0,1,1,0,0,0,1,0.11428571428571428,0,4,85,87,235,195
55,Nondelay,0,2006-11-23 00:00:00,Bug,0,0,0,0,Major,2,0,1,1,0,0,0,0,0,0,3,89,87,191,334
56,Nondelay,0,2006-11-23 00:00:00,Bug,2,0,0,2,Major,2,0,1,1,0,0,0,1,0,0,8,72,79,226,104
57,Nondelay,0,2006-11-24 00:00:00,Bug,0,0,0,16,Minor,2,0,1,1,0,0,0,1,0.09523809523809523,0,8,47,171,255,317
58,Nondelay,0,2006-11-24 00:00:00,Bug,0,0,0,0,Major,2,0,1,1,0,0,0,1,0,0,10,90,168,272,325
59,low,5,2006-11-26 00:00:00,Bug,76,0,0,9,Minor,0,0,1,1,0,0,0,1,0,0,7,98,171,275,98
60,Nondelay,0,2006-11-26 00:00:00,Bug,0,0,0,18,Major,2,0,1,1,0,0,0,1,0.09090909090909091,0,9,52,118,83,156
61,Nondelay,0,2006-11-27 00:00:00,Bug,1,1,0,0,Minor,4,0,1,1,0,0,0,1,0,0,8,47,138,209,104
62,Nondelay,0,2006-11-27 00:00:00,Bug,0,0,0,20,Blocker,1,0,1,1,0,0,0,0,0.3333333333333333,0,8,23,138,125,340
63,Nondelay,0,2006-11-27 00:00:00,Bug,1,0,0,20,Major,2,0,1,1,0,0,0,1,0.08695652173913043,0,9,93,198,294,25
64,Nondelay,0,2006-11-28 00:00:00,Bug,0,0,0,20,Major,2,0,1,1,0,0,0,1,0.08163265306122448,0,8,47,171,226,104
65,medium,13,2006-11-28 00:00:00,Bug,6,1,0,20,Major,3,0,1,1,0,0,0,1,0,0,2,46,146,235,222
66,high,217,2006-11-29 00:00:00,Bug,73,0,0,21,Major,1,5,1,0,0,0,0,1,0,0,8,69,120,296,219
67,high,231,2006-11-29 00:00:00,Bug,78,0,0,76,Major,2,5,1,0,0,0,0,1,0,0,4,16,155,107,376
68,Nondelay,0,2006-11-29 00:00:00,Bug,1,0,0,22,Blocker,2,0,1,1,0,0,0,0,0.25,0,2,68,124,15,369
69,Nondelay,0,2006-11-29 00:00:00,Improvement,0,0,0,22,Major,2,0,1,1,0,0,0,1,0.07692307692307693,0,8,100,37,226,358
70,Nondelay,0,2006-11-29 00:00:00,Bug,2,0,0,22,Major,1,0,1,1,0,0,0,1,0.07692307692307693,0,8,47,40,230,384
71,medium,9,2006-11-30 00:00:00,Bug,5,0,0,4,Minor,2,0,1,1,0,0,0,0,0.07407407407407407,0,7,83,147,107,303
72,Nondelay,0,2006-11-30 00:00:00,Bug,0,0,0,0,Major,2,0,1,1,0,0,0,1,0,0,8,84,84,163,244
73,Nondelay,0,2006-11-30 00:00:00,Bug,0,0,0,19,Major,2,0,1,1,0,0,0,1,0.07407407407407407,0,6,52,61,83,67
74,Nondelay,0,2006-11-30 00:00:00,Bug,0,0,0,0,Minor,2,0,1,1,0,0,0,1,0,0,4,96,72,264,133
75,Nondelay,0,2006-12-01 00:00:00,Improvement,1,0,0,0,Trivial,2,0,1,1,0,0,0,1,0,0,8,32,115,255,331
76,medium,9,2006-12-01 00:00:00,Bug,5,0,0,83,Trivial,2,0,1,1,0,0,0,1,0,0,10,100,94,223,23
77,Nondelay,0,2006-12-01 00:00:00,Bug,1,0,0,0,Minor,2,0,1,1,0,0,0,1,0,0,8,24,171,226,112
78,Nondelay,0,2006-12-01 00:00:00,Bug,0,0,0,18,Major,2,0,1,1,0,0,0,0,0.07017543859649122,0,8,47,37,153,317
79,medium,9,2006-12-01 00:00:00,Bug,5,0,0,5,Major,3,0,1,1,0,0,0,0,0.07017543859649122,0,7,50,94,297,352
80,Nondelay,0,2006-12-02 00:00:00,Bug,0,0,0,0,Major,2,0,1,1,0,0,0,1,0,0,9,24,130,296,112
81,Nondelay,0,2006-12-02 00:00:00,Bug,0,0,0,0,Major,2,0,1,1,0,0,0,1,0,0,9,23,72,283,394
82,high,212,2006-12-04 00:00:00,Bug,71,0,0,76,Minor,1,5,1,0,0,0,0,1,0,0,8,24,130,296,112
83,Nondelay,0,2006-12-04 00:00:00,Bug,0,0,0,20,Major,1,0,1,0,0,0,0,1,0,0,4,47,81,295,104
84,Nondelay,0,2006-12-04 00:00:00,Bug,0,0,0,6,Major,2,0,1,1,0,0,0,1,0.06451612903225806,0,10,90,59,246,143
85,medium,16,2006-12-04 00:00:00,Bug,6,0,0,83,Major,3,0,1,1,0,0,0,1,0.05333333333333334,0,5,5,24,134,32
86,low,7,2006-12-04 00:00:00,Bug,3,0,0,79,Minor,1,0,1,1,0,0,0,1,0,0,7,41,135,282,143
87,low,5,2006-12-04 00:00:00,Improvement,2,0,0,79,Trivial,1,0,1,0,0,0,0,1,0,0,6,52,118,83,156
88,Nondelay,0,2006-12-05 00:00:00,Bug,0,0,0,6,Major,2,0,1,1,0,0,0,1,0.06349206349206349,0,7,5,24,200,342
89,medium,14,2006-12-05 00:00:00,Bug,5,0,0,19,Trivial,2,0,1,0,0,0,0,1,0,0,1,59,117,86,298
90,medium,9,2006-12-05 00:00:00,Bug,3,0,0,19,Critical,2,0,1,0,0,0,0,1,0,0,8,52,118,36,375
91,low,2,2006-12-21 00:00:00,NewFeature,71,0,0,1,Major,1,0,1,1,0,0,0,0,0,0,9,11,114,143,189
92,Nondelay,0,2006-12-31 00:00:00,SubTask,108,0,0,0,Major,1,0,1,2,0,0,0,1,0,0,4,77,167,298,288
93,high,186,2006-12-31 00:00:00,SubTask,68,0,0,76,Major,1,5,1,0,0,0,0,0,0,0,6,52,199,129,370
94,high,186,2006-12-31 00:00:00,NewFeature,68,0,0,76,Major,1,5,1,0,0,0,0,0,0,0,6,52,199,247,212
95,medium,11,2006-12-31 00:00:00,SubTask,8,0,0,83,Major,0,0,1,0,0,0,0,0,0,0,4,65,41,192,357
96,medium,31,2006-12-31 00:00:00,SubTask,12,0,0,83,Major,0,0,1,0,0,0,0,0,0,0,4,65,41,192,236
97,Nondelay,0,2006-12-31 00:00:00,SubTask,108,0,0,0,Major,1,0,1,2,0,0,0,0,0,0,7,42,9,5,184
98,low,3,2006-12-31 00:00:00,NewFeature,73,0,0,0,Major,4,0,1,1,0,0,0,0,0,0,9,84,191,222,258
99,Nondelay,0,2006-12-31 00:00:00,SubTask,108,0,0,0,Major,1,0,1,2,0,0,0,0,0,0,7,19,178,256,184
100,Nondelay,0,2006-12-31 00:00:00,SubTask,108,0,0,0,Major,1,0,1,2,0,0,0,0,0,0,7,19,178,256,184
101,high,191,2006-12-31 00:00:00,NewFeature,68,0,0,76,Major,1,5,1,0,0,0,0,0,0,0,4,80,41,192,42
102,high,68,2006-12-31 00:00:00,SubTask,25,0,0,76,Major,0,0,1,0,0,0,0,0,0,0,7,34,155,256,229
103,high,68,2006-12-31 00:00:00,Task,25,0,0,76,Major,0,0,1,0,0,0,0,0,0,0,5,80,132,276,178
104,low,2,2007-01-23 00:00:00,NewFeature,60,0,40,9,Major,1,0,1,1,0,0,0,0,0,0,2,100,188,120,288
105,low,2,2007-01-26 00:00:00,Improvement,59,0,0,0,Major,1,0,1,1,0,0,0,0,0,0,8,77,150,154,323
106,Nondelay,0,2007-01-26 00:00:00,Improvement,52,0,0,0,Major,3,0,1,2,0,0,0,1,0,0,4,88,102,297,349
107,low,2,2007-02-05 00:00:00,Bug,56,0,0,0,Critical,1,0,1,1,0,0,0,1,0.6,0,9,23,181,95,223
108,Nondelay,0,2007-02-07 00:00:00,Bug,30,0,0,0,Critical,3,0,1,1,0,0,0,1,0.047619047619047616,1,7,65,173,198,393
109,Nondelay,0,2007-02-07 00:00:00,Bug,30,0,0,0,Major,3,0,1,1,0,0,0,1,0.047619047619047616,0,6,2,57,299,377
110,Nondelay,0,2007-02-07 00:00:00,Bug,30,0,0,0,Major,3,0,1,1,0,0,0,1,0.047619047619047616,0,4,73,41,192,271
111,Nondelay,0,2007-02-07 00:00:00,Bug,3,0,0,0,Major,1,0,1,1,0,0,0,1,0,0,8,78,90,191,353
112,Nondelay,0,2007-02-07 00:00:00,Bug,30,0,0,0,Critical,2,0,1,1,0,0,0,1,0.047619047619047616,0,6,52,118,36,375
113,Nondelay,0,2007-02-07 00:00:00,Bug,30,0,0,0,Critical,2,0,1,1,0,0,0,1,0.047619047619047616,0,9,93,118,146,349
114,Nondelay,0,2007-02-07 00:00:00,Bug,3,0,0,0,Minor,1,0,1,1,0,0,0,1,0,0,7,98,186,232,345
115,Nondelay,0,2007-02-07 00:00:00,Bug,2,0,0,0,Major,2,0,1,1,0,0,0,1,0.047619047619047616,0,6,2,191,259,330
116,Nondelay,0,2007-02-08 00:00:00,Bug,30,0,0,1,Minor,2,0,1,1,0,0,0,1,0,0,3,90,181,172,360
117,high,67,2007-02-08 00:00:00,Bug,140,2,0,76,Major,4,0,1,2,0,0,0,1,0,0,5,47,54,255,317
118,medium,17,2007-02-08 00:00:00,Improvement,129,2,0,1,Major,3,0,1,3,0,0,0,1,0.0425531914893617,0,4,86,176,279,271
119,Nondelay,0,2007-02-08 00:00:00,Bug,1,1,0,0,Major,4,0,1,2,0,0,0,1,0,0,6,96,99,91,332
120,Nondelay,0,2007-02-08 00:00:00,Bug,30,0,0,1,Major,1,0,1,1,0,0,0,1,0.0425531914893617,0,3,96,190,85,379
121,Nondelay,0,2007-02-08 00:00:00,Bug,30,0,0,0,Critical,2,0,1,1,0,0,0,1,0.0425531914893617,0,6,52,118,36,326
122,Nondelay,0,2007-02-08 00:00:00,Bug,30,0,0,0,Major,2,0,1,1,0,0,0,1,0,0,9,2,109,224,274
