#,impact,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,topic_10,topic_100,topic_200,topic_300,topic_400
1,Nondelay,0,2004-01-26 00:00:00,Task,21,0,0,0,Critical,2,0,0,0,0,0,0,0,0,0,6,26,40,219,132
2,high,72,2004-01-26 00:00:00,Bug,0,0,0,0,Critical,1,0,1,1,0,0,0,1,0,0,9,54,167,254,275
3,Nondelay,0,2004-01-28 00:00:00,NewFeature,0,0,0,0,Major,5,0,1,1,0,0,0,1,0,0,2,90,191,298,293
4,high,529,2004-02-08 00:00:00,Task,0,2,0,0,Minor,5,0,2,4,0,0,0,1,0,1,2,36,140,294,367
5,Nondelay,0,2004-02-09 00:00:00,Bug,0,1,100,1,Major,2,0,1,2,0,0,0,1,0.5,1,7,64,181,211,12
6,Nondelay,0,2004-02-11 00:00:00,NewFeature,0,0,0,0,Major,1,0,1,1,0,0,0,1,0,0,5,49,82,278,289
7,high,541,2004-02-14 00:00:00,Bug,0,2,50,1,Minor,2,0,2,1,0,0,0,2,0.6666666666666666,1,5,57,187,63,317
8,Nondelay,0,2004-02-16 00:00:00,Task,18,0,0,1,Critical,1,0,0,0,3,0,0,0,0.3333333333333333,0,8,68,176,267,383
9,low,2,2004-02-16 00:00:00,Improvement,2,0,0,1,Minor,1,0,0,0,0,0,0,0,0.5,0,3,25,109,39,278
10,low,1,2004-02-18 00:00:00,Improvement,0,0,33,2,Trivial,1,0,0,0,0,0,0,0,0.5,0,10,91,132,250,272
11,Nondelay,0,2004-02-19 00:00:00,Bug,0,0,50,3,Major,2,0,0,0,0,0,0,0,0.6666666666666666,0,5,74,184,12,335
12,high,613,2004-02-19 00:00:00,Bug,9,1,50,3,Major,10,0,1,1,0,0,0,1,0.7142857142857143,0,9,96,180,145,388
13,high,534,2004-02-21 00:00:00,Bug,0,2,66,2,Major,3,0,1,1,0,0,0,1,0.75,1,4,75,177,36,356
14,low,3,2004-03-05 00:00:00,Task,0,0,50,2,Major,0,0,0,0,1,0,0,0,0.75,0,9,36,104,262,290
15,Nondelay,0,2004-03-09 00:00:00,Task,0,0,0,0,Major,0,0,1,0,0,0,0,1,0,0,6,70,183,260,384
16,high,698,2004-03-10 00:00:00,Bug,77,0,57,3,Trivial,2,0,1,1,0,0,0,1,0.7777777777777778,0,8,92,167,214,376
17,high,111,2004-03-17 00:00:00,NewFeature,0,1,0,0,Major,1,0,1,1,0,0,0,1,0,0,9,92,185,195,129
18,Nondelay,0,2004-04-02 00:00:00,Bug,0,0,0,0,Minor,1,0,2,1,0,0,0,0,0,0,8,72,139,277,343
19,high,322,2004-04-06 00:00:00,Improvement,0,0,0,0,Major,2,0,1,1,0,0,0,1,0,0,4,81,141,137,337
20,Nondelay,0,2004-04-07 00:00:00,Bug,0,0,0,0,Major,4,0,1,0,0,0,0,0,0,0,7,74,140,273,84
21,Nondelay,0,2004-04-30 00:00:00,Improvement,0,0,0,0,Minor,1,0,1,0,0,0,0,1,0,0,7,81,190,192,229
22,high,486,2004-05-24 00:00:00,Bug,0,0,0,1,Critical,3,0,1,1,0,0,0,1,0,0,1,77,53,172,354
23,low,1,2004-05-29 00:00:00,Bug,0,0,62,2,Major,1,0,1,1,1,0,0,1,0.8,0,1,86,175,106,239
24,low,1,2004-05-29 00:00:00,Bug,0,0,62,2,Major,1,0,1,1,1,0,0,1,0.8,0,1,86,175,106,239
25,low,1,2004-05-29 00:00:00,Bug,0,0,62,2,Major,1,0,1,1,1,0,0,1,0.8,0,1,86,175,106,239
26,low,1,2004-05-29 00:00:00,Bug,0,0,62,2,Major,2,0,1,1,1,0,0,1,0.8,0,1,86,175,106,239
27,low,1,2004-05-29 00:00:00,Bug,0,0,62,2,Major,2,0,1,1,1,0,0,1,0.8,0,1,86,175,106,239
28,low,2,2004-05-29 00:00:00,Bug,0,0,62,2,Major,2,0,1,1,1,0,0,1,0.8,0,1,86,175,106,239
29,low,1,2004-05-29 00:00:00,Bug,1,0,62,2,Major,3,0,1,1,1,0,0,1,0.8,0,1,86,175,106,239
30,low,1,2004-05-29 00:00:00,Bug,1,0,62,2,Major,2,0,1,1,1,0,0,1,0.8,0,1,86,175,106,239
31,low,5,2004-05-29 00:00:00,Bug,2,0,62,2,Major,1,0,1,1,1,0,0,1,0.8,0,1,86,175,106,239
32,low,1,2004-05-29 00:00:00,Bug,2,0,62,2,Major,2,0,1,1,1,0,0,1,0.8,0,1,86,175,106,239
33,medium,14,2004-05-29 00:00:00,Bug,6,1,62,2,Blocker,2,1,1,1,2,0,0,1,0.8,0,1,86,175,106,239
34,Nondelay,0,2004-05-29 00:00:00,Bug,2,0,62,2,Major,2,0,1,1,1,0,0,1,0.8,0,1,86,175,106,239
35,Nondelay,0,2004-05-29 00:00:00,Bug,2,0,62,2,Major,2,0,1,1,1,0,0,1,0.8,0,1,86,175,106,239
36,Nondelay,0,2004-05-29 00:00:00,Bug,2,0,62,2,Major,2,0,1,1,1,0,0,1,0.8,0,1,86,175,106,239
37,Nondelay,0,2004-06-25 00:00:00,Bug,0,0,0,0,Major,1,0,0,0,0,0,0,0,0,0,7,98,198,106,236
38,high,971,2004-06-28 00:00:00,Task,204,2,0,0,Major,14,0,1,1,1,0,0,1,0.5,1,10,45,130,249,284
39,medium,33,2004-07-09 00:00:00,Task,83,0,0,0,Critical,2,0,0,0,0,0,0,0,0,0,10,92,139,239,391
40,high,88,2004-07-20 00:00:00,Bug,885,1,0,0,Major,1,0,1,3,0,0,0,1,0,0,8,99,176,296,260
41,medium,11,2004-07-30 00:00:00,Bug,27,0,72,2,Major,2,0,1,1,2,0,0,1,0.9166666666666666,0,8,12,102,269,103
42,medium,11,2004-07-30 00:00:00,Bug,27,0,72,2,Major,2,0,1,1,2,0,0,1,0.9166666666666666,0,8,12,102,269,103
43,medium,11,2004-07-30 00:00:00,Bug,27,0,72,2,Major,1,0,1,1,0,0,0,1,0.9166666666666666,0,8,12,102,269,103
44,medium,11,2004-07-30 00:00:00,Bug,27,1,72,2,Major,3,0,1,1,1,0,0,1,0.9166666666666666,0,3,12,102,269,103
