issuekey,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,ProgressTime,RemainingDay,topic_10,topic_100,topic_200,topic_300,topic_400
FCREPO-68,0,"2007-03-17 00:00:00",Story,236,0,0,0,Major,7,1,1,1,2,0,1,0,0,0,706,77,9,88,173,255,344
FCREPO-101,0,"2007-09-07 00:00:00",Story,542,0,0,3,Blocker,2,1,1,1,5,4,0,0,0,1,542,67,9,84,167,293,275
FCREPO-279,0,"2007-09-14 00:00:00",Story,128,0,0,0,Minor,2,0,1,0,0,0,0,0,0,0,383,68,6,95,196,74,328
FCREPO-167,0,"2007-11-27 00:00:00",Story,431,0,0,9,Minor,2,0,2,0,1,1,0,0,0.5714285714285714,0,431,97,8,16,98,252,371
FCREPO-448,0,"2008-02-01 00:00:00",Bug,519,0,0,14,Trivial,3,0,1,1,0,0,0,0,0,1,394,68,6,60,143,273,339
FCREPO-437,185,"2008-02-22 00:00:00",Story,0,1,0,1,Minor,1,0,1,0,0,0,0,0,0,0,202,249,10,74,102,290,365
FCREPO-199,200,"2008-03-04 00:00:00",Story,0,1,0,7,Minor,1,0,1,0,0,0,0,0,0.8,0,191,249,8,92,19,216,350
FCREPO-211,116,"2008-04-01 00:00:00",Story,0,1,11,9,Blocker,1,0,1,0,0,0,0,0,0.47058823529411764,0,1,72,8,92,190,138,183
FCREPO-215,5,"2008-05-05 00:00:00",Bug,0,0,0,28,Minor,1,0,1,0,1,0,0,1,0.5714285714285714,0,0,172,8,82,190,48,376
FCREPO-441,71,"2008-05-14 00:00:00",Story,284,1,0,1,Major,2,0,1,0,1,0,0,0,0.47368421052631576,1,285,84,4,29,35,119,7
FCREPO-221,0,"2008-06-04 00:00:00",Bug,49,0,0,0,Minor,2,0,1,0,0,0,0,1,0,0,147,40,6,47,193,288,331
FCREPO-220,107,"2008-06-04 00:00:00",Bug,0,1,0,0,Minor,0,0,2,0,0,0,0,2,0,0,0,55,2,100,42,283,292
FCREPO-219,0,"2008-06-04 00:00:00",Bug,38,0,0,10,Minor,2,0,1,1,0,0,0,1,0,0,113,74,7,70,190,272,333
FCREPO-218,107,"2008-06-04 00:00:00",Bug,0,1,0,0,Minor,0,0,2,0,0,0,0,2,0,0,0,55,4,68,158,258,242
FCREPO-223,5,"2008-06-14 00:00:00",Bug,0,0,3,29,Minor,1,0,1,0,1,0,0,1,0.84,0,0,132,8,100,39,108,358
FCREPO-226,107,"2008-06-30 00:00:00",Bug,0,1,0,19,Minor,1,0,1,0,0,0,0,1,0.43478260869565216,0,22,7,10,64,186,158,369
FCREPO-249,4,"2008-07-08 00:00:00",Story,0,1,0,4,Major,1,0,0,0,1,0,0,0,0.1111111111111111,0,0,65,9,73,172,280,350
FCREPO-250,29,"2008-07-09 00:00:00",Story,0,2,20,5,Major,1,0,1,0,1,0,0,0,0.13513513513513514,0,68,15,9,1,175,104,350
FCREPO-227,0,"2008-07-10 00:00:00",Bug,75,0,5,20,Minor,2,1,1,2,2,0,0,7,0.4583333333333333,0,75,31,9,25,142,293,102
FCREPO-228,0,"2008-07-11 00:00:00",Bug,69,0,0,0,Major,2,0,2,3,1,0,1,2,0.48,0,206,95,10,41,171,255,343
FCREPO-235,0,"2008-07-28 00:00:00",Bug,0,0,0,18,Minor,4,0,1,1,1,0,0,1,0.7368421052631579,0,48,85,9,39,147,276,391
FCREPO-236,5,"2008-07-29 00:00:00",Bug,0,0,5,34,Minor,1,0,1,0,1,0,0,1,0.8666666666666667,0,44,43,9,98,97,216,361
FCREPO-237,0,"2008-08-04 00:00:00",Bug,27,0,15,13,Blocker,1,0,1,1,1,0,0,1,0.7272727272727273,0,81,0,10,78,140,232,388
FCREPO-238,0,"2008-08-08 00:00:00",Bug,389,0,0,0,Minor,11,0,1,3,1,0,0,3,0,0,1166,294,7,26,145,289,323
FCREPO-241,0,"2008-08-11 00:00:00",Story,60,0,0,20,Major,2,0,1,1,0,0,0,0,0.7619047619047619,0,60,11,8,61,133,20,234
FCREPO-239,0,"2008-08-11 00:00:00",Bug,0,0,3,26,Critical,1,0,1,1,3,0,0,7,0,0,37,37,9,37,135,162,313
FCREPO-243,0,"2008-08-26 00:00:00",Bug,22,0,8,35,Minor,2,0,1,1,0,0,0,0,0.8709677419354839,0,22,37,6,95,171,291,341
FCREPO-370,0,"2008-09-05 00:00:00",Story,32,0,14,14,Major,4,1,1,2,1,0,0,0,0.75,0,32,17,6,29,71,35,267
FCREPO-245,0,"2008-09-12 00:00:00",Story,0,1,0,21,Major,0,0,1,0,1,0,0,0,0.8,0,0,87,9,68,162,217,393
FCREPO-251,0,"2008-09-18 00:00:00",Story,0,0,8,28,Major,0,0,1,0,1,0,0,0,0.8484848484848485,0,0,36,8,100,39,113,339
FCREPO-254,3,"2008-09-23 00:00:00",Story,0,0,8,29,Minor,0,0,1,0,1,0,0,0,0.8529411764705882,0,0,31,6,95,135,247,324
FCREPO-253,0,"2008-09-23 00:00:00",Story,0,0,3,27,Critical,0,0,1,0,3,0,0,0,0.45161290322580644,0,0,31,7,15,199,185,299
FCREPO-252,0,"2008-09-23 00:00:00",Story,0,0,3,27,Trivial,0,0,2,0,1,0,0,0,0.45161290322580644,0,0,31,10,86,47,240,328
FCREPO-423,130,"2008-09-25 00:00:00",Bug,0,1,0,0,Minor,0,0,1,0,0,0,0,1,0,0,0,29,3,88,182,242,365
FCREPO-265,2,"2008-09-30 00:00:00",Story,21,0,0,21,Blocker,0,1,1,0,1,0,0,0,0.14285714285714285,0,21,1,10,88,172,211,242
FCREPO-264,2,"2008-09-30 00:00:00",Story,21,0,0,21,Blocker,0,2,1,0,1,0,0,0,0.14285714285714285,0,21,1,10,88,163,175,167
FCREPO-263,15,"2008-09-30 00:00:00",Story,0,0,33,5,Critical,0,0,1,0,1,0,0,0,0.14285714285714285,0,0,14,9,92,161,242,128
FCREPO-262,16,"2008-09-30 00:00:00",Story,0,2,3,29,Critical,0,1,1,0,1,0,0,0,0.14285714285714285,0,0,13,9,13,157,261,370
FCREPO-261,1,"2008-09-30 00:00:00",Story,0,0,3,29,Blocker,0,1,1,0,1,0,0,0,0.14285714285714285,0,1,22,9,13,84,79,335
FCREPO-260,8,"2008-09-30 00:00:00",Story,0,0,3,29,Blocker,0,1,1,0,1,0,0,0,0.14285714285714285,0,1,15,9,88,198,187,161
FCREPO-259,14,"2008-09-30 00:00:00",Story,0,0,33,5,Critical,0,1,1,0,1,0,0,0,0.14285714285714285,1,0,15,9,92,194,160,289
FCREPO-258,15,"2008-09-30 00:00:00",Story,0,0,3,29,Critical,0,1,1,0,1,0,0,0,0.14285714285714285,0,0,14,9,13,147,7,319
FCREPO-257,1,"2008-09-30 00:00:00",Story,0,0,3,29,Blocker,0,1,1,0,1,0,0,0,0.14285714285714285,0,1,22,9,88,157,286,135
FCREPO-256,7,"2008-09-30 00:00:00",Story,0,0,3,29,Blocker,0,1,1,0,1,0,0,0,0.14285714285714285,0,1,16,9,69,198,244,358
FCREPO-450,77,"2008-10-10 00:00:00",Story,0,1,100,2,Minor,0,0,1,0,0,0,0,0,0.8076923076923077,0,0,59,9,21,93,283,306
FCREPO-373,7,"2008-10-14 00:00:00",Story,0,0,18,18,Major,0,0,1,0,1,0,0,0,0.5,0,0,3,10,71,192,192,186
FCREPO-372,7,"2008-10-14 00:00:00",Story,0,0,18,18,Blocker,0,0,1,0,1,0,0,0,0.5,0,0,3,10,95,182,262,350
FCREPO-374,0,"2008-10-21 00:00:00",Bug,0,0,10,7,Major,2,0,2,0,0,0,0,2,0.8571428571428571,0,0,3,1,82,148,259,27
