issuekey,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,ProgressTime,RemainingDay,topic_10,topic_100,topic_200,topic_300,topic_400
CONF-1716,372,"2004-08-25 00:00:00",Suggestion,0,0,0,1,NULL,0,0,0,0,0,0,0,1,0,0,0,6,9,61,88,272,346
CONF-1812,0,"2004-09-14 00:00:00",Suggestion,0,0,0,1,NULL,0,0,1,0,1,0,0,1,0,0,0,0,9,61,88,151,263
CONF-1865,13,"2004-09-24 00:00:00",Suggestion,0,0,0,1,NULL,0,0,1,0,0,0,0,1,0.5,0,0,4,8,70,122,280,348
CONF-1889,51,"2004-09-29 00:00:00",Bug,0,0,0,1,Minor,0,0,1,0,0,0,0,1,0.3333333333333333,0,0,7,7,95,199,145,368
CONF-1888,3,"2004-09-29 00:00:00",Bug,0,0,100,1,Major,0,0,1,0,0,0,0,1,0.3333333333333333,0,0,6,7,92,77,253,372
CONF-1887,0,"2004-09-29 00:00:00",Bug,0,0,0,0,Major,0,0,1,0,0,0,0,1,0.3333333333333333,0,0,0,9,87,178,265,324
CONF-1892,2,"2004-09-30 00:00:00",Bug,0,0,0,0,Major,0,0,1,0,0,0,0,1,0.3333333333333333,0,0,6,10,98,192,282,386
CONF-1919,24,"2004-10-05 00:00:00",Bug,0,0,0,0,Minor,0,0,1,0,1,0,0,1,0,0,0,7,7,39,90,100,285
CONF-1970,15,"2004-10-13 00:00:00",Bug,0,0,0,0,Major,0,0,1,0,2,0,0,1,0.2857142857142857,0,0,7,7,6,195,270,138
CONF-1966,0,"2004-10-13 00:00:00",Bug,0,0,100,2,Trivial,1,0,1,0,0,0,0,1,0.2857142857142857,0,0,2,5,95,194,295,367
CONF-1973,28,"2004-10-14 00:00:00",Bug,0,0,100,1,Major,0,0,1,0,1,0,0,1,0.2222222222222222,0,0,7,2,91,171,164,62
CONF-1984,152,"2004-10-15 00:00:00",Suggestion,0,0,0,0,NULL,0,0,1,0,2,0,0,1,0.3,0,0,20,10,98,169,151,135
CONF-2020,0,"2004-10-19 00:00:00",Bug,0,0,0,0,Major,0,0,1,0,0,0,0,1,0.2727272727272727,0,0,0,6,82,59,154,125
CONF-2019,0,"2004-10-19 00:00:00",Suggestion,0,0,66,2,NULL,1,0,1,0,0,0,0,1,0.2727272727272727,0,0,0,8,76,160,285,295
CONF-2028,0,"2004-10-20 00:00:00",Suggestion,0,0,0,0,NULL,0,0,1,0,1,0,0,1,0.3076923076923077,0,0,70,9,95,35,275,203
CONF-2049,25,"2004-10-25 00:00:00",Suggestion,0,0,75,3,NULL,0,0,1,0,0,0,0,1,0.2857142857142857,0,0,4,10,91,102,164,62
CONF-2058,0,"2004-10-25 00:00:00",SubTask,0,0,75,3,Major,1,0,1,0,0,0,0,1,0.2857142857142857,0,0,0,4,82,165,261,400
JRA-5157,0,"2004-11-07 00:00:00",Bug,0,0,0,1,Blocker,1,0,0,2,0,0,0,1,0,0,0,2402,7,92,171,74,391
DEMO-116,0,"2005-12-29 00:00:00",Task,0,0,0,1,Major,1,0,1,0,0,0,0,0,0,0,0,18,5,48,167,227,376
JRA-11991,369,"2006-01-31 00:00:00",Suggestion,0,0,0,0,NULL,0,0,1,0,1,0,0,0,0,0,0,1,6,13,145,185,37
DEMO-226,4,"2006-02-11 00:00:00",Improvement,0,1,0,1,Critical,0,0,0,0,1,0,0,0,0,0,0,1,10,93,67,236,365
JRA-12899,401,"2006-05-07 00:00:00",Bug,0,0,0,1,Major,0,0,1,0,0,0,0,2,0,0,0,1,6,31,118,53,383
