issuekey,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,ProgressTime,RemainingDay,topic_10,topic_100,topic_200,topic_300,topic_400
MDL-21222,0,"2010-01-01 00:00:00",SubTask,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0.8116760828625236,0,0,327,10,53,188,202,328
MDL-21226,0,"2010-01-03 00:00:00",Improvement,0,0,0,0,Minor,0,0,1,0,2,0,0,1,0,0,0,325,1,67,97,116,61
MDL-21227,0,"2010-01-03 00:00:00",SubTask,0,0,0,0,Major,0,0,1,0,1,0,0,1,0.8118532455315146,0,0,325,6,6,160,280,356
MDL-21229,0,"2010-01-03 00:00:00",Bug,0,0,0,0,Trivial,0,0,1,0,1,0,1,1,0,0,0,81,9,84,79,257,271
MDL-21231,0,"2010-01-04 00:00:00",Bug,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0.5714285714285714,0,0,324,10,64,189,275,363
MDL-21232,0,"2010-01-04 00:00:00",Bug,0,0,0,0,Major,0,0,1,0,0,0,0,1,0.8620689655172413,0,0,324,4,51,182,295,308
MDL-21233,0,"2010-01-04 00:00:00",SubTask,0,0,0,0,Minor,0,0,1,0,1,0,0,1,0.8110902255639098,0,0,324,9,83,181,299,390
MDL-21234,0,"2010-01-04 00:00:00",SubTask,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0.8110902255639098,0,0,324,5,81,99,187,214
MDL-21235,0,"2010-01-04 00:00:00",SubTask,0,0,0,0,Minor,0,0,1,0,1,0,0,1,0.8110902255639098,0,0,324,8,68,99,215,398
MDL-21236,0,"2010-01-04 00:00:00",SubTask,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0.8620689655172413,0,0,324,10,81,139,269,330
MDL-21240,0,"2010-01-05 00:00:00",SubTask,0,0,0,0,Minor,0,0,1,0,2,1,0,1,0.8116213683223993,0,0,323,1,61,160,280,128
MDL-21241,0,"2010-01-05 00:00:00",SubTask,0,0,0,0,Minor,0,0,1,0,1,1,0,1,0.8116213683223993,0,0,323,1,61,100,276,234
MDL-21242,0,"2010-01-05 00:00:00",SubTask,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0.8116213683223993,0,0,323,9,81,160,280,186
MDL-21243,0,"2010-01-05 00:00:00",SubTask,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0.8116213683223993,0,0,323,1,97,184,186,169
MDL-21244,0,"2010-01-05 00:00:00",SubTask,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0.8116213683223993,0,0,323,6,83,90,186,167
CONTRIB-1705,289,"2010-01-05 00:00:00",NewFeature,0,0,0,0,Minor,0,0,4,0,0,0,0,8,0,0,0,79,6,95,153,296,255
CONTRIB-1706,289,"2010-01-05 00:00:00",Improvement,0,0,0,0,Minor,0,0,4,0,0,0,0,8,0,0,0,79,4,59,165,299,365
MDL-21248,0,"2010-01-05 00:00:00",Bug,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0.6481481481481481,0,0,79,10,86,184,86,343
MDL-21250,0,"2010-01-05 00:00:00",SubTask,0,0,0,0,Minor,0,0,1,0,2,0,1,1,0.6481481481481481,0,0,485,6,1,185,149,217
MDL-21251,0,"2010-01-06 00:00:00",SubTask,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0.8115671641791045,0,0,322,10,89,199,263,342
MDL-21252,0,"2010-01-06 00:00:00",SubTask,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0.8115671641791045,0,0,322,9,93,100,296,363
MDL-21257,0,"2010-01-06 00:00:00",SubTask,0,0,0,0,Major,0,0,2,0,0,0,0,1,0.5679012345679012,0,0,78,9,76,129,206,375
MDL-21258,67,"2010-01-06 00:00:00",SubTask,0,0,0,0,Major,0,0,1,0,4,4,0,1,0.5679012345679012,0,0,322,10,87,129,105,269
MDL-21261,0,"2010-01-06 00:00:00",SubTask,0,0,0,0,Major,0,0,1,0,4,3,0,1,0.5679012345679012,0,0,322,9,92,122,284,367
MDL-21262,0,"2010-01-06 00:00:00",Bug,0,0,0,0,Major,0,0,1,0,0,0,0,1,0.7728285077951003,0,0,292,10,81,138,100,81
MDL-21264,0,"2010-01-06 00:00:00",Bug,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0.7728285077951003,0,0,78,7,73,161,223,250
MDL-21265,0,"2010-01-06 00:00:00",Bug,0,0,0,0,Minor,0,0,2,0,0,0,0,2,0,0,0,78,9,30,33,165,274
CONTRIB-1710,335,"2010-01-07 00:00:00",Improvement,0,0,0,0,Major,0,0,3,0,0,0,0,1,0,0,0,540,7,54,199,211,339
MDL-21269,0,"2010-01-07 00:00:00",Bug,0,0,0,0,Major,0,0,1,0,0,0,0,1,0.44285714285714284,0,0,321,1,61,149,229,238
MDL-21270,0,"2010-01-07 00:00:00",Improvement,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0.5454545454545454,0,0,77,9,60,182,279,146
MDL-21276,0,"2010-01-08 00:00:00",Bug,0,0,0,0,Minor,0,0,1,0,1,0,0,1,0.5757575757575758,0,0,76,7,12,25,290,77
MDL-21279,0,"2010-01-08 00:00:00",Bug,0,0,0,0,Minor,0,0,1,0,2,0,1,1,0.5757575757575758,0,0,320,1,100,132,290,351
MDL-21281,0,"2010-01-08 00:00:00",Bug,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0.5757575757575758,0,0,320,3,91,91,286,215
MDL-21282,0,"2010-01-08 00:00:00",Bug,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0.44805194805194803,0,0,76,7,93,111,188,392
MDL-21283,0,"2010-01-08 00:00:00",Bug,0,0,0,0,Major,0,0,1,0,0,0,0,1,0,0,0,320,9,95,46,153,318
MDL-21284,0,"2010-01-09 00:00:00",Bug,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0,0,0,75,10,88,195,257,335
MDL-21293,0,"2010-01-11 00:00:00",Bug,0,0,0,0,Minor,0,0,1,0,1,0,1,1,0.041666666666666664,0,0,73,10,22,165,37,356
MDL-21294,0,"2010-01-11 00:00:00",Bug,0,0,0,0,Minor,0,0,1,0,3,0,2,1,0.5773809523809523,0,0,317,7,47,139,290,390
MDL-21295,0,"2010-01-11 00:00:00",SubTask,0,0,0,0,Minor,0,0,1,0,1,0,0,1,0.5773809523809523,0,0,317,7,98,25,290,187
MDL-21297,0,"2010-01-11 00:00:00",Bug,0,0,0,0,Minor,0,0,1,0,1,0,1,1,0.5773809523809523,0,0,317,9,98,94,290,393
MDL-21298,0,"2010-01-11 00:00:00",Bug,0,0,0,0,Minor,0,0,2,0,1,0,1,1,0.5773809523809523,0,0,73,10,86,192,231,77
MDL-21300,0,"2010-01-11 00:00:00",Bug,0,0,0,0,Minor,0,0,2,0,0,0,0,1,0,0,0,73,9,100,162,240,272
MDL-21302,0,"2010-01-11 00:00:00",Task,0,0,0,0,Critical,0,0,1,0,0,0,0,1,0.43661971830985913,0,0,317,10,93,183,252,304
CONTRIB-1716,0,"2010-01-11 00:00:00",NewFeature,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0,0,0,287,9,70,67,135,159
MDL-21304,0,"2010-01-11 00:00:00",Bug,0,0,0,0,Major,0,0,2,0,0,0,0,1,0,0,0,73,5,90,186,51,349
MDL-21305,0,"2010-01-11 00:00:00",Bug,0,0,0,0,Critical,0,0,1,0,0,0,0,1,0,0,0,287,7,83,10,287,181
MDL-21306,0,"2010-01-12 00:00:00",Bug,0,0,0,0,Major,0,0,1,0,0,0,0,1,0,0,0,286,1,61,56,229,305
MDL-21308,0,"2010-01-12 00:00:00",Bug,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0,0,0,72,5,39,50,282,339
MDL-21313,0,"2010-01-12 00:00:00",Bug,0,0,0,0,Blocker,0,0,1,0,0,0,0,1,0.4305555555555556,0,0,316,10,70,187,300,372
MDL-21315,0,"2010-01-12 00:00:00",Bug,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0.5,0,0,72,9,34,158,266,286
MDL-21317,0,"2010-01-12 00:00:00",Improvement,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0.5833333333333334,0,0,316,7,23,167,283,89
MDL-21319,0,"2010-01-12 00:00:00",Bug,0,0,0,0,Major,0,0,1,0,0,0,0,1,0.8119180633147114,0,0,316,7,60,25,290,327
MDL-21320,0,"2010-01-12 00:00:00",Bug,0,0,0,0,Minor,0,0,1,0,2,0,1,1,0,0,0,316,4,61,170,238,139
MDL-21324,0,"2010-01-13 00:00:00",Bug,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0.5872093023255814,0,0,315,9,100,162,290,335
MDL-21325,0,"2010-01-13 00:00:00",Bug,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0.5872093023255814,0,0,315,4,82,58,186,243
MDL-21328,0,"2010-01-13 00:00:00",Bug,0,0,0,0,Minor,0,0,2,0,0,0,0,1,0.5872093023255814,0,0,71,10,73,177,290,386
MDL-21330,0,"2010-01-13 00:00:00",Bug,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0,0,0,71,7,29,190,262,207
MDL-21332,0,"2010-01-13 00:00:00",Bug,0,0,0,0,Critical,0,0,1,0,0,0,0,1,0,0,0,71,6,7,53,106,181
MDL-21333,0,"2010-01-13 00:00:00",Bug,0,0,0,0,Major,0,0,1,0,0,0,0,1,0,0,0,285,2,76,64,256,304
MDL-21336,0,"2010-01-14 00:00:00",Bug,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0,0,0,70,8,84,88,119,43
MDL-21337,0,"2010-01-14 00:00:00",Bug,0,0,0,0,Major,0,0,1,0,0,0,0,1,0.22916666666666666,0,0,314,6,66,195,131,393
MDL-21338,50,"2010-01-14 00:00:00",Bug,0,0,0,0,Trivial,0,0,1,0,0,0,0,1,0,0,0,314,7,75,180,200,228
MDL-21343,0,"2010-01-14 00:00:00",Bug,0,0,0,0,Blocker,0,0,3,0,0,0,0,1,0,0,0,70,9,99,123,285,308
MDL-21342,0,"2010-01-14 00:00:00",Improvement,0,0,0,0,Blocker,0,0,1,0,3,0,0,2,0.4246575342465753,0,0,1216,10,25,85,293,400
MDL-21344,0,"2010-01-15 00:00:00",Bug,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0.4470842332613391,0,0,313,6,63,102,161,182
MDL-21345,0,"2010-01-15 00:00:00",Bug,0,0,0,0,Major,0,0,1,0,0,0,0,1,0.4470842332613391,0,0,313,9,96,131,224,395
MDL-21350,0,"2010-01-15 00:00:00",SubTask,0,0,0,0,Minor,0,0,1,0,0,0,0,1,0.85,0,0,313,4,60,167,255,276
