issuekey,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,ProgressTime,RemainingDay,topic_10,topic_100,topic_200,topic_300,topic_400
SFTP-23,0,"2010-01-03 00:00:00",Improvement,0,0,0,1,Minor,0,1,1,1,0,0,0,1,0.5714285714285714,0,0,16,8,92,184,266,395
MULE-4702,0,"2010-01-05 00:00:00",Task,0,0,17,26,Blocker,0,1,2,0,2,0,0,2,0.5195729537366548,0,0,41,6,30,30,195,217
MULE-4703,0,"2010-01-05 00:00:00",Bug,73,0,17,23,Minor,12,1,1,2,0,0,0,1,0.4875,0,219,7,2,58,55,195,214
MULE-4705,0,"2010-01-06 00:00:00",Bug,0,0,8,10,Major,1,1,2,0,1,0,0,3,0.5212765957446809,0,0,78,7,74,30,187,115
MULE-4706,0,"2010-01-07 00:00:00",Task,1,0,17,26,Major,0,1,2,1,3,0,0,2,0.519434628975265,0,1,38,9,87,127,187,150
MULE-4708,0,"2010-01-08 00:00:00",Bug,0,0,9,45,Minor,1,1,2,1,0,0,0,1,0,0,0,62,7,86,108,232,387
MULE-4710,0,"2010-01-12 00:00:00",Task,24,0,25,0,Critical,0,1,2,4,14,0,0,1,0.5211267605633803,0,72,0,1,59,87,123,161
SFTP-24,0,"2010-01-13 00:00:00",Improvement,0,0,11,1,Minor,1,1,1,1,0,0,0,1,0.6666666666666666,0,0,6,8,57,190,254,161
SFTP-25,0,"2010-01-13 00:00:00",Bug,0,0,11,1,Critical,2,1,1,1,0,0,0,1,0.6666666666666666,0,0,6,8,7,160,43,91
MULE-4712,0,"2010-01-18 00:00:00",Bug,12,0,9,34,Critical,10,1,1,1,1,0,0,1,0.519298245614035,0,36,30,8,86,112,165,380
MULEIDE-170,0,"2010-01-25 00:00:00",Task,85,0,9,32,Major,1,1,1,2,2,0,0,1,0.6601307189542484,0,254,6,8,61,28,215,226
MULE-4714,0,"2010-01-28 00:00:00",Bug,0,0,17,25,Major,2,0,3,1,0,0,0,1,0,0,0,18,1,88,23,213,350
MULE-4715,0,"2010-01-29 00:00:00",SubTask,119,0,8,7,Major,1,1,1,3,0,0,0,2,0.6623376623376623,1,355,57,3,100,30,187,115
SFTP-26,0,"2010-01-29 00:00:00",Bug,4,0,9,0,Critical,1,1,1,1,0,0,0,1,0.7272727272727273,0,3,6,5,91,136,265,394
SFTP-27,0,"2010-01-29 00:00:00",Improvement,3,0,9,0,Minor,1,1,1,1,0,0,0,1,0.7272727272727273,1,9,0,9,79,148,99,65
MULE-4716,0,"2010-02-01 00:00:00",Bug,0,0,50,4,Major,2,1,1,1,0,0,0,1,0.6580645161290323,0,189,1047,7,57,25,81,201
