boardid,sprintid,type,priority,no_comment,no_affectversion,no_fixversion,no_issuelink,no_blocking,no_blockedby,no_fixversion_change,no_priority_change,no_des_change,gunning_fog
21,341,Feature Request,Major,7,0,0,1,1,0,9,2,1,easy
21,341,Bug,Blocker,0,1,1,2,0,0,8,1,2,hard
21,341,Bug,Major,8,1,1,1,1,0,6,1,1,hard
21,341,Bug,Critical,0,1,2,0,0,0,6,1,0,hard
21,341,Sub-task,Critical,2,1,2,2,0,0,5,0,0,easy
21,341,Sub-task,Critical,1,1,1,0,0,0,4,0,0,hard
21,341,Bug,Critical,2,2,1,0,0,0,4,1,0,hard
21,341,Bug,Major,3,0,1,3,0,0,0,0,0,easy
21,341,Bug,Blocker,26,1,1,2,0,0,1,1,0,hard
21,341,Feature Request,Blocker,0,1,2,0,0,0,3,1,0,hard
21,341,Bug,Major,6,1,2,0,0,0,1,0,0,hard
101,111,Enhancement,Major,2,0,0,0,0,0,0,0,1,easy
101,111,Feature Request,Major,1,0,0,1,0,0,0,0,0,easy
101,111,Feature Request,Minor,0,0,0,0,0,0,0,0,0,hard
101,111,Task,Major,0,0,0,0,0,0,0,0,0,easy
101,111,Enhancement,Minor,0,0,0,0,0,0,0,0,0,easy
171,41,Feature Request,Critical,3,0,1,1,0,0,7,1,2,easy
171,41,Feature Request,Critical,3,0,1,3,0,2,6,1,0,easy
171,41,Feature Request,Blocker,5,0,1,7,5,1,6,2,0,easy
171,81,Task,Major,0,0,1,0,0,0,1,0,0,easy
171,81,Feature Request,Major,0,1,1,1,0,0,12,0,0,easy
171,81,Feature Request,Optional,0,1,1,0,0,0,2,0,0,easy
171,81,Feature Request,Minor,1,1,1,1,0,0,0,1,1,easy
171,81,Bug,Major,0,1,1,2,0,0,0,0,0,easy
171,81,Feature Request,Major,0,1,1,0,0,0,0,0,0,easy
171,81,Enhancement,Minor,0,0,0,0,0,0,2,0,0,easy
171,81,Feature Request,Critical,5,0,1,3,0,2,6,1,0,easy
171,81,Feature Request,Blocker,5,0,1,7,5,1,6,2,0,easy
171,81,Epic,Optional,3,0,1,2,1,0,6,2,0,easy
171,81,Feature Request,Critical,2,0,1,2,0,1,10,0,2,hard
171,91,Task,Major,1,0,1,0,0,0,3,0,0,easy
171,91,Feature Request,Minor,1,1,1,1,0,0,0,1,1,easy
171,91,Bug,Major,0,1,1,2,0,0,0,0,0,easy
171,91,Feature Request,Major,0,1,1,0,0,0,0,0,0,easy
171,91,Enhancement,Minor,0,0,0,0,0,0,4,1,0,easy
171,91,Feature Request,Critical,5,0,1,3,0,2,6,1,0,easy
171,91,Feature Request,Blocker,5,0,1,7,5,1,6,2,0,easy
171,91,Epic,Optional,4,0,1,2,1,0,10,2,0,easy
171,91,Feature Request,Critical,2,0,1,2,0,1,14,0,2,hard
171,131,Task,Minor,0,1,1,0,0,0,1,1,1,easy
171,131,Task,Major,4,1,1,0,0,0,1,0,1,easy
171,131,Task,Minor,0,1,1,0,0,0,1,1,2,hard
171,131,Task,Minor,0,1,1,0,0,0,1,1,1,easy
171,131,Task,Minor,0,1,1,0,0,0,1,1,1,easy
171,131,Task,Minor,0,1,1,0,0,0,1,1,1,easy
171,131,Feature Request,Minor,1,0,1,0,0,0,1,1,2,easy
171,131,Feature Request,Minor,0,1,1,0,0,0,0,0,1,easy
171,131,Feature Request,Minor,0,1,1,0,0,0,0,0,1,easy
171,131,Feature Request,Minor,0,1,1,0,0,0,0,0,1,easy
171,131,Feature Request,Major,0,1,1,0,0,0,0,0,0,easy
171,271,Feature Request,Critical,1,1,1,2,0,1,3,1,2,hard
171,271,Feature Request,Minor,0,1,1,2,0,0,3,1,7,hard
171,271,Task,Major,0,1,1,0,0,0,3,1,0,easy
171,271,Feature Request,Critical,3,0,1,2,0,1,1,1,0,hard
171,271,Feature Request,Minor,0,1,1,1,0,0,1,1,3,hard
171,271,Enhancement,Major,4,1,1,0,0,0,1,0,6,hard
171,271,Bug,Critical,2,1,1,1,0,0,1,0,1,hard
171,271,Task,Major,2,1,1,3,2,0,1,0,0,easy
171,271,Enhancement,Major,0,0,1,0,0,0,0,0,0,hard
171,271,Enhancement,Trivial,0,0,1,0,0,0,0,0,0,easy
171,271,Feature Request,Critical,3,0,1,2,0,1,14,1,2,hard
171,371,Feature Request,Major,2,1,1,0,0,0,3,3,0,easy
171,371,Enhancement,Major,5,1,1,0,0,0,1,0,6,hard
171,371,Enhancement,Critical,9,1,1,1,0,0,1,1,0,easy
171,371,Feature Request,Trivial,0,1,1,0,0,0,0,1,0,easy
171,371,Sub-task,Major,0,1,1,0,0,0,0,0,1,easy
171,371,Enhancement,Major,1,1,0,0,0,0,0,0,0,easy
171,371,Feature Request,Major,0,0,1,0,0,0,0,0,0,easy
171,371,Enhancement,Trivial,7,0,1,0,0,0,1,0,0,easy
171,371,Bug,Minor,1,0,1,0,0,0,1,2,0,hard
171,371,Bug,Critical,1,0,1,1,0,0,0,0,0,easy
171,371,Enhancement,Critical,0,1,1,0,0,0,0,0,0,easy
171,371,Bug,Minor,7,1,1,0,0,0,1,2,2,hard
171,371,Feature Request,Trivial,0,0,1,0,0,0,1,1,0,hard
171,371,Bug,Major,2,1,1,0,0,0,0,1,1,hard
171,371,Bug,Critical,0,0,1,0,0,0,0,1,0,hard
171,371,Component  Upgrade,Minor,0,1,1,0,0,0,0,0,0,easy
171,371,Bug,Major,0,1,1,0,0,0,0,0,0,easy
171,371,Feature Request,Optional,6,0,1,1,0,0,20,1,2,easy
171,561,Enhancement,Minor,0,1,1,0,0,0,8,1,1,hard
171,561,Task,Minor,0,1,1,0,0,0,9,4,0,easy
171,561,Feature Request,Major,2,1,1,0,0,0,9,3,0,easy
171,561,Feature Request,Minor,1,1,1,1,0,0,5,1,3,hard
171,561,Sub-task,Major,0,1,1,0,0,0,4,0,1,easy
171,561,Feature Request,Minor,1,0,1,0,0,0,4,1,2,hard
171,561,Feature Request,Minor,0,1,1,0,0,0,2,0,0,easy
171,561,Feature Request,Trivial,0,1,1,0,0,0,2,0,0,easy
171,561,Feature Request,Critical,1,0,1,0,0,0,2,0,1,easy
171,561,Feature Request,Major,0,1,1,0,0,0,3,0,0,hard
171,561,Task,Major,0,1,0,1,0,0,3,0,0,easy
171,561,Bug,Critical,4,1,0,0,0,0,3,1,0,hard
171,561,Bug,Critical,2,1,1,0,0,0,2,1,1,easy
171,561,Bug,Critical,2,1,1,1,0,0,2,0,0,hard
171,561,Enhancement,Major,1,0,1,0,0,0,2,0,0,easy
171,561,Task,Major,0,1,0,0,0,0,3,0,0,hard
171,561,Feature Request,Major,3,0,1,0,0,0,1,0,0,easy
171,561,Task,Major,2,0,1,0,0,0,1,0,1,easy
171,561,Task,Major,0,0,1,0,0,0,0,0,0,easy
171,561,Story,Major,0,0,1,0,0,0,0,0,0,easy
171,561,Task,Major,0,0,1,0,0,0,0,0,0,easy
171,561,Feature Request,Critical,1,0,1,2,0,0,16,6,1,hard
171,561,Feature Request,Optional,6,0,1,1,0,0,24,1,2,easy
