idissuelink,issuekey,linkedIssueKey,name
1,JBAS-23,JBAS-22,is related to
2,JBAS-1,JBAS-7,blocks
3,JBAS-1,JBAS-6,is incorporated by
4,JBAS-2,JBAS-6,is incorporated by
5,JBAS-3,JBAS-6,blocks
6,JBAS-3,JBAS-7,blocks
7,JBAS-5,JBBUILD-53,relates to
8,JBAS-6,JBAS-37,is blocked by
9,JBAS-6,JBAS-3,is blocked by
10,JBAS-6,JBAS-2,incorporates
11,JBAS-6,JBAS-1,incorporates
12,JBAS-7,HIBERNATE-1,is blocked by
13,JBAS-7,JBCACHE-1,is blocked by
14,JBAS-7,JBAS-10,is blocked by
15,JBAS-7,JBWS-26,is blocked by
16,JBAS-7,JBAS-56,is blocked by
17,JBAS-7,JBAS-1,is blocked by
18,JBAS-7,JBAS-3,is blocked by
19,JBAS-7,JBAS-13,is blocked by
20,JBAS-13,JBAOP-1,is blocked by
21,JBAS-13,JBAS-14,is blocked by
22,JBAS-13,JBAS-15,is blocked by
23,JBAS-13,JBWS-52,is blocked by
24,JBAS-13,JBAS-7,blocks
25,JBIDE-2,JBIDE-11,is incorporated by
26,JBIDE-3,JBIDE-11,is incorporated by
27,JBIDE-5,JBIDE-11,is incorporated by
28,JBIDE-11,JBIDE-4,incorporates
29,JBIDE-11,JBIDE-2,incorporates
30,JBIDE-11,JBIDE-3,incorporates
31,JBIDE-11,JBIDE-5,incorporates
32,JBMESSAGING-6,JBMESSAGING-50,blocks
33,JBAOP-2,JBAOP-3,blocks
34,JBAOP-2,JBAOP-3,is related to
35,JBAOP-3,JBAOP-2,is blocked by
36,JBAOP-3,JBAOP-2,relates to
37,EJBTHREE-9,EJBTHREE-154,blocks
38,EJBTHREE-12,JBAS-53,is blocked by
39,EJBTHREE-12,JBAS-1490,is related to
40,JBAS-63,JBMICROCONT-57,is blocked by
41,JBAS-63,JBAS-3865,blocks
42,JBAS-63,JBAS-3908,blocks
43,JBAS-63,JBAS-4105,blocks
44,JBAS-63,JBMICROCONT-18,incorporates
45,JBAS-63,JBAS-2380,incorporates
46,JBAS-63,JBAS-1841,incorporates
47,JBAS-63,JBMICROCONT-6,incorporates
48,JBWEB-9,JBWEB-10,blocks
49,JBWEB-10,JBWEB-9,is blocked by
50,JBCACHE-40,JBCACHE-16,is blocked by
51,JBPROFILER-11,JBPROFILER-12,is duplicated by
52,JBWS-160,JBWS-129,is blocked by
53,JBWS-160,JBWS-161,is related to
54,JBWS-161,JBWS-111,is blocked by
55,JBWS-161,JBWS-160,relates to
56,JBAOP-110,JASSIST-15,is blocked by
57,JBNMAN-1,JBNMAN-66,relates to
58,JBNMAN-43,JBNMAN-65,is blocked by
59,JBNMAN-43,JBNMAN-81,is blocked by
60,JBNDIST-2,JBNDIST-20,is related to
61,JBWS-354,JBWS-169,is blocked by
62,JBWS-354,JBWS-295,is blocked by
63,JBWS-354,JBAS-2101,blocks
64,JBAS-2580,JBADMCON-79,blocks
65,JBAS-2580,JBADMCON-134,blocks
66,JBTM-2,JBTM-22,is blocked by
67,JBTM-2,JBTM-23,is blocked by
68,JBTM-5,JBTM-22,is blocked by
69,JBTM-5,JBTM-24,is blocked by
70,JBCACHE-421,JBAS-2789,blocks
71,JBDOCS-174,JBAS-2821,blocks
72,JBRULES-59,JBRULES-49,is blocked by
73,JBMAIL-196,JBMAIL-84,blocks
74,JBCLUSTER-115,EJBTHREE-585,is blocked by
75,JBCLUSTER-115,JBCLUSTER-84,is blocked by
76,JBCLUSTER-115,JBCLUSTER-89,is blocked by
77,JBCLUSTER-115,JBCLUSTER-17,is blocked by
78,JBCLUSTER-115,JBCLUSTER-11,is blocked by
79,JBCLUSTER-115,JBCLUSTER-117,is blocked by
80,JBCLUSTER-115,JBCLUSTER-15,is blocked by
81,JBCLUSTER-115,JBCLUSTER-16,is blocked by
82,JBCLUSTER-115,JBCLUSTER-10,is blocked by
83,JBCLUSTER-115,JBCLUSTER-51,is blocked by
84,JBCLUSTER-115,JBCLUSTER-125,is blocked by
85,JBCLUSTER-115,JBCLUSTER-8,is blocked by
86,JBCLUSTER-115,JBCLUSTER-132,is blocked by
87,JBCLUSTER-115,JBREM-228,is blocked by
88,JBCLUSTER-115,JBAS-1475,is blocked by
89,JBCLUSTER-115,JBCLUSTER-6,is blocked by
90,JBCLUSTER-115,JBCLUSTER-30,is blocked by
91,JBWS-855,JBXB-62,is blocked by
92,JBWS-855,JBWS-673,is blocked by
93,JBWS-855,JBWS-995,is blocked by
94,JBAS-3148,JBCLUSTER-11,blocks
95,JBAS-3148,JBAS-3531,blocks
96,JGRP-223,JGRP-82,is blocked by
97,JGRP-223,JGRP-89,is blocked by
98,JGRP-223,JGRP-144,is blocked by
99,JGRP-223,JGRP-205,is blocked by
100,JGRP-223,JGRP-181,is blocked by
101,JBPORTAL-845,JBPORTAL-704,blocks
102,JBWS-902,JBWS-798,is blocked by
103,JBAS-3170,JBAS-3908,blocks
104,JBCACHE-667,JBCACHE-764,is blocked by
105,JBWS-1015,JBXB-68,is blocked by
106,JBESB-114,JBESB-59,relates to
107,JBWS-1127,JBWS-2523,relates to
108,JBWS-1134,JBWS-801,blocks
109,JBAS-3650,ASPATCH-118,is incorporated by
110,JBNET-728,JBNET-799,is related to
111,JBXB-82,JBWS-1143,is blocked by
112,JBXB-82,JBXB-85,is blocked by
113,JBXB-82,JBWS-1108,is blocked by
114,JBXB-82,JBWS-1148,is blocked by
115,JBXB-82,JBXB-87,is blocked by
116,JBXB-82,JBWS-1199,blocks
117,JBAS-3755,JBPAPP-1279,is incorporated by
118,JBAS-3755,ASPATCH-106,is incorporated by
119,JBAS-3755,ASPATCH-109,is incorporated by
120,JBAS-3766,JBWS-1315,is blocked by
121,JBESB-311,JBESB-333,duplicates
122,JBMESSAGING-723,JBMESSAGING-578,relates to
123,JBAS-3978,JBAS-3947,is related to
124,JBAS-3983,JBAS-3975,is blocked by
125,JBAS-3983,ASPATCH-145,is incorporated by
126,JBNET-1018,JBNET-1147,blocks
127,JBNET-1069,JBNET-2044,is duplicated by
128,JBNET-1069,JBNET-2250,is duplicated by
129,JBNET-1133,JBNET-1135,relates to
130,JBNET-1133,JBNET-1136,relates to
131,JBNET-1135,JBNET-1133,is related to
132,JBNET-1136,JBNET-1133,is related to
133,JBNET-1147,JBNET-1018,is blocked by
134,JBNET-1148,JBNET-1057,blocks
135,JBNET-1149,JBNET-1057,blocks
136,JBNET-1150,JBNET-1057,blocks
137,JBNET-1160,JBNET-968,blocks
138,JBNET-1163,JBNET-1203,is blocked by
139,JBNET-1163,JBNET-968,blocks
140,JBNET-1164,JBNET-1204,is blocked by
141,JBNET-1164,JBNET-968,blocks
142,JBNET-1166,JBNET-968,blocks
143,JBAS-4132,JBAS-4694,relates to
144,JBAS-4132,JBAS-4152,relates to
145,JBNET-1252,JBNET-1262,is blocked by
146,JBNET-1314,JBNET-1326,is blocked by
147,JBNET-1314,JBNET-1327,is blocked by
148,JBNET-1314,JBNET-1365,is blocked by
149,JBNET-1316,JBNET-1325,is blocked by
150,JBNET-1317,JBNET-1375,is blocked by
151,JBNET-1317,JBNET-1364,is blocked by
152,JBNET-1326,JBNET-1314,blocks
153,JBNET-1327,JBNET-1314,blocks
154,ASPATCH-176,JBAS-2813,incorporates
155,JBNET-1364,JBNET-1317,blocks
156,JBWS-1653,JBWS-1771,is related to
157,JBWS-1653,JBPAPP-276,is incorporated by
158,JBESB-592,JBESB-425,relates to
159,JBESB-592,JBESB-367,relates to
160,ASPATCH-228,JBAS-4312,incorporates
161,RF-268,RF-349,relates to
162,RF-269,RF-1890,relates to
163,RF-270,RF-237,is duplicated by
164,RF-271,RF-272,blocks
165,RF-272,RF-271,is blocked by
166,RF-273,RF-552,relates to
167,ASPATCH-236,JBPAPP-681,relates to
168,ASPATCH-236,JBAS-4413,incorporates
169,JBDS-96,JBDS-117,is blocked by
170,JBDS-96,JBDS-186,is blocked by
171,RF-412,RF-16,is related to
172,RF-422,RF-284,is related to
173,RF-423,RF-260,is related to
174,RF-424,RF-214,is related to
175,RF-426,RF-86,is related to
176,RF-446,RF-322,is related to
177,RF-447,RF-370,is related to
178,RF-501,RF-349,relates to
179,RF-502,RF-330,relates to
180,JBWS-1771,JBWS-1653,relates to
181,JBWS-1771,JBPAPP-274,is incorporated by
182,RF-523,RF-522,blocks
183,RF-524,RF-773,is duplicated by
184,RF-524,RF-774,is duplicated by
185,JBDS-5,JBDS-226,relates to
186,RF-552,RF-273,is related to
187,JBIDE-788,JBIDE-1457,is blocked by
188,JBIDE-788,JBIDE-1469,blocks
189,JBIDE-788,JBIDE-1329,blocks
190,JBIDE-788,JBIDE-1769,blocks
191,JBIDE-788,JBIDE-1547,is related to
192,JBIDE-788,JBIDE-1789,is related to
193,JBIDE-788,JBIDE-1636,is related to
194,JBPAPP-314,JBREM-749,is blocked by
195,JBPAPP-314,JBREM-755,is blocked by
196,JBPAPP-314,JBREM-756,is blocked by
197,JBPAPP-314,JBREM-757,is blocked by
198,JBPAPP-314,JBREM-765,is blocked by
199,JBPAPP-314,JBREM-743,is blocked by
200,JBPAPP-314,JBREM-747,is blocked by
201,JBPAPP-314,JBREM-748,is blocked by
202,JBPAPP-314,JBREM-750,is blocked by
203,JBPAPP-314,JBREM-754,is blocked by
204,JBPAPP-314,JBREM-766,is blocked by
205,JBPAPP-314,JBREM-771,is blocked by
206,JBPAPP-314,JBREM-774,is blocked by
