boardid,sprintid,name,vel_diff,planday,no_issue_starttime,vel_starttime,no_issue_added,vel_added,no_issue_removed,vel_removed,no_issuetodo,vel_todo,no_issueinprogress,vel_inprogress,no_issuedone,vel_done,no_admin,no_teammember
21,341,Beta6,-2,2,8,16,1,2,0,0,7,14,2,4,0,0,1,4
101,111,Sprint 1,1,14,4,20,0,0,2,18,2,2,0,0,0,0,1,1
171,41,Sprint 1 - Critical Issues,-2,14,3,3,0,0,0,0,1,1,2,2,0,0,1,4
171,81,Sprint 1,-32,12,11,32,0,0,0,0,11,32,0,0,0,0,1,3
171,91,Sprint 2,-22,14,9,27,0,0,0,0,4,22,0,0,5,5,1,4
171,131,Documentation Sprint,0,18,11,31,0,0,0,0,6,18,0,0,5,13,1,4
171,271,Sprint 1,-28,14,9,71,0,0,0,0,8,55,1,16,0,0,1,3
171,371,Sprint 2,-53,14,12,65,0,0,0,0,9,62,2,2,1,1,1,6
171,561,Sprint for Alpha4,-57,14,22,69,0,0,0,0,17,61,2,5,3,3,1,6
171,661,Sprint 1,1,14,11,21,2,2,3,10,8,11,0,0,2,2,1,6
171,870,Prepare Alpha5 for Release,-1,1,5,5,1,1,0,0,1,1,0,0,5,5,1,2
171,880,Release Alpha5 Sprint,-1,14,1,1,0,0,0,0,1,1,0,0,0,0,1,2
171,890,Prepare for Beta,-1,14,2,2,5,5,0,0,1,1,0,0,6,6,1,1
171,900,Prepare for Beta 2,-1,14,7,7,6,13,1,8,8,8,1,1,3,3,1,2
171,980,Graphene 2.0.0.Beta2,-1,14,4,4,0,0,0,0,1,1,0,0,3,3,1,2
171,1061,Graphene 2.0.0.CR2,-1,14,2,2,2,2,0,0,0,0,1,1,3,3,1,2
171,1121,Graphene 2.0.1 Sprint 1,-21,32,10,21,0,0,0,0,9,20,1,1,0,0,1,4
171,1161,Graphene 2.0.0.Final,0,14,4,4,0,0,2,2,1,1,0,0,1,1,1,2
181,31,Sprint 1 - Critical Issues,23,43,3,111,0,0,0,0,2,61,1,50,0,0,1,1
181,291,Low-hanging Fruit,0,15,9,9,5,7,0,0,1,1,1,2,12,13,1,1
181,351,Final Sprint,3,10,5,15,1,1,0,0,2,9,0,0,4,7,1,2
181,531,Critical Issues,-80,36,11,82,0,0,0,0,9,80,0,0,2,2,1,3
181,571,Warp Alpha3,10,4,6,28,1,1,3,25,1,1,1,1,2,2,1,2
181,800,Warp Beta1,-75,35,13,111,0,0,5,36,5,58,3,17,0,0,1,3
181,920,Warp Alpha4,-1,3,2,2,0,0,0,0,1,1,0,0,1,1,1,1
211,111,Sprint 1,1,14,4,20,0,0,2,18,2,2,0,0,0,0,1,1
221,5,Sprint 1 - Trivial Issues,0,6,9,9,0,0,0,0,9,9,0,0,0,0,1,2
221,11,Sprint 2 - Component Upgrades,0,14,4,4,0,0,0,0,3,3,1,1,0,0,1,1
221,21,Sprint  - Critical bug fixes,-8,14,3,13,0,0,0,0,3,13,0,0,0,0,1,4
221,51,Sprint  - Trivial Issues,0,1,2,2,0,0,0,0,0,0,0,0,2,2,1,1
221,61,Sprint  - Simpify dev-examples,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1
221,71,CDK issues,-33,2,4,33,0,0,0,0,3,9,1,24,0,0,1,2
221,101,4.3.0.M2 sprint 1,0,7,6,29,3,10,0,0,1,8,1,1,7,30,1,4
221,161,4.3.0.M2 iteration sprint,7,14,5,37,2,5,1,1,4,16,1,24,1,1,1,4
221,191,Release Tasks,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,2
221,201,4.3.0.M2 - Final Sprint,4,16,7,37,3,4,2,28,3,4,2,5,3,4,1,5
221,231,Release Sprint,2,14,1,1,0,0,0,0,1,1,0,0,0,0,1,1
221,241,4.3.0.M3 - Sprint 1,1,8,3,49,1,1,0,0,2,25,1,24,1,1,1,2
221,301,4.3.0.M3 - Quick Issue Sprint,1,7,14,30,1,1,0,0,7,16,0,0,8,15,1,4
221,311,4.3.0.M3 - IE & Editor Sprint,-1,4,7,16,8,8,1,3,14,21,0,0,0,0,1,5
221,321,4.3.0.M3 - EDT and AJAX,30,7,7,76,2,2,0,0,1,1,1,24,7,50,1,8
221,361,4.3.0.CR1 - Regression Fixes,3,2,7,7,0,0,0,0,0,0,3,3,4,4,1,3
221,381,4.3.0.CR1 - Bug fixes,7,17,6,8,0,0,0,0,6,8,0,0,0,0,1,2
221,411,4.3.0.CR1 Doc Corrections,0,2,7,7,0,0,1,1,4,4,0,0,2,2,1,2
221,421,4.3.0.CR1 Doc Features,0,14,8,8,1,1,0,0,0,0,0,0,9,9,1,2
221,431,4.3.0.CR1 - Sprint,1,14,8,8,0,0,1,1,7,7,0,0,0,0,1,2
221,441,4.3.0.CR2 Blog Sprint,-2,14,10,10,0,0,5,5,1,1,3,3,1,1,1,3
221,461,4.3.0.Final Sprint,-12,5,9,9,3,3,0,0,12,12,0,0,0,0,1,4
221,471,4.3.0.Final Sprint,-1,4,3,3,9,9,0,0,12,12,0,0,0,0,1,4
221,491,4.3.1 Sprint - Critical + tabs,-1,16,4,4,1,1,0,0,1,1,0,0,4,4,1,3
221,511,4.3.1 Sprint - Fixes,-1,15,6,6,0,0,1,1,0,0,0,0,5,5,1,4
221,521,4.3.1 Sprint - Release,0,6,1,1,0,0,0,0,1,1,0,0,0,0,1,1
221,601,RF5 Alpha1 Sprint 4,-3,14,3,3,0,0,0,0,0,0,0,0,3,3,1,3
221,611,RF 4.3.2 Sprint 2,0,25,3,3,6,6,1,1,8,8,0,0,0,0,1,4
221,621,4.3.2 Sprint 1,-1,4,11,11,0,0,0,0,1,1,1,1,9,9,1,3
221,631,4.3.2 Sprint 2,0,3,1,1,0,0,0,0,0,0,0,0,1,1,1,1
221,641,4.3.2 Release,0,3,1,1,0,0,0,0,1,1,0,0,0,0,1,1
221,681,4.3.2.Final Release,0,2,2,2,0,0,0,0,0,0,0,0,2,2,1,3
221,731,5.0.0.Alpha1 Sprint,0,2,0,0,4,4,0,0,0,0,0,0,4,4,1,2
221,750,5.0.0.Alpha1 Docs,0,14,2,2,0,0,0,0,0,0,0,0,2,2,1,1
221,790,5.0.0.Alpha2 - Sprint 1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1
221,830,RichFaces 4.3.4 Sprint 1,0,16,15,15,7,7,0,0,22,22,0,0,0,0,1,6
221,850,RichFaces 4.3.4 Release,-1,7,1,1,0,0,0,0,1,1,0,0,0,0,1,1
221,910,RichFaces 4.3.4 Sprint,-1,3,5,5,0,0,0,0,1,1,1,1,3,3,1,1
221,930,RichFaces 4.3.4 Release Respin,-1,14,1,1,0,0,0,0,1,1,0,0,0,0,1,1
221,940,RichFaces 4.3.4 Sprint,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
221,950,RichFaces 4.3.4 Sprint 2,0,14,1,1,0,0,0,0,1,1,0,0,0,0,1,1
221,1031,4.3.5 Sprint 1,-1,7,8,8,0,0,0,0,8,8,0,0,0,0,1,5
221,1511,5.0.0.Alpha3 - Sprint 1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1
221,1581,4.3.5.Sprint 2,0,3,5,5,3,3,0,0,0,0,1,1,7,7,1,6
221,1621,Rel 5.0.0.Alpha2, 4.5.0.Alpha2,0,3,1,1,0,0,0,0,1,1,0,0,0,0,1,1
221,1940,4.5.0.Alpha3 - Sprint 2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
221,1970,4.3.7 Sprint 1,0,15,8,8,1,1,0,0,0,0,0,0,9,9,1,6
221,2060,4.3.7 Release Sprint,-1,25,1,1,0,0,0,0,1,1,0,0,0,0,1,1
221,2190,4.5.0.Alpha3 - Sprint 4,0,14,1,1,1,1,0,0,0,0,0,0,2,2,1,2
221,2250,4.5.0.Alpha3 - Sprint 5,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,2
221,2400,4.5.0.Beta2 - Sprint 1,0,4,1,1,0,0,0,0,0,0,0,0,1,1,1,1
231,181,PBR_3.1.0.Beta3,0,6,1,3,0,0,1,3,0,0,0,0,0,0,1,1
231,211,ArqExtensions_1.0.0.Alpha2,0,6,8,25,2,10,0,0,5,21,3,10,2,4,1,1
231,401,PortalExtensions_1.0.0.Alpha4,0,6,3,6,0,0,0,0,3,6,0,0,0,0,1,1
291,341,Beta6,-2,2,1,2,0,0,0,0,1,2,0,0,0,0,1,3
321,231,Release Sprint,2,14,1,1,0,0,0,0,1,1,0,0,0,0,1,1
321,521,4.3.1 Sprint - Release,0,6,1,1,0,0,0,0,1,1,0,0,0,0,1,1
321,641,4.3.2 Release,0,3,1,1,0,0,0,0,1,1,0,0,0,0,1,1
321,711,5.0.0.Alpha1 Release,0,14,1,1,0,0,0,0,1,1,0,0,0,0,1,1
321,850,RichFaces 4.3.4 Release,-1,7,1,1,0,0,0,0,1,1,0,0,0,0,1,1
321,930,RichFaces 4.3.4 Release Respin,-1,14,1,1,0,0,0,0,1,1,0,0,0,0,1,1
321,950,RichFaces 4.3.4 Sprint 2,0,14,1,1,0,0,0,0,1,1,0,0,0,0,1,1
321,1521,Rel 5.0.0.Alpha2, 4.5.0.Alpha1,0,14,2,2,0,0,0,0,2,2,0,0,0,0,1,1
321,1621,Rel 5.0.0.Alpha2, 4.5.0.Alpha2,0,3,1,1,0,0,0,0,1,1,0,0,0,0,1,1
321,2060,4.3.7 Release Sprint,-1,25,1,1,0,0,0,0,1,1,0,0,0,0,1,1
351,1001,3.3.0.Beta1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1
361,5,Sprint 1 - Trivial Issues,0,6,1,1,0,0,0,0,1,1,0,0,0,0,1,1
361,71,CDK issues,-4,2,1,4,0,0,0,0,1,4,0,0,0,0,1,1
361,101,4.3.0.M2 sprint 1,0,7,1,1,0,0,0,0,0,0,0,0,1,1,1,1
361,201,4.3.0.M2 - Final Sprint,0,16,1,4,0,0,0,0,0,0,1,4,0,0,1,1
361,411,4.3.0.CR1 Doc Corrections,0,2,9,9,0,0,1,1,4,4,0,0,4,4,1,2
361,421,4.3.0.CR1 Doc Features,0,14,8,8,1,1,0,0,0,0,0,0,9,9,1,2
