boardid,sprintid,type,priority,no_comment,no_affectversion,no_fixversion,no_issuelink,no_blocking,no_blockedby,no_fixversion_change,no_priority_change,no_des_change,gunning_fog
43,1,Sub-task,Minor,0,0,2,0,0,0,0,0,0,easy
43,1,Sub-task,Minor,0,0,2,0,0,0,0,0,0,easy
43,1,Sub-task,Minor,0,0,2,0,0,0,0,0,0,easy
43,1,Sub-task,Minor,0,0,0,0,0,0,0,0,0,easy
43,1,Sub-task,Minor,0,1,1,1,0,0,0,0,0,medium
43,1,Sub-task,Minor,0,0,0,0,0,0,0,0,0,easy
43,9,Sub-task,Minor,0,0,0,0,0,0,0,0,0,easy
43,9,Dev. Sub-task,Minor,0,0,0,0,0,0,0,0,0,easy
43,9,Dev. Sub-task,Minor,0,0,0,0,0,0,0,0,0,easy
43,9,Sub-task,Minor,0,0,0,0,0,0,0,0,0,easy
43,9,Sub-task,Minor,0,0,0,0,0,0,0,0,0,easy
43,9,Sub-task,Minor,0,0,0,0,0,0,0,0,0,easy
43,9,Sub-task,Minor,0,0,0,0,0,0,0,0,0,easy
43,9,Story,Major,0,0,2,0,0,0,2,0,0,easy
43,9,Improvement,Major,0,0,2,0,0,0,2,0,0,hard
43,9,Improvement,Minor,0,0,0,0,0,0,0,0,0,easy
43,9,Bug,Trivial,1,0,0,0,0,0,0,4,1,easy
43,9,Sub-task,Minor,1,0,0,0,0,0,0,0,1,easy
43,9,Sub-task,Minor,0,0,2,0,0,0,0,0,0,easy
43,9,Bug,Trivial,2,0,0,0,0,0,0,1,0,easy
43,9,Task,Minor,0,0,2,0,0,0,0,0,0,easy
43,9,Bug,Critical,0,0,0,0,0,0,0,0,0,easy
43,9,Bug,Minor,0,0,0,0,0,0,0,0,0,easy
43,9,New Feature,Minor,0,0,0,1,0,0,0,0,0,easy
43,9,Sub-task,Minor,0,0,0,0,0,0,0,0,0,easy
43,9,Sub-task,Minor,0,0,0,0,0,0,0,0,0,easy
43,9,Sub-task,Minor,0,0,2,0,0,0,0,0,0,easy
43,9,Sub-task,Minor,0,0,0,0,0,0,0,0,0,easy
43,9,Dev. Sub-task,Major,0,0,0,0,0,0,0,0,0,easy
43,9,Dev. Sub-task,Major,0,0,0,0,0,0,0,0,0,easy
43,10,Dev. Sub-task,Minor,0,0,0,0,0,0,0,0,0,easy
43,10,Dev. Sub-task,Minor,0,0,0,0,0,0,0,0,0,easy
43,10,Sub-task,Minor,0,0,0,0,0,0,0,0,0,easy
43,10,Task,Major,0,0,2,0,0,0,2,0,0,easy
43,10,Sub-task,Major,1,1,2,0,0,0,2,0,0,easy
43,10,Sub-task,Minor,1,0,2,0,0,0,2,0,0,easy
43,10,Sub-task,Trivial,0,0,2,0,0,0,2,0,0,easy
43,10,Story,Major,0,0,2,0,0,0,2,0,0,easy
43,10,Improvement,Major,0,0,2,0,0,0,2,0,0,hard
43,10,Sub-task,Minor,0,0,2,0,0,0,0,0,0,easy
43,10,Improvement,Minor,0,0,0,0,0,0,0,0,0,easy
43,10,Sub-task,Minor,0,0,2,0,0,0,0,0,0,easy
43,10,Bug,Trivial,2,0,0,0,0,0,0,1,0,easy
43,10,Task,Minor,0,0,2,0,0,0,0,0,0,easy
43,10,Bug,Critical,0,0,0,0,0,0,0,0,0,easy
43,10,Bug,Minor,0,0,0,0,0,0,0,0,0,easy
43,10,New Feature,Minor,0,0,0,1,0,0,0,0,0,easy
43,10,Sub-task,Minor,0,0,0,0,0,0,0,0,0,easy
43,10,Sub-task,Minor,0,0,0,0,0,0,0,0,0,easy
43,10,Sub-task,Minor,0,0,2,0,0,0,0,0,0,easy
