idissuelink,issuekey,linkedIssueKey,name
1,ANERDS-163,ANERDS-9,is cloned from
2,ANERDS-291,ANERDS-4704,was cloned as
3,ANERDS-32,ANERDS-182,blocks
4,ANERDS-33,ANERDS-203,derived from
5,ANERDS-4704,ANERDS-291,is cloned from
6,ANERDS-4893,ANERDS-9,is cloned from
7,ANERDS-63,ANERDS-14,duplicates
8,ANERDS-8,ANERDS-27,is caused by
9,ANERDS-9,ANERDS-4893,was cloned as
10,ANERDS-9,ANERDS-163,was cloned as
11,BAM-10580,BAM-13757,is duplicated by
12,BAM-10947,BAM-12840,relates to
13,BAM-10947,BAM-10948,is related to
14,BAM-11250,BAM-11021,incorporates
15,BAM-11680,BAM-11774,is duplicated by
16,BAM-11774,BAM-11680,duplicates
17,BAM-13489,BAM-13703,Testing discovered
18,BAM-13512,BAM-8259,is duplicated by
19,BAM-13512,BAM-9121,is duplicated by
20,BAM-13512,BAM-11961,is duplicated by
21,BAM-13512,BAM-13522,is related to
22,BAM-13588,BAM-13726,duplicates
23,BAM-13588,BAM-14824,is related to
24,BAM-13757,BAM-10580,duplicates
25,BAM-13927,BAM-13788,relates to
26,BAM-5379,BAM-11411,is blocked by
27,BAM-7354,BAM-2683,duplicates
28,BAM-9121,BAM-13512,duplicates
29,BON-1775,BON-1642,is cloned from
30,BON-1827,GHS-8716,is cloned from
31,BON-1828,BON-1905,has a derivative of
32,BON-1853,BON-1858,is duplicated by
33,BON-1872,GHS-9730,is related to
34,BON-1888,BON-1990,causes
35,BON-1888,BON-1914,duplicates
36,BON-1888,BON-1957,is duplicated by
37,BON-1888,BON-1916,is duplicated by
38,BON-1888,BON-1913,is related to
39,BON-1888,BON-1640,is related to
40,BON-1895,BON-1902,is duplicated by
41,BON-1895,BON-1929,has a regression in
42,BON-1905,BON-1828,derived from
43,BON-1923,BON-1924,is related to
44,BON-1924,BON-1923,relates to
45,BON-1955,BON-1964,is related to
46,CONF-11467,CONF-16477,incorporates
47,CONF-11467,TEAMCAL-682,is related to
48,CONF-11467,CONF-14104,is related to
49,CONF-11467,CONF-16163,is related to
50,CONF-11467,CONF-16477,is related to
51,CONF-13798,CONF-31675,causes
52,CONF-13798,CONF-18085,causes
53,CONF-13798,CONF-12947,is related to
54,CONF-16477,CONF-32702,blocks
55,CONF-16477,CONF-21166,is duplicated by
56,CONF-16477,CONF-23177,is duplicated by
57,CONF-16477,CONF-6160,is duplicated by
58,CONF-16477,CONF-16486,is duplicated by
59,CONF-16477,CONF-16163,incorporates
60,CONF-16477,CONF-20941,incorporates
61,CONF-16477,CONF-11467,is incorporated by
62,CONF-16477,CONF-27372,relates to
63,CONF-16477,CONF-11467,relates to
64,CONF-16477,CONF-25542,relates to
65,CONF-16477,CONF-28888,relates to
66,CONF-16477,CONF-22337,is related to
67,CONF-16477,CONF-24977,is related to
68,CONF-16477,CONF-7771,is related to
69,CONF-16477,CONF-19103,is related to
70,CONF-16477,JRA-29932,is related to
71,CONF-16993,CONF-16802,is caused by
72,CONF-16993,CONF-21510,is duplicated by
73,CONF-16993,CONF-23068,is incorporated by
74,CONF-16993,CONF-33065,relates to
75,CONF-16993,CONF-23068,relates to
76,CONF-16993,CONF-27874,is related to
77,CONF-16993,CONF-14485,is related to
78,CONF-16993,CONF-27872,is related to
79,CONF-17523,CONF-5633,is related to
80,CONF-17523,CONF-10271,is related to
81,CONF-22002,CONF-30112,causes
82,CONF-22002,CONF-30152,causes
83,CONF-22002,CONF-30659,causes
84,CONF-22002,CONF-31580,causes
85,CONF-22002,CONF-31375,is duplicated by
86,CONF-22002,CONF-25689,is duplicated by
87,CONF-22002,CONF-28498,is duplicated by
88,CONF-22002,CONF-31715,is duplicated by
89,CONF-22002,CONF-33486,is related to
90,CONF-22002,CONF-13729,is related to
91,CONF-22002,CONF-22739,is related to
92,CONF-22002,CONF-31715,is related to
93,CONF-22002,CONF-32209,has a regression in
94,CONF-22002,CONF-36326,has a regression in
95,CONF-22069,CONF-27397,blocks
96,CONF-22069,CONF-21480,relates to
97,CONF-22477,CONF-22659,is duplicated by
98,CONF-22477,CONF-26371,is incorporated by
99,CONF-22477,CWD-1971,relates to
100,CONF-22477,JRA-32129,is related to
101,CONF-22726,CONF-25236,relates to
102,CONF-22726,CONF-24978,is related to
103,CONF-23171,CONF-25488,is related to
104,CONF-23336,CONF-7612,is incorporated by
105,CONF-23682,CONF-23487,is duplicated by
106,CONF-23682,CONF-23487,relates to
107,CONF-24201,CONF-25537,is duplicated by
108,CONF-24201,CONF-25016,is duplicated by
109,CONF-24201,CONF-25537,relates to
110,CONF-24201,CONF-30997,is related to
111,CONF-2455,CONF-1576,is blocked by
112,CONF-2455,CONF-33613,Testing discovered
113,CONF-2455,CONF-2585,is duplicated by
114,CONF-2455,CONF-6846,is duplicated by
115,CONF-2455,CONF-6634,is duplicated by
116,CONF-2455,CONF-34568,is related to
117,CONF-2455,CONF-16142,is related to
118,CONF-24738,CONF-24756,relates to
119,CONF-24760,CONF-25994,relates to
120,CONF-24760,CONF-25057,is related to
121,CONF-24786,CWD-995,is cloned from
122,CONF-24786,JRA-30694,was cloned as
123,CONF-24918,CONF-26848,causes
124,CONF-24978,CONF-22726,relates to
125,CONF-25018,CONF-27935,is duplicated by
126,CONF-25057,CONF-24760,relates to
127,CONF-25111,CONF-24239,is duplicated by
128,CONF-25111,CONF-27140,is duplicated by
129,CONF-25111,CONF-32497,is related to
130,CONF-25235,CONF-25120,relates to
131,CONF-25259,CONF-25310,duplicates
132,CONF-25259,CONF-25310,is duplicated by
133,CONF-25259,CONF-25766,is duplicated by
134,CONF-25314,CONF-25486,is incorporated by
135,CONF-25348,CONF-26057,is incorporated by
136,CONF-25476,CONF-25213,derived from
137,CONF-25476,JRA-25181,is incorporated by
138,CONF-25477,CONF-26023,is related to
139,CONF-25486,CONF-25314,incorporates
140,CONF-25486,CONF-28477,is superseded by
