boardid,sprintid,name,vel_diff,planday,no_issue_starttime,vel_starttime,no_issue_added,vel_added,no_issue_removed,vel_removed,no_issuetodo,vel_todo,no_issueinprogress,vel_inprogress,no_issuedone,vel_done,no_admin,no_teammember
43,1,Sprint 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
43,4,Sprint 2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1
43,9,Sprint 1,-30,14,9,37,0,0,0,0,7,35,0,0,2,2,1,4
43,10,Sprint 2,-38,14,9,44,0,0,0,0,8,43,0,0,1,1,1,1
43,14,Sprint 3,-49,14,10,49,0,0,0,0,9,44,1,5,0,0,1,2
43,64,Sprint 4,-30,14,10,48,0,0,2,18,5,7,3,23,0,0,1,4
43,81,Sprint 5,-16,14,4,17,0,0,0,0,3,16,0,0,1,1,1,1
43,233,Sprint 6,-27,0,11,36,0,0,2,7,5,20,2,7,2,2,1,6
43,314,Sprint 5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1
46,1,Sprint 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
46,2,Sprint 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
46,4,Sprint 2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1
46,10,Sprint 2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
46,20,1.1-M2-test-r,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
46,21,1.1-M2-Fire,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1
46,1790,3.7-m4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1
64,692,$.krypton - 6.3.1 part 2,0,14,0,0,1,1,1,1,0,0,0,0,0,0,1,1
64,693,Jo's last cuppa tea,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
64,750,Reporting kick off,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
64,999,2014s01 - ME,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
68,95,4.2.12,0,10,1,3,0,0,1,3,0,0,0,0,0,0,1,1
68,128,Sprint 8,-3,6,1,3,0,0,0,0,0,0,1,3,0,0,1,2
68,136,Sprint 9,0,7,1,3,0,0,0,0,0,0,0,0,1,3,1,2
68,143,Muppets Sprint 4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1
68,162,Muppets Sprint 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
68,163,Muppets Sprint 4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1
68,500,5.1.x Sprint 4,-3,14,0,0,1,3,0,0,1,3,0,0,0,0,1,1
68,508,Page Layouts 2 - Sprint 4,-5,7,1,5,0,0,0,0,1,5,0,0,0,0,1,1
68,523,5.1.x Sprint 5,-3,14,0,0,1,3,0,0,1,3,0,0,0,0,1,3
68,545,Sidebar V2 Sprint 1,0,14,1,3,0,0,0,0,1,3,0,0,0,0,1,1
68,644,Editor Sprint 1,0,9,1,5,0,0,0,0,0,0,0,0,1,5,1,1
68,777,Thunder 12,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
68,804,Cleanup,0,7,0,0,1,3,0,0,1,3,0,0,0,0,1,1
68,834,Thunder 14,0,14,1,3,0,0,0,0,1,3,0,0,0,0,1,1
68,979,Enterprise Sprint 25,-3,14,1,3,0,0,0,0,1,3,0,0,0,0,1,1
68,1016,Enterprise Sprint 26,0,13,1,3,1,3,0,0,0,0,1,3,1,3,1,2
127,1,Sprint 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
127,4,Sprint 2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1
127,9,Sprint 1,-30,14,9,37,0,0,0,0,7,35,0,0,2,2,1,4
