boardid,sprintid,name,vel_diff,planday,no_issue_starttime,vel_starttime,no_issue_added,vel_added,no_issue_removed,vel_removed,no_issuetodo,vel_todo,no_issueinprogress,vel_inprogress,no_issuedone,vel_done,no_admin,no_teammember
53,337,MMS Sprint v20141202,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53,355,MMS Core Sprint v20150106,0,34,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53,372,MMS Core Sprint v20150127,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53,418,MMS v20150310,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53,471,MMS v20150421,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53,496,MMS v20150512,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53,561,MMS v20150623,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53,578,MMS v20150714,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53,643,please delete me (duplicate),0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1
80,6,docs-sprint-0,-14,16,13,13,10,10,9,9,11,11,2,2,1,1,1,6
80,412,v1.3.18 - 15 - Ending 2/20,17,18,0,0,15,15,10,10,5,5,0,0,0,0,1,11
80,419,Docs Sprint 16 - Ending 3/13,1,19,30,30,103,103,64,64,69,69,0,0,0,0,1,13
80,435,Docs Sprint 17 - Ending 4/3,-34,19,109,109,39,39,51,51,27,27,22,22,48,48,1,13
80,439,Beryllium - 20150427,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,1
80,461,Docs Sprint 18 - 4/24 (461),-59,19,88,88,25,25,14,14,37,37,18,18,44,44,1,13
80,487,Docs Current Sprint (487),-56,18,81,81,15,15,11,11,48,48,14,14,23,23,1,8
80,502,BUILD 3 05/15/15,1,18,0,0,1,1,0,0,0,0,0,0,1,1,1,1
80,511,Docs Sprint Current (511),-58,17,78,78,11,11,3,3,57,57,11,11,18,18,1,8
80,541,BUILD 4 06/05/15,0,22,0,0,2,2,0,0,0,0,0,0,2,2,1,1
80,556,DOCS Current Sprint (556),-45,18,76,76,46,46,29,29,40,40,7,7,46,46,1,5
80,567,Platform 5 06/26/16,1,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1
80,568,Build 5 06/26/16,0,17,0,0,1,1,0,0,0,0,0,0,1,1,1,1
