boardid,sprintid,name,vel_diff,planday,no_issue_starttime,vel_starttime,no_issue_added,vel_added,no_issue_removed,vel_removed,no_issuetodo,vel_todo,no_issueinprogress,vel_inprogress,no_issuedone,vel_done,no_admin,no_teammember
5,7,Sprint 1,-7,14,4,17,0,0,0,0,2,7,0,0,2,10,1,1
5,12,Babbage - RC1 - Stage One,16,10,1,4,11,44,7,28,5,20,0,0,0,0,1,2
5,14,Babbage - RC1 - Stage Two,12,21,5,20,25,100,0,0,6,24,3,12,21,84,1,2
5,17,The Road To SpringOne,20,30,23,92,9,36,2,8,4,16,0,0,26,104,1,3
5,22,SpringOne Aftermath,48,21,0,0,24,96,0,0,9,36,1,4,14,56,1,2
5,23,The Road to Codd M1,100,18,13,52,30,120,0,0,19,76,5,20,19,76,1,4
5,26,Sprint 2,-13,14,1,13,0,0,0,0,1,13,0,0,0,0,1,1
5,27,Codd M1,-28,49,26,104,37,148,6,24,9,36,7,28,41,164,1,3
5,30,42 - 2014 Kickoff,0,14,45,180,26,104,1,4,30,120,9,36,31,124,1,5
5,33,Sprint 3,0,7,3,9,0,0,0,0,2,6,1,3,0,0,1,3
5,34,43 - Babbage SR3,64,15,30,120,20,80,3,12,6,24,8,32,33,132,1,5
5,36,Sprint 4,-8,10,6,26,3,7,0,0,1,8,1,3,7,22,1,3
5,37,44 - Codd GA,-12,21,11,44,86,344,1,4,23,92,11,44,62,248,1,5
5,38,Sprint 5,4,6,8,35,2,16,1,8,2,10,1,8,6,25,1,3
5,40,45 - Dijkstra M1,57,10,0,0,51,204,1,4,17,68,10,40,23,92,1,3
5,42,46 - Codd SR2,-36,16,33,132,4,16,0,0,17,68,18,72,2,8,1,3
5,44,47 - Dijkstra RC1,61,11,0,0,33,132,0,0,18,72,9,36,6,24,1,3
5,48,48 - Dijkstra GA,198,14,19,76,20,80,1,4,23,92,8,32,7,28,1,4
5,52,49 - Dijkstra SR1,25,8,35,140,5,20,2,8,27,108,4,16,7,28,1,4
5,53,50 - Evans M1,12,17,31,124,18,69,0,0,49,193,0,0,0,0,1,4
5,55,51 - Dijkstra SR2,-7,10,40,160,12,48,0,0,18,72,13,52,21,84,1,4
5,56,52 - Evans RC1,58,11,34,136,5,20,1,4,24,96,12,48,2,8,1,4
5,61,52 - Evans GA,198,16,3,12,11,44,0,0,14,56,0,0,0,0,1,4
5,63,53 - Evans SR1,158,25,0,0,15,60,0,0,4,16,8,32,3,12,1,5
5,69,54 - Fowler M1,161,11,28,112,14,56,0,0,13,52,19,76,10,40,1,5
5,71,55 - Evans SR2,309,14,27,108,7,28,0,0,15,60,4,16,15,60,1,5
5,76,56 - Fowler RC1,43,15,42,168,15,60,1,4,38,152,6,24,12,48,1,4
5,81,56 - Fowler GA,-15,14,40,160,5,20,3,12,26,104,7,28,9,36,1,4
5,84,57 - Fowler Aftermath,101,17,50,200,15,60,0,0,35,140,15,60,15,60,1,5
5,89,58 - Gosling M1,-135,14,70,280,2,8,0,0,58,232,8,32,6,24,1,4
5,91,59 - Evans / Fowler SR,-14,14,65,260,10,40,0,0,54,216,11,44,10,40,1,6
5,93,Gosling RC1,-7,14,70,280,6,24,0,0,60,240,2,8,14,56,1,4
6,1,Sprint 1,3,14,2,4,13,27,6,16,6,11,3,4,0,0,1,5
6,3,Sprint 2,0,4,10,31,8,14,8,33,10,12,0,0,0,0,1,4
6,4,Sprint 3,0,5,17,86,2,4,4,18,1,7,6,38,8,27,1,8
6,5,Sprint 4,9,4,21,55,4,6,7,17,10,26,3,7,5,11,1,5
6,6,Sprint 5,-36,6,25,63,9,33,1,1,3,14,7,26,23,55,1,10
6,8,Sprint 6,33,9,20,77,23,52,1,5,1,12,3,16,38,96,1,10
6,9,Sprint 7,1,3,10,24,5,29,3,11,2,0,4,26,6,16,1,5
6,10,Sprint 8,-20,3,18,91,7,21,1,4,0,0,13,73,11,34,1,8
