issuekey,title,description,storypoint
GHS-1271,"As a JIRA Administrator I would like to be able to change the trigger of the night service",NULL,5
JSW-1271,"As a JIRA Administrator I would like to be able to change the trigger of the night service",NULL,5
GHS-1681,"Generic webwork aliases may clash with other plugins","Some web work actions have commands that have very generic aliases, such as ""Update"", ""Move"" and ""Synch"" etc. These aliases have a good chance to clash with the action name or aliases used by other plugins.  These aliases should be given a name specific to the plugin, such as ""UpdateGreenHopperDropBoard""... Alternatively, the bang syntax can be used in place of command aliases, such as ""DropBoardAction!update"". In this case, there is no need to define aliases for commands. (However, still need to define alias as an empty String; otherwise, a NPE will be thrown when parsing the xml.)",5
JSW-1681,"Generic webwork aliases may clash with other plugins","Some web work actions have commands that have very generic aliases, such as ""Update"", ""Move"" and ""Synch"" etc. These aliases have a good chance to clash with the action name or aliases used by other plugins.  These aliases should be given a name specific to the plugin, such as ""UpdateGreenHopperDropBoard""... Alternatively, the bang syntax can be used in place of command aliases, such as ""DropBoardAction!update"". In this case, there is no need to define aliases for commands. (However, still need to define alias as an empty String; otherwise, a NPE will be thrown when parsing the xml.)",5
GHS-1819,"Add text to the Agile Gadget ""Invalid Project"" message","When the error is ""Invalid Project"" add details that the project is not configured for use with GreenHopper - ""Invalid Project - [Not configured for use with GreenHopper|http://confluence.atlassian.com/display/GH/Configuring+your+GreenHopper+Global+Settings#ConfiguringyourGreenHopperGlobalSettings-context]""",2
JSW-1819,"Add text to the Agile Gadget ""Invalid Project"" message","When the error is ""Invalid Project"" add details that the project is not configured for use with GreenHopper - ""Invalid Project - [Not configured for use with GreenHopper|http://confluence.atlassian.com/display/GH/Configuring+your+GreenHopper+Global+Settings#ConfiguringyourGreenHopperGlobalSettings-context]""",2
GHS-1882,"Greenhopper ranking field is not displayed correctly if using Confluence Jira Issues macro","When using Greenhopper ranking field in conjunction with the jiraissues macro, the actual database field value is being reported in xml rather than a sanitized version.",20
JSW-1882,"Greenhopper ranking field is not displayed correctly if using Confluence Jira Issues macro","When using Greenhopper ranking field in conjunction with the jiraissues macro, the actual database field value is being reported in xml rather than a sanitized version.",20
GHS-2047,"Version can be set in the create issue screen in JIRA, but not in GreenHopper","Costumer has a project in which some users don't have schedule permission which means that they cannot manage the project backlog. However, they need the ability to raise new defects inside a specific version, e.g. when testing that sprint/version. They can do this via the JIRA create new issue screen. But they cannot do this via the GreenHopper user interface (when using the button ""New card"", the version is fixed as ""Unscheduled""). In this case, the user should have the ability to set the version in both JIRA (create issue) and GreenHopper (new card) screens.",5
JSW-2047,"Version can be set in the create issue screen in JIRA, but not in GreenHopper","Costumer has a project in which some users don't have schedule permission which means that they cannot manage the project backlog. However, they need the ability to raise new defects inside a specific version, e.g. when testing that sprint/version. They can do this via the JIRA create new issue screen. But they cannot do this via the GreenHopper user interface (when using the button ""New card"", the version is fixed as ""Unscheduled""). In this case, the user should have the ability to set the version in both JIRA (create issue) and GreenHopper (new card) screens.",5
GHS-2478,"As a user I would like the ability to see a horizontal swimlane on my Rapid Board","COS: - Based on Issue Priority Blocker - Only show swimlane when necessary - Warning if swimlane exceeds max amount - JQL longer term   ---- In order to implement Kanban concepts like service class, etc. we need to be able to create horizontal swimlanes with limited WIP for each. For example, I might want to have:  - Standard (Limit of 6) - Expedite (Limit of 1) - Fixed Delivery Date (Limit of 2)  LeanKit Kanban has this feature (actually, it is far more advanced than what I am describing).",13
JSW-2478,"As a user I would like the ability to see a horizontal swimlane on my Rapid Board","COS: - Based on Issue Priority Blocker - Only show swimlane when necessary - Warning if swimlane exceeds max amount - JQL longer term   ---- In order to implement Kanban concepts like service class, etc. we need to be able to create horizontal swimlanes with limited WIP for each. For example, I might want to have:  - Standard (Limit of 6) - Expedite (Limit of 1) - Fixed Delivery Date (Limit of 2)  LeanKit Kanban has this feature (actually, it is far more advanced than what I am describing).",13
JSW-2785,"As a GH user I would like to be able to view the cumulative flow diagram using story points",NULL,13
GHS-2863,"GreenHopper appends Project IDs to URL when adding to list of Enabled Projects, causes HTTP 413 error.","Per ticket here: https://support.atlassian.com/browse/GHS-2112  When adding select projects to the ""Allowed Projects"" listing (under Administration > GreenHopper > Enabled Projects,) adding a project to the allowed list creates a request URL like this: http://localhost:8080/secure//secure/SetAdmissibleProjects.jspa?decorator=none&listValue=10010%2C10000%2C  Where the response is a ""302 Temporarily Moved,"" a POST content size of zero, and a listValue entry that keeps getting longer.  Eventually, the list gets so long that the page will not load due to an ""HTTP 413 - Request entity too large"" error.  (Screenshots + Dev console in Chrome attached.)",3
JSW-2863,"GreenHopper appends Project IDs to URL when adding to list of Enabled Projects, causes HTTP 413 error.","Per ticket here: https://support.atlassian.com/browse/GHS-2112  When adding select projects to the ""Allowed Projects"" listing (under Administration > GreenHopper > Enabled Projects,) adding a project to the allowed list creates a request URL like this: http://localhost:8080/secure//secure/SetAdmissibleProjects.jspa?decorator=none&listValue=10010%2C10000%2C  Where the response is a ""302 Temporarily Moved,"" a POST content size of zero, and a listValue entry that keeps getting longer.  Eventually, the list gets so long that the page will not load due to an ""HTTP 413 - Request entity too large"" error.  (Screenshots + Dev console in Chrome attached.)",3
