issuekey,title,description,storypoint
STUDIO-95,"Support for request/reply","request/reply  http://www.mulesoft.org/documentation/display/current/Routing+Message+Processors#RoutingMessageProcessors-RequestReply  Mockups here: http://corp.wiki.mulesource.com/display/WP/Request-Reply#Request-Reply-Mockups ",13
STUDIO-280,"Cannot import a Studio project from Git without errors","Steps to reproduce:    1. Create a simple Mule Studio project (for instance: the Echo example)  2. Push it into GitHub, pull/clone the repository into your local instance  3. Open up a brand new workspace  4. Goto Import/Git/Projects from Git  5. Select the local copy of your GitHub repository  6. Select import existing projects  7. Select the project created above  8. The import fails due to missing directories (see screenshot)    Note that if I do Import --> Mule project it works but then it doesn't recognise that it is a project managed by git so I cannot commit changes.    This is blocking me for the work I am doing with examples.    Edit: workaround: perform a Clean operation on the project.",3
STUDIO-382,"Changes to Java code do not get hot deployed","Java source changes don't get picked up right now automatically (see STUDIO-381) however, even if a redeploy is triggered the latest java changes are not deployed",5
STUDIO-459,"Unable to add a response when creating a second flow in the same mflow","Unable to add a response when creating a second flow.    Steps to reproduce:    1) Open Studio and create a project from an existing template: Order Discounter.  2) In that same mflow file create another flow. Drag and drop HTTP RQ-RS, echo, flow reference, All router and component, echo and file, then file.  3) Try to add a response (echo component) like the one displayed for the template flow.  Unable to add a response, instead of that it lets me add the component between HTTP and SOAP component.    See screen shot.",8
STUDIO-618," Namespaces in the XML view are not being removed when you remove all the elements of a kind","When you add an element and then you remove it, the reference to the schema file is not being removed from the XML namespaces.      Steps to reproduce:   1.- Create a project in Studio with a flow in it and go to the Global Elements tab.   2.- Add for example a global Jetty endpoint with the default values.   3.- Go to the XML view and check that the xml code for the endpoint is there with reference to the mule-jetty.xsd in the namespaces  4.- Go back to the global elements tab and delete the endpoint.     Issue: Now if you go back to the XML view, the code for the endpoint is not there as ti should but the reference to the mule-jetty.xsd is still there and it shouldn't as there is no jetty element in the flow or in the global elements tab.     Be very careful when implementing this as the reference in the namespaces should be remve if there is no other instance of the element kind in a flow or as a global element such as a global endpoint or connector, but if there is no reference to an element kind (ex: some jetty element) there is no reason for the namespace to be there. ",8
STUDIO-781,"Would save time to be given the option to create a class in addition to selecting an existing class inside a widget dialog box (e.g., Component)","Add a button in the ClassFieldEditor to create the class inline. ",5
STUDIO-782,"View the class code just by clicking on the class name displayed in the widget dialog box","Currently, to view the class code (e.g., component) specified in the widget configuration, I have to leave the dialog box to find it. A very desirable feature would be to view the class code (as a separate tab in the editor ) just by clicking on the class name displayed in the widget dialog box.",5
STUDIO-837,"Reference to the subflow get lost when changing the subflow name (Exception Strategy)","Steps to reproduce:   1.- Create a project in STUDIO with a flow and a sub-flow  2.- Go to the Flow properties window and set the Exception Subflow ref combo to the subflow that you have. Clic OK.   3.- Change the name of the subflow.  4.- Open the flow properties window, the subflow ref is blank    Expected behavior: the reference should be preserved no matters if the user decides to change the subflow name.   ",8
STUDIO-853,"Studio can be a lot smarter when handling logic expressions. I'd rather not see AND, OR, NOT filters in the palette","it seems we could have a single filter element in the flow control section that has one dialog that allows people to select an expression (this works for wildcard and regex) and have a section below to allow the user to add new filters with AND, OR or NOT.    I think this provides much better usability as there is now only a single filter element not a whole palette.  And it makes working with logic filters more natural for the user. i.e.it feels odd to have to start with an AND filter and then configure the expressions",34
STUDIO-1212,"Response section is not displayed","My config is as follows:  <flow name=""TicketFlowFlow1"" doc:name=""TicketFlowFlow1"">          <composite-source>              <http:inbound-endpoint exchange-pattern=""request-response"" host=""localhost"" port=""8081"" doc:name=""HTTP""/>              <vm:inbound-endpoint exchange-pattern=""request-response"" path=""helloworld"" responseTimeout=""10000"" mimeType=""text/plain"" doc:name=""VM""/>          </composite-source>          <component class=""com.mulesoft.Component1"" doc:name=""Java""/>          <http:outbound-endpoint exchange-pattern=""request-response"" host=""localhost"" port=""8081"" doc:name=""HTTP""/>          <response>              <component class=""com.mulesoft.Component2"" doc:name=""Java""/>       	          </response>      </flow>    But the response is not displayed (see the pic attached)",5
STUDIO-1311,"Able to drag and drop composite source and poll as response elements","I am able to drag and drop composite source and poll as response elements of a flow. This is not correct: we should not let the user be able to drop composite source and poll there.     When dropping them as response elements an empty response box is created and in the XML configuration this is written:  <response/>    I am attaching a screen shot.",3
STUDIO-1333,"There is no specification when there is a global endpoint or a connector created in the global elements table, they are just called the same and it is confusing","This is a usability issue: There is no specification when there is a global endpoint or a connector created in the global elements table, they are just called the same and it is confusing.    Steps to reproduce:  1. Create an FTP global endpoint.  2. Create an FTP connector.  They have the same type and name in the global elements table (For the name there is already a Jira opened for that).     Type should specify if it is a global endpoint or a connector. Nowadays I think that type is useless, it doesn't say anything to the user. It just says ""FTP (EE)"" for global endpoint or connector. Same happens for the rest of the global endpoints and connectors and this is pretty confusing!!!",13
STUDIO-1415,"Executing simple lookup table configuration is showing error message","Created a Java to XML mapping and configured a lookup table with 2 fields: subject(Key) and email.  Executed the Preview an error message was displayed: ""Message:Transform Failed!"" (see attached screenshot)    ",8
STUDIO-1428,"Unable to create new mappings using new excel format xlsx","Unable to create a new mapping using an excel spreadsheet with the new format .xlsx    To reproduce:  - Create new mapping  - Input: Select MS Excel  - Add the .xlsx spreadsheet attached to this issue  - Output: Select anything  - Click Finish button (error is displayed in the error log)    See attached screenshot of error.",8
STUDIO-1435,"Multiple xml validation errors in Studio editor","1. Element JAX-WS Service is not allowed to be child element of HTTP.    Oh, it is allowed, and often times it makes perfect sense to have it as a child element rather than subsequent one. False alarm.    2. Flow should start with inbound endpoint    No, it does not have to.    3. Response is not allowed to be child of element HTTP    Of course, it is allowed :)  ",5
