issuekey,title,description,storypoint
XD-1,"HDFS ItemWriter","Base integration of core HDFS writer functionality with Spring Batch.",1
XD-2,"HDFS Core writing helper classes","Simple file writer that has existed in the spring hadoop samples.",1
XD-6,"Channel Registry",NULL,3
XD-7,"Tuple data structure","The tuple data structure should be backward compatible in functionality for use in spring batch.  Porting over FieldSet tests in spring batch to use the tuple data structure is one way help ensure that compatibility.",1
XD-8,"Syslog Ingestion","Have a syslog.xml config file that can be added to a module and registered with a module registry.",1
XD-9,"Basic implementation of a reactor based tcp server",NULL,13
XD-10,"Reactor based http ingestion","When there is support for boostrapping a http server in the reactor project, and inbound SI adapter and associated XD source module should be created.",5
XD-11,"Initial work that uses the module architecture from DIRT ",NULL,5
XD-12,"Jolokia based aggregator for cluster monitoring",NULL,8
XD-13,"Tail file channel adapters",NULL,8
XD-14,"Design for deploying XD on EC2","create enough of a design to develop additional stories.",3
XD-18,"Websocket based taps",NULL,5
XD-20,"DIRT Runtime that deploys an application context across multiple nodes using redis.",NULL,3
XD-23,"add file source and sink modules",NULL,1
XD-24,"Create pipes and filters DSL for ingestion","Initial simple handcoded implementation for straight through pipe and filter model, e.g. a | b | c",2
XD-26,"Basic Performance Test For syslog injestion",NULL,20
XD-27,"Gemfire CQ module for ingestion",NULL,1
XD-28,"Create simple gague service","A gauge just stores a number.  Implementations for in-memory and redis.",1
XD-29,"Create rich gauge service","A rich gauge stores a number and also rmd, min, max. Implementations for in-memory and redis.",5
XD-30,"Create a simple counter service","A simple counters can increment/decrement a number.  Implementations for in-memory and redis.",1
XD-31,"Create field-value counters","A field-value counter is useful for bar chart graphs, Strings on x-axis and count on y-axis.  Maps well to zset in redis. Implementations for in-memory and redis.",5
XD-35,"Create CI process for XD build","bamboo based",1
XD-36,"SI Outbound HDFS Channel Adapter",NULL,3
XD-37,"Gradle based multi-project build","multi project build. - look to Spring Framework for source of starting point.",2
XD-40,"Build script that creates an executable server as an artifact","Gradle application plugin is a good starting point.  this should be the main server that would host SI based modules to do syslog->file ingestion (as an example)",2
XD-41,"Add JUnit @Rule so Tests Fail Fast with Clear Messaging if Redis Not Available",NULL,1
XD-43,"Metric repositories should support Spring Data CrudRepository interface","This provides common CRUD behavior and a shared interface that can be useful in testing scenarios.  ",5
