issuekey,title,description,storypoint
TESB-1,"Investigation: S1 Improved user experience with TOS/TIS/ESB Studio",NULL,5
TESB-2,"Investigate: S2 Business Service Implementation and provider registration in TOS/TIS/Studio",NULL,5
TESB-3,"Investigate: S3 Improved XML Data Handling Components in TOS/TIS/Studio",NULL,5
TESB-4,"Investigate: S7 TIS RTx based on the Service Factory",NULL,5
TESB-5,"Investigate: github migration new opportunities and challenges",NULL,5
TESB-6,"S9 Investigate MDM Call ESB Provider from MDM Trigger",NULL,5
TESB-33,"Common - Setup ESB Runtime Code Repositories (gitHub)","Code Repository: It is expected that we setup a new git (gitHub) Code Repository for the 'new' Talend ESB Development Tasks with the goal that this repository contains all of our artefacts which will be later on part of the new ESB 4.0 and higher code base. ",3
TESB-34,"Initial Build System Setup","- Concept within our Wiki how the internal build system is structures   - Focus on using Maven 3 (+Tyco)  - We use Nexus for the 3rd parties (Maven Repo) but here we should have potentially 2 repos and we might go away from snapshots to fully versioned artefacts even within the development repo (for 3rd parties)   - Evaluate the pros / cons to continue with Cruise Control or if we get some significant featurews with Hudson",3
TESB-35,"Get familar: CXF","for all of the team mebers who not worked with CXF before we asked you to get familar with CXF by using / exporing a bit the documentation and examples on the Apache CXF web-site but also the Documented Examples provided with the Talend SF Release 2.3.1. ",8
TESB-36,"SL: Service Locator - Install","Get familar and install Zookeeper (Apache Hadoop subproject) and get used with the distributed setup and web-ui provided by Zookeeper",2
TESB-37,"SL: Service Locator Provider registration","Create a CXF Interceptor in a way that we could register the current provider via the standard Zookeeper client.",3
TESB-39,"Agreed policy handling with CXF","This item is intended to deliver:  - A concept how we deal with Agreed Policies in general in the CXF environment  - Define and configure a CXF Processing Chain based on a Agreed policy (for now the current SR Agreed polices)  - This BI is more like a proof-of concept implementation",5
TESB-40,"SR: Web-UI Mock-UP","Create an initial UI Specification for the new Service Registry (Runtime Registry)  Based on the featues and API defined in TESB-141 and TESB-479.  From a Look & Feel the SR UI should be aligned to the TIS (Admindistration Center)",2
TESB-53,"proxy settings for Web Service schema: mandatory user/password","in the proxy settings of the Web Service schema user/password are mandatory.  Should be optional fields.",1
TESB-54,"XML mapping dialog doesn't support namespaces from imported XML Tree","import importedXmlTree.xml as XML Tree in ""Configure Xml Tree"" dialog of tWriteXMLField     produced output:  {code:xml}  <soapenv:Envelope>    <soapenv:Header/>    <soapenv:Body>      <v2:getResource type=""ServiceDescription"">        <Namespace>http://services.sopera.org/demo/1.0</Namespace>        <Name>TestService</Name>      </v2:getResource>    </soapenv:Body>  </soapenv:Envelope>  {code}    but expected:  {code:xml}  <soapenv:Envelope xmlns:soapenv=""http://schemas.xmlsoap.org/soap/envelope/"">    <soapenv:Header/>    <soapenv:Body>      <v2:getResource xmlns:v2=""http://types.sopera.org/ServiceRegistry/query/V2.0""          type=""ServiceDescription"">        <Namespace>http://services.sopera.org/demo/1.0</Namespace>        <Name>TestService</Name>      </v2:getResource>    </soapenv:Body>  </soapenv:Envelope>  {code}  	  i.e. namespaces are ignored during importing XML Tree    and to achive desired output you should manually add namespaces to XML Tree in ""Configure Xml Tree"" dialog  ",1
