boardid,sprintid,type,priority,no_comment,no_affectversion,no_fixversion,no_issuelink,no_blocking,no_blockedby,no_fixversion_change,no_priority_change,no_des_change,gunning_fog
1,8,Task,Minor,1,0,0,0,0,0,1,0,0,medium
1,8,Improvement,Major,1,0,0,0,0,0,1,0,0,medium
1,8,Improvement,Major,1,0,0,2,0,0,1,0,0,medium
1,12,Bug,Major,2,1,0,1,0,0,0,0,0,hard
1,12,Bug,Minor,2,0,0,1,0,0,1,0,0,hard
1,13,Bug,Minor,0,0,0,0,0,0,0,0,0,medium
1,20,Bug,Major,2,0,5,4,0,0,0,0,0,medium
1,20,Task,Minor,1,0,0,0,0,0,2,0,0,medium
1,20,Improvement,Major,1,0,0,0,0,0,2,0,0,medium
1,20,Bug,Minor,3,0,0,0,0,0,2,0,0,medium
1,25,Bug,Major,1,1,0,0,0,0,1,0,0,hard
1,25,Improvement,Major,4,0,0,0,0,0,0,0,0,hard
1,25,Bug,Major,0,0,0,0,0,0,9,0,0,hard
1,30,Bug,Major,2,0,0,4,0,0,0,0,0,hard
1,31,Bug,Major,1,1,0,0,0,0,1,0,0,hard
1,31,Bug,Major,3,0,0,4,0,0,0,0,0,hard
1,31,Improvement,Minor,0,0,0,0,0,0,0,0,0,easy
1,36,Bug,Major,1,1,0,0,0,0,1,0,0,hard
1,36,Bug,Major,3,0,0,4,0,0,0,0,0,hard
1,36,Improvement,Major,2,0,0,0,0,0,0,0,0,hard
1,36,Epic,Major,11,0,0,4,0,0,0,0,2,medium
1,36,Epic,Major,4,1,0,8,0,0,0,0,0,hard
1,38,Bug,Major,5,1,0,2,0,0,0,0,0,hard
1,38,Epic,Major,12,0,0,4,0,0,0,0,2,medium
1,38,Bug,Minor,3,1,0,1,0,0,0,0,0,hard
1,43,Bug,Major,4,1,0,1,0,0,0,0,0,hard
1,43,Bug,Major,5,1,0,2,0,0,0,0,0,hard
1,43,Epic,Major,12,0,0,4,0,0,0,0,2,medium
1,43,Bug,Minor,3,1,0,1,0,0,0,0,0,hard
1,43,Improvement,Major,0,0,0,1,0,0,0,0,0,hard
1,45,Task,Major,18,0,0,0,0,0,0,0,2,hard
1,45,Bug,Major,4,1,0,1,0,0,0,0,0,hard
1,45,Bug,Major,5,1,0,2,0,0,0,0,0,hard
1,45,Bug,Major,15,0,0,1,0,0,0,0,0,medium
1,45,Epic,Major,12,0,0,4,0,0,0,0,2,medium
1,45,Bug,Minor,3,1,0,1,0,0,0,0,0,hard
1,45,Improvement,Major,0,0,0,1,0,0,0,0,0,hard
1,45,Task,Minor,3,0,0,0,0,0,0,0,0,hard
1,45,Improvement,Minor,2,0,0,0,0,0,0,1,1,hard
1,45,Improvement,Major,1,0,0,0,0,0,0,0,0,medium
1,45,Epic,Critical,0,0,0,4,0,0,0,0,0,hard
1,47,Task,Major,18,0,0,0,0,0,0,0,2,hard
1,47,Bug,Major,15,0,0,1,0,0,0,0,0,medium
1,47,Improvement,Major,1,0,0,0,0,0,0,0,0,medium
1,47,Epic,Critical,0,0,0,4,0,0,0,0,2,hard
1,49,Bug,Major,4,1,0,1,0,0,0,0,0,hard
1,49,Bug,Major,5,1,0,2,0,0,0,0,0,hard
1,49,Epic,Major,12,0,0,4,0,0,0,0,2,medium
1,49,Bug,Minor,3,1,0,1,0,0,0,0,0,hard
1,49,Improvement,Major,0,0,0,1,0,0,0,0,0,hard
1,49,Story,Minor,1,0,0,3,0,0,0,0,1,hard
1,51,Bug,Major,5,1,0,2,0,0,0,0,0,hard
1,51,Bug,Major,2,0,0,3,0,0,0,0,0,hard
1,51,Bug,Minor,3,1,0,1,0,0,0,0,0,hard
1,51,Story,Minor,3,0,0,3,0,0,0,0,1,hard
1,55,Improvement,Major,13,0,0,2,0,0,0,0,2,hard
1,55,Bug,Major,16,0,0,1,0,0,0,0,0,medium
1,55,Task,Major,0,0,0,0,0,0,0,0,1,hard
1,55,Improvement,Major,1,0,0,0,0,0,0,0,0,medium
1,55,Epic,Critical,0,0,0,4,0,0,0,0,2,hard
1,55,Task,Critical,0,0,1,0,0,0,0,0,0,hard
1,55,Improvement,Major,0,0,1,2,0,0,0,0,1,hard
1,55,Task,Major,1,0,0,1,0,0,0,0,0,easy
1,55,Improvement,Minor,1,0,0,0,0,0,0,0,0,medium
1,56,Bug,Major,3,0,0,3,0,0,0,0,0,hard
1,57,Bug,Major,3,0,0,3,0,0,0,0,0,hard
1,63,Bug,Major,3,0,0,3,0,0,0,0,0,hard
1,69,Improvement,Major,13,0,0,2,0,0,0,0,2,hard
1,69,Task,Minor,12,0,0,1,0,0,0,0,0,medium
1,69,Task,Major,1,0,0,0,0,0,0,0,1,hard
1,69,Improvement,Major,1,0,0,0,0,0,0,0,0,medium
1,69,Epic,Critical,0,0,0,4,0,0,0,0,2,hard
1,69,Task,Critical,0,0,1,0,0,0,0,0,0,hard
1,69,Improvement,Major,1,0,1,2,0,0,0,0,1,hard
1,69,Task,Major,1,0,0,1,0,0,0,0,0,easy
1,74,Task,Minor,13,0,0,1,0,0,0,0,0,medium
1,74,Task,Major,1,0,0,1,0,0,0,0,0,medium
1,74,Task,Major,1,0,0,0,0,0,0,0,1,hard
1,74,Epic,Critical,0,0,0,4,0,0,0,0,4,hard
1,74,Task,Critical,0,0,1,0,0,0,0,0,0,hard
1,74,Improvement,Major,1,0,1,2,0,0,0,0,1,hard
1,74,Task,Major,1,0,0,1,0,0,0,0,0,easy
1,74,Task,Trivial,2,0,0,0,0,0,0,0,0,hard
1,74,Bug,Major,2,1,0,0,0,0,0,0,0,hard
1,75,Task,Minor,13,0,0,1,0,0,0,0,0,medium
1,75,Task,Major,1,0,0,1,0,0,0,0,0,medium
1,75,Epic,Critical,0,0,0,4,0,0,0,0,4,hard
1,75,Task,Critical,0,0,1,0,0,0,0,0,0,hard
1,75,Improvement,Major,1,0,1,2,0,0,0,0,1,hard
1,75,Task,Major,1,0,0,1,0,0,0,0,0,easy
1,75,Task,Trivial,7,0,0,0,0,0,0,0,1,hard
1,75,Bug,Major,2,1,0,0,0,0,0,0,0,hard
1,80,Bug,Minor,6,1,0,0,0,0,0,0,0,hard
1,81,Task,Minor,16,0,0,1,0,0,0,0,0,medium
1,81,Task,Major,2,0,0,1,0,0,0,0,0,medium
1,81,Task,Critical,0,0,1,0,0,0,0,0,0,hard
1,81,Improvement,Major,1,0,1,2,0,0,0,0,1,hard
1,81,Task,Major,1,0,0,1,0,0,0,0,0,easy
1,81,Task,Trivial,7,0,0,0,0,0,0,0,1,hard
1,81,Bug,Major,4,1,0,0,0,0,0,0,0,hard
