idissuelink,issuekey,linkedIssueKey,name
1,DRILL-1274,DRILL-1267,contains
2,DRILL-1274,DRILL-1267,is duplicated by
3,DRILL-1277,DRILL-1206,contains
4,DRILL-1278,DRILL-1288,duplicates
5,DRILL-1271,DRILL-1240,duplicates
6,DRILL-1267,DRILL-1274,Is contained by
7,DRILL-1267,DRILL-1274,duplicates
8,DRILL-1245,DRILL-1243,is superceded by
9,DRILL-1240,DRILL-1271,is duplicated by
10,DRILL-1206,DRILL-1277,Is contained by
11,DRILL-1185,DRILL-1451,is duplicated by
12,DRILL-891,DRILL-1039,is duplicated by
13,TEZ-722,TEZ-743,relates to
14,JENA-621,JENA-525,relates to
15,TEZ-716,TEZ-68,is duplicated by
16,TEZ-717,TEZ-1304,depends upon
17,TEZ-717,TEZ-1298,depends upon
18,HELIX-349,HELIX-281,duplicates
19,HELIX-349,HELIX-281,is related to
20,TEZ-718,TEZ-761,relates to
21,CB-5747,CB-6969,relates to
22,TWILL-29,TWILL-18,is duplicated by
23,JENA-619,JENA-685,relates to
24,TEZ-705,TEZ-698,is depended upon by
25,TEZ-706,TEZ-124,is duplicated by
26,TEZ-707,TEZ-1285,is blocked by
27,CB-5728,CB-5897,is duplicated by
28,CB-5721,CB-5960,relates to
29,CB-2905,CB-3757,relates to
30,CB-3382,CB-3070,blocks
31,CB-3401,CB-3928,is blocked by
32,CLIMATE-213,CLIMATE-137,Is contained by
33,CB-6415,CB-6669,is related to
34,CB-6415,CB-6437,is required by
35,DRILL-595,DRILL-931,Is contained by
36,DRILL-595,DRILL-438,is depended upon by
37,DRILL-811,DRILL-931,Is contained by
38,DRILL-895,DRILL-1039,is duplicated by
39,DRILL-998,DRILL-1303,is depended upon by
40,DRILL-1021,DRILL-906,incorporates
41,DRILL-1021,DRILL-1137,is depended upon by
42,DRILL-1029,DRILL-931,Is contained by
43,DRILL-1029,DRILL-884,is related to
44,DRILL-1039,DRILL-891,duplicates
45,DRILL-1039,DRILL-895,duplicates
46,DRILL-1125,DRILL-1447,duplicates
47,DRILL-1125,DRILL-1447,is duplicated by
48,DRILL-1168,DRILL-1347,is duplicated by
49,DRILL-1185,DRILL-1451,is duplicated by
50,DRILL-1206,DRILL-1277,Is contained by
51,DRILL-1240,DRILL-1271,is duplicated by
52,DIRECTMEMORY-53,DIRECTMEMORY-77,is required by
53,S4-39,S4-46,relates to
54,CB-148,CB-316,relates to
55,CB-148,CB-316,is related to
56,ANY23-21,ANY23-29,is part of
57,CB-149,CB-136,is duplicated by
58,CB-150,CB-115,duplicates
59,JENA-184,JENA-135,is related to
60,GORA-73,GORA-176,is duplicated by
61,GORA-73,GORA-176,is related to
62,ANY23-25,ANY23-29,is part of
63,ANY23-27,ANY23-29,relates to
64,ANY23-27,INFRA-4146,relates to
