boardid,sprintid,name,vel_diff,planday,no_issue_starttime,vel_starttime,no_issue_added,vel_added,no_issue_removed,vel_removed,no_issuetodo,vel_todo,no_issueinprogress,vel_inprogress,no_issuedone,vel_done,no_admin,no_teammember
1,8,Q2'14 Sprint 1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,1
1,12,Q2'14 Sprint 2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,3,1
1,13,Q2 Sprint 3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,1
1,20,Q2 Sprint 4,-3,12,3,3,0,0,0,0,3,3,0,0,0,0,3,1
1,24,Q3 Sprint 1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,1
1,25,Q3 Sprint 2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,2
1,30,Q3 Sprint 3,-8,11,1,8,0,0,0,0,1,8,0,0,0,0,3,2
1,31,Q3 Sprint 4,-9,11,2,9,0,0,0,0,2,9,0,0,0,0,3,3
1,36,Mesos Q3 Sprint 5,0,14,0,0,1,1,1,1,0,0,0,0,0,0,3,5
1,38,Mesos Q3 Sprint 6,-3,14,1,3,0,0,0,0,1,3,0,0,0,0,3,3
1,43,Twitter Q4 Sprint 1,-14,14,5,14,0,0,0,0,5,14,0,0,0,0,3,4
1,45,Mesosphere Q4 Sprint 1 10/31,-4,12,4,5,5,14,6,15,3,4,0,0,0,0,3,7
1,47,Mesosphere Q4 Sprint 2 - 11/14,-5,10,4,5,0,0,0,0,4,5,0,0,0,0,3,4
1,49,Twitter Mesos Q4 Sprint 2,-13,14,6,15,0,0,1,2,5,13,0,0,0,0,3,4
1,51,Twitter Mesos Q4 Sprint 3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,3
1,55,Mesosphere Q4 Sprint 3 - 12/7,-7,18,5,10,0,0,0,0,5,10,0,0,0,0,3,4
1,56,Twitter Mesos Q4 Sprint 4,-3,14,1,3,0,0,0,0,1,3,0,0,0,0,3,2
1,57,Twitter Mesos Q4 Sprint 5,-3,14,1,3,0,0,0,0,1,3,0,0,0,0,3,2
1,63,Twitter Mesos Q4 Sprint 6,-3,14,1,3,0,0,0,0,1,3,0,0,0,0,3,2
1,69,Mesosphere Q1 Sprint 1 - 1/23,-31,8,8,31,0,0,0,0,8,31,0,0,0,0,3,5
1,74,Mesosphere Q1 Sprint 2 - 2/6,-37,14,8,37,0,0,0,0,8,37,0,0,0,0,3,6
1,75,Mesosphere Q1 Sprint 3 - 2/20,-36,14,8,37,0,0,0,0,8,37,0,0,0,0,3,6
1,80,Twitter Mesos Q1 Sprint 2,-8,14,1,8,0,0,0,0,1,8,0,0,0,0,3,1
1,81,Mesosphere Q1 Sprint 4 - 3/6,-36,14,7,36,0,0,0,0,7,36,0,0,0,0,3,5
1,87,Twitter Mesos Q1 Sprint 3,-8,13,1,8,0,0,0,0,0,0,1,5,0,0,3,2
1,93,Twitter Mesos Q1 Sprint 4,-5,14,1,5,0,0,0,0,1,5,0,0,0,0,3,1
1,95,Mesosphere Q1 Sprint 5 - 3/20,-40,11,7,37,2,3,0,0,8,39,1,1,0,0,3,5
1,99,Twitter Mesos Q1 Sprint 5,2,14,0,0,0,0,0,0,0,0,0,0,0,0,3,1
1,102,Mesosphere Q1 Sprint 6 - 4/3,-40,14,9,40,0,0,0,0,9,40,0,0,0,0,3,7
1,104,Twitter Mesos Q1 Sprint 6,-10,7,2,10,0,0,0,0,2,10,0,0,0,0,3,2
1,106,Mesosphere Q1 Sprint 7 - 4/17,-41,14,10,41,0,0,0,0,10,41,0,0,0,0,3,8
1,108,Mesosphere Q2 Sprint 8 - 5/1,-42,14,11,42,0,0,0,0,11,42,0,0,0,0,3,9
1,113,Twitter Q2 Sprint 1 - 4/13,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,1
1,115,Mesosphere Q1 Sprint 9 - 5/15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,9
