idissuelink,issuekey,linkedIssueKey,name
1,CDRIVER-136,CDRIVER-68,depends on
2,CDRIVER-186,CXX-42,is related to
3,CDRIVER-201,CDRIVER-750,is related to
4,CDRIVER-215,DRIVERS-65,is depended on by
5,CDRIVER-216,DRIVERS-69,is depended on by
6,CDRIVER-218,DRIVERS-90,is depended on by
7,CDRIVER-220,CDRIVER-219,is depended on by
8,CDRIVER-226,DRIVERS-95,is depended on by
9,CDRIVER-227,DRIVERS-98,is depended on by
10,CDRIVER-228,DRIVERS-99,is depended on by
11,CDRIVER-232,DRIVERS-103,is depended on by
12,CDRIVER-238,DRIVERS-1,is depended on by
13,CDRIVER-239,DRIVERS-21,is depended on by
14,CDRIVER-240,CDRIVER-704,is related to
15,CDRIVER-242,DRIVERS-83,is depended on by
16,CDRIVER-246,DRIVERS-125,related to
17,CDRIVER-250,CDRIVER-416,is depended on by
18,CDRIVER-251,CDRIVER-252,depends on
19,CDRIVER-252,CDRIVER-251,is depended on by
20,CDRIVER-255,DRIVERS-97,is depended on by
21,CDRIVER-255,CDRIVER-523,related to
22,CDRIVER-255,CDRIVER-657,related to
23,CDRIVER-277,CDRIVER-416,is depended on by
24,CDRIVER-277,CDRIVER-438,duplicates
25,CDRIVER-279,CDRIVER-416,is depended on by
26,CDRIVER-279,CDRIVER-438,related to
27,CDRIVER-293,PHPC-278,is depended on by
28,CDRIVER-293,PHPLIB-50,is depended on by
29,CDRIVER-293,DRIVERS-145,related to
30,CDRIVER-321,DRIVERS-132,is depended on by
31,CDRIVER-324,CDRIVER-528,related to
32,CDRIVER-362,DRIVERS-149,is depended on by
33,CDRIVER-372,DRIVERS-151,is depended on by
34,CDRIVER-375,DRIVERS-167,is depended on by
35,CDRIVER-386,CDRIVER-366,depends on
36,CDRIVER-393,CDRIVER-400,is duplicated by
37,CDRIVER-400,PHPC-24,is depended on by
38,CDRIVER-400,PHPC-77,is depended on by
39,CDRIVER-400,PHPLIB-30,is depended on by
40,CDRIVER-400,PHPLIB-38,is depended on by
41,CDRIVER-400,CDRIVER-393,duplicates
42,CDRIVER-400,CDRIVER-769,related to
43,CDRIVER-404,DRIVERS-166,is depended on by
44,CDRIVER-415,DRIVERS-176,is depended on by
45,CDRIVER-416,CDRIVER-277,depends on
46,CDRIVER-416,CDRIVER-279,depends on
47,CDRIVER-416,CDRIVER-250,depends on
48,CDRIVER-416,CDRIVER-438,duplicates
49,CDRIVER-422,CDRIVER-675,is depended on by
50,CDRIVER-422,CDRIVER-497,related to
51,CDRIVER-423,DRIVERS-173,is depended on by
52,CDRIVER-425,CDRIVER-426,is depended on by
53,CDRIVER-425,DRIVERS-179,is depended on by
54,CDRIVER-425,CDRIVER-426,is related to
55,CDRIVER-426,CDRIVER-425,depends on
56,CDRIVER-426,DRIVERS-174,is depended on by
57,CDRIVER-426,CDRIVER-425,related to
58,CDRIVER-427,PHPC-65,is depended on by
59,CDRIVER-428,PHPC-72,is depended on by
60,CDRIVER-428,PHPC-24,related to
61,CDRIVER-428,CDRIVER-625,related to
62,CDRIVER-429,DRIVERS-181,is depended on by
63,CDRIVER-432,CDRIVER-435,is related to
64,CDRIVER-432,CDRIVER-436,is related to
65,CDRIVER-436,CDRIVER-432,related to
66,CDRIVER-436,CDRIVER-435,related to
67,CDRIVER-437,DRIVERS-183,is depended on by
68,CDRIVER-438,CDRIVER-699,depends on
69,CDRIVER-438,PHPC-24,is depended on by
70,CDRIVER-438,DRIVERS-182,is depended on by
71,CDRIVER-438,CDRIVER-277,is duplicated by
72,CDRIVER-438,CDRIVER-416,is duplicated by
73,CDRIVER-438,CDRIVER-459,is duplicated by
74,CDRIVER-438,CDRIVER-739,related to
75,CDRIVER-438,CDRIVER-758,related to
76,CDRIVER-438,CDRIVER-573,related to
