boardid,sprintid,name,vel_diff,planday,no_issue_starttime,vel_starttime,no_issue_added,vel_added,no_issue_removed,vel_removed,no_issuetodo,vel_todo,no_issueinprogress,vel_inprogress,no_issuedone,vel_done,no_admin,no_teammember
53,337,MMS Sprint v20141202,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53,355,MMS Core Sprint v20150106,0,34,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53,372,MMS Core Sprint v20150127,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53,418,MMS v20150310,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53,471,MMS v20150421,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53,496,MMS v20150512,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53,561,MMS v20150623,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53,578,MMS v20150714,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53,643,please delete me (duplicate),0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1
80,6,docs-sprint-0,-14,16,13,13,10,10,9,9,12,12,1,1,1,1,1,6
80,412,v1.3.18 - 15 - Ending 2/20,22,18,0,0,0,0,0,0,0,0,0,0,0,0,1,9
80,419,Docs Sprint 16 - Ending 3/13,11,19,30,30,74,74,45,45,56,56,1,1,2,2,1,13
80,435,Docs Sprint 17 - Ending 4/3,-43,19,109,109,5,5,8,8,92,92,6,6,8,8,1,13
80,439,Beryllium - 20150427,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,1
80,461,Docs Sprint 18 - 4/24 (461),-52,19,88,88,7,7,3,3,74,74,10,10,8,8,1,13
80,487,Docs Current Sprint (487),-53,18,81,81,7,7,6,6,77,77,4,4,1,1,1,8
80,502,BUILD 3 05/15/15,2,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1
80,511,Docs Sprint Current (511),-53,17,78,78,3,3,0,0,76,76,1,1,4,4,1,8
80,541,BUILD 4 06/05/15,2,22,0,0,0,0,0,0,0,0,0,0,0,0,1,1
80,556,DOCS Current Sprint (556),-30,18,76,76,4,4,2,2,74,74,1,1,3,3,1,5
80,567,Platform 5 06/26/16,1,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1
80,568,Build 5 06/26/16,1,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1
