boardid,sprintid,type,priority,no_comment,no_affectversion,no_fixversion,no_issuelink,no_blocking,no_blockedby,no_fixversion_change,no_priority_change,no_des_change,gunning_fog
5,7,Story,Blocker,0,0,1,1,0,0,1,0,0,medium
5,7,Story,Blocker,0,0,1,0,0,0,1,0,0,medium
5,7,Story,Critical,0,0,1,0,0,0,1,0,0,easy
5,7,Story,Blocker,0,0,1,1,0,0,0,0,0,medium
5,7,Technical task,Critical,0,0,0,0,0,0,0,0,0,easy
5,7,Technical task,Minor,0,0,1,0,0,0,0,0,0,medium
5,7,Technical task,Minor,0,0,1,0,0,0,0,0,0,medium
5,7,Technical task,Critical,0,0,1,0,0,0,0,0,0,medium
5,7,Technical task,Critical,0,0,1,0,0,0,0,0,0,easy
5,7,Technical task,Major,0,0,1,1,0,0,0,0,0,medium
5,12,New Feature,Major,1,0,0,3,0,0,3,0,0,hard
5,12,Bug,Minor,0,1,1,0,0,0,0,0,0,medium
5,12,Improvement,Minor,0,1,1,1,0,0,0,0,0,easy
5,12,New Feature,Major,0,0,0,2,0,0,0,0,0,easy
5,12,Bug,Major,19,1,1,3,0,0,1,0,3,hard
5,12,Bug,Minor,0,2,2,0,0,0,0,0,0,hard
5,12,New Feature,Major,4,0,1,0,0,0,2,1,0,medium
5,12,Bug,Minor,0,0,2,0,0,0,0,0,0,hard
5,12,Bug,Major,0,1,1,1,0,0,0,0,1,hard
5,12,Bug,Major,1,2,2,0,0,0,2,0,0,hard
5,12,Bug,Major,0,1,1,0,0,0,0,0,0,medium
5,12,Bug,Minor,0,2,0,0,0,0,0,0,1,hard
5,12,Improvement,Minor,0,0,3,4,0,0,0,0,0,easy
5,12,Improvement,Minor,0,0,1,0,0,0,0,0,0,easy
5,12,Task,Minor,0,0,2,0,0,0,0,0,0,easy
5,12,Task,Minor,0,2,2,0,0,0,0,0,0,easy
5,12,Bug,Minor,2,0,0,0,0,0,0,1,2,hard
5,14,Task,Major,0,0,1,0,0,0,0,0,0,easy
5,14,Improvement,Major,0,0,1,0,0,0,0,0,0,hard
5,14,Bug,Major,0,2,2,1,0,0,0,0,0,hard
5,14,Task,Minor,0,0,1,0,0,0,0,0,0,easy
5,14,Improvement,Minor,0,2,1,0,0,0,0,0,0,easy
5,14,Improvement,Minor,0,0,1,3,0,0,0,0,0,medium
5,14,Task,Minor,0,0,1,0,0,0,0,0,0,easy
5,14,Task,Minor,0,0,1,1,0,0,0,0,0,easy
5,14,Task,Major,0,0,1,0,0,0,0,0,0,easy
5,14,New Feature,Minor,0,0,1,1,0,0,0,0,0,hard
5,14,New Feature,Minor,1,1,1,1,0,0,0,0,0,hard
5,14,Bug,Major,10,1,1,0,0,0,0,0,0,hard
5,14,New Feature,Minor,0,0,2,0,0,0,0,0,0,hard
5,14,Bug,Major,1,1,1,1,0,0,0,0,3,hard
5,14,Bug,Major,0,1,1,0,0,0,0,0,1,hard
5,14,Bug,Major,1,1,0,0,0,0,0,0,4,hard
5,14,Improvement,Minor,0,0,1,1,0,0,0,0,0,easy
5,14,Task,Minor,0,0,1,0,0,0,0,0,0,easy
5,14,Task,Minor,0,0,2,0,0,0,0,0,0,easy
5,14,Bug,Minor,0,2,2,0,0,0,0,0,0,easy
5,14,Task,Major,0,0,1,0,0,0,0,0,0,easy
5,14,Improvement,Major,0,0,2,0,0,0,0,0,0,hard
5,14,Bug,Minor,0,1,2,0,0,0,0,0,0,hard
5,14,Task,Major,0,0,1,0,0,0,0,0,0,easy
5,14,Bug,Minor,2,2,2,0,0,0,0,0,0,hard
5,14,New Feature,Minor,3,0,1,0,0,0,0,0,0,hard
5,14,New Feature,Major,4,0,1,0,0,0,2,1,0,medium
5,14,Bug,Minor,1,1,0,3,0,0,0,0,0,medium
5,14,Bug,Minor,1,2,0,0,0,0,0,0,1,hard
5,14,Bug,Minor,1,0,1,0,0,0,0,0,0,hard
5,14,Improvement,Major,2,1,0,2,0,0,0,0,1,hard
5,14,Bug,Major,1,1,1,1,0,0,0,1,0,hard
5,14,Bug,Major,4,1,0,1,0,0,0,0,0,hard
5,14,Improvement,Major,0,0,1,0,0,0,0,0,0,hard
5,14,Task,Minor,0,0,1,0,0,0,0,0,0,easy
5,14,Task,Minor,0,1,2,0,0,0,0,0,0,medium
5,14,Task,Minor,0,0,1,1,0,0,0,0,0,easy
5,14,Task,Minor,0,0,1,0,0,0,0,0,0,easy
5,17,Improvement,Minor,1,1,0,0,0,0,0,1,1,hard
5,17,Bug,Minor,3,1,1,0,0,0,0,0,0,medium
5,17,Improvement,Minor,0,0,1,2,0,0,1,0,0,hard
5,17,Bug,Minor,0,1,1,1,0,0,0,0,1,medium
5,17,Task,Major,0,0,1,0,0,0,0,0,0,easy
5,17,Bug,Minor,2,1,1,0,0,0,0,0,1,medium
5,17,New Feature,Minor,1,0,0,0,0,0,0,0,0,medium
5,17,Improvement,Minor,1,1,1,0,0,0,1,1,0,medium
5,17,Bug,Major,0,1,1,0,0,0,0,0,0,hard
5,17,Bug,Major,4,2,1,0,0,0,0,1,2,hard
5,17,Improvement,Minor,0,0,1,0,0,0,0,0,0,hard
5,17,Improvement,Major,0,0,1,1,0,0,0,0,0,hard
5,17,Improvement,Minor,0,2,1,0,0,0,0,0,0,hard
5,17,Bug,Major,0,1,1,0,0,0,0,0,0,hard
5,17,Bug,Minor,0,1,1,1,0,0,0,0,0,medium
5,17,Bug,Major,0,1,2,0,0,0,0,0,0,hard
5,17,Improvement,Minor,0,0,1,0,0,0,0,0,0,easy
5,17,Bug,Major,0,2,2,0,0,0,0,0,0,hard
5,17,Bug,Minor,0,2,1,0,0,0,0,0,0,hard
5,17,Task,Minor,0,0,1,0,0,0,0,0,0,easy
5,17,Task,Major,0,0,1,0,0,0,0,0,0,easy
5,17,Bug,Major,1,1,0,0,0,0,0,0,1,hard
5,17,Bug,Major,16,1,0,0,0,0,0,0,4,hard
5,17,Improvement,Major,0,1,1,0,0,0,0,0,2,hard
5,17,Bug,Major,0,1,2,0,0,0,0,0,3,hard
5,17,Task,Minor,0,0,1,0,0,0,0,0,0,easy
5,17,Bug,Minor,0,1,1,0,0,0,0,0,0,medium
5,17,Task,Minor,0,0,2,0,0,0,0,0,0,easy
5,17,Bug,Major,3,1,2,0,0,0,1,0,0,hard
5,17,Bug,Minor,2,1,0,0,0,0,0,0,0,medium
5,17,Bug,Minor,2,2,2,0,0,0,0,0,0,hard
5,17,Bug,Major,4,1,2,0,0,0,2,0,0,hard
5,17,Improvement,Major,0,0,1,0,0,0,2,0,0,hard
5,17,Bug,Major,0,1,2,0,0,0,0,0,0,hard
5,17,Improvement,Minor,1,0,1,0,0,0,0,0,0,medium
5,17,Task,Minor,0,0,1,0,0,0,0,0,0,easy
5,17,Task,Major,0,0,2,0,0,0,0,0,0,hard
5,17,Improvement,Major,0,1,1,0,0,0,0,0,0,hard
5,22,New Feature,Minor,1,0,0,0,0,0,0,0,0,medium
5,22,Bug,Minor,6,2,1,0,0,0,2,0,1,hard
5,22,New Feature,Minor,1,0,1,1,0,0,1,0,0,hard
5,22,Bug,Major,0,1,2,0,0,0,0,0,0,hard
5,22,Improvement,Minor,0,0,2,0,0,0,0,0,0,easy
5,22,Task,Minor,0,0,1,0,0,0,0,0,0,easy
5,22,Task,Minor,0,0,0,0,0,0,0,0,0,easy
5,22,Bug,Minor,0,0,2,0,0,0,0,0,0,hard
5,22,Bug,Major,0,2,2,1,0,0,0,0,0,hard
5,22,Bug,Major,0,1,2,0,0,0,0,0,0,hard
5,22,Improvement,Minor,0,1,1,3,0,0,6,0,2,medium
5,22,Task,Minor,0,0,1,0,0,0,0,0,0,easy
5,22,New Feature,Minor,0,0,1,0,0,0,0,0,0,medium
5,22,Improvement,Major,1,0,1,0,0,0,0,0,0,hard
5,22,Bug,Major,4,1,2,1,0,0,0,0,1,hard
5,22,Improvement,Minor,2,1,1,1,0,0,0,0,0,hard
5,22,Improvement,Minor,0,0,1,0,0,0,0,0,0,easy
5,22,Bug,Minor,3,1,2,0,0,0,2,0,1,hard
5,22,Task,Minor,0,0,1,0,0,0,0,0,0,easy
5,22,Bug,Major,0,2,3,0,0,0,0,0,0,hard
5,22,Bug,Minor,0,1,2,0,0,0,0,0,0,hard
5,22,Bug,Minor,0,1,2,0,0,0,0,0,0,hard
5,22,Bug,Major,0,0,0,0,0,0,0,0,0,medium
5,22,Bug,Major,0,5,0,0,0,0,0,0,0,hard
5,22,New Feature,Major,0,1,1,0,0,0,3,0,0,hard
5,22,New Feature,Minor,6,1,1,0,0,0,0,0,0,hard
5,22,Bug,Minor,0,1,2,0,0,0,0,0,0,hard
5,22,Task,Minor,0,0,1,0,0,0,0,0,0,easy
