idissuelink,issuekey,linkedIssueKey,name
1,OSGI-200,OSGI-274,is related to
2,OSGI-245,OSGI-246,is related to
3,OSGI-245,OSGI-359,is related to
4,INT-1317,AMQP-35,is related to
5,INT-1388,INT-1400,depends on
6,INT-1388,INT-1348,is depended on by
7,INTTEMPLATES-8,INTSAMPLES-73,is depended on by
8,SPRNET-437,SPRNET-407,duplicates
9,SEC-422,SEC-467,is duplicated by
10,SPR-3009,SPR-2972,duplicates
11,SPR-3010,SPR-2478,depends on
12,SEC-423,SEC-461,is duplicated by
13,SPRNET-444,SPRNET-1185,is duplicated by
14,SPRNET-444,SPRNET-471,is related to
15,SPRNET-444,SPRNET-467,is related to
16,SPR-3019,SPR-2850,duplicates
17,SEC-424,SEC-99,duplicates
18,SWF-235,SWF-223,depends on
19,SPR-3030,SPR-978,is duplicated by
20,SPR-3030,SPR-8038,is related to
21,SPR-3033,SPR-8179,is related to
22,SPR-3034,SPR-5223,is related to
23,SPRNET-451,SPRNET-408,duplicates
24,SPR-3039,SPR-2704,duplicates
25,SPRNET-452,SPRNET-475,is duplicated by
26,SPRNET-454,SPRNET-695,is related to
27,SEC-426,SEC-766,is depended on by
28,LDAP-39,LDAP-103,depends on
29,SPR-3061,SPR-2501,depends on
30,SPR-3061,SPR-3164,is depended on by
31,SEC-428,SEC-99,depends on
32,SEC-428,SEC-429,is depended on by
33,SEC-429,SEC-428,depends on
34,SEC-429,SEC-507,is related to
35,SWS-84,SWS-194,depends on
36,SPR-3066,SPR-1137,is related to
37,SPR-3071,SPR-3072,is depended on by
38,SPR-3072,SPR-3071,depends on
39,SPRNET-461,SPRNET-653,is related to
40,SWF-245,SWF-257,is related to
41,SPR-3096,SPR-6593,is superseded by
42,SPRNET-467,SPRNET-444,is related to
43,SPR-3104,SPR-2540,is depended on by
44,SPR-3104,SPR-5292,is related to
45,SPRNET-469,SPRNET-678,is related to
46,SPRNET-471,SPRNET-444,is related to
47,OSGI-56,OSGI-65,depends on
48,SPRNET-475,SPRNET-452,duplicates
49,SPRNET-478,SPRNET-338,is related to
50,SEC-433,SEC-404,duplicates
51,SPRNET-481,SPRNET-602,is related to
52,SPR-3147,SPR-3681,is related to
53,SPR-3150,SPR-10594,is superseded by
54,MOD-290,MOD-250,is depended on by
55,MOD-290,MOD-242,is depended on by
56,SPR-3154,SPR-3309,is related to
57,SPR-3164,SPR-3061,depends on
58,SPR-3171,SPR-2848,is related to
59,SGF-314,SGF-318,duplicates
60,DATAREST-470,DATAMONGO-1148,is related to
61,SPR-12663,SPR-11622,relates to
62,DATAMONGO-1148,DATAREST-470,relates to
63,DATACMNS-637,DATAMONGO-712,is depended on by
64,DATAMONGO-1146,DATACMNS-636,is related to
65,DATACMNS-636,DATAJPA-665,relates to
66,DATACMNS-636,DATAMONGO-1146,relates to
67,SPR-12661,SPR-11598,duplicates
68,DATAJPA-665,DATACMNS-636,is related to
69,DATAMONGO-1145,DATAMONGO-1144,is related to
70,DATAMONGO-1145,DATAMONGO-1143,is related to
71,DATAMONGO-1143,DATAMONGO-1145,relates to
72,SPR-12641,SPR-12039,relates to
73,AMQP-468,AMQP-463,duplicates
74,SEC-2822,SEC-2793,is duplicated by
75,SEC-2822,SPR-12646,relates to
76,SPR-12646,SPR-12127,relates to
77,SPR-12646,SPR-12018,relates to
78,SPR-12646,SEC-2822,is related to
79,XD-2609,XD-2620,relates to
80,XD-2609,XD-2632,is related to
81,XD-2605,XD-2074,duplicates
82,DATACMNS-631,DATAJPA-546,is depended on by
83,XD-2594,XD-2595,is depended on by
84,XD-2597,XD-2564,depends on
85,SPR-12633,SPR-11574,relates to
86,XD-2592,XD-2564,is related to
87,SEC-2815,SEC-2661,supersedes
88,INT-3603,INT-3581,is superseded by
89,DATAMONGO-1138,DATAMONGO-1110,duplicates
90,DATACASS-11,DATACASS-33,depends on
91,DATACASS-113,DATACASS-110,is duplicated by
92,DATACASS-149,DATACMNS-557,depends on
93,DATACASS-15,DATACASS-21,depends on
94,DATACASS-177,DATACASS-178,duplicates
95,DATACASS-178,DATACASS-177,is duplicated by
96,DATACASS-21,DATACASS-15,is depended on by
97,DATACASS-211,DATAREST-551,is depended on by
98,DATACASS-211,DATACASS-214,is duplicated by
99,DATACASS-211,DATACMNS-542,is related to
100,DATACASS-214,DATACMNS-542,depends on
101,DATACASS-214,DATACASS-211,duplicates
102,DATACASS-227,DATACMNS-738,is related to
103,DATACASS-33,DATACASS-11,is depended on by
104,DATACASS-93,DATACASS-96,depends on
105,DATACASS-96,DATACASS-93,is depended on by
106,DATACMNS-138,DATAJPA-478,relates to
107,DATACMNS-243,DATAMONGO-862,is depended on by
108,DATACMNS-243,DATASOLR-152,relates to
109,DATACMNS-293,SEC-2409,is depended on by
110,DATACMNS-293,DATAMONGO-1151,is depended on by
111,DATACMNS-293,DATAJPA-307,relates to
112,DATACMNS-304,DATACMNS-359,is duplicated by
113,DATACMNS-342,DATAMONGO-688,is depended on by
114,DATACMNS-345,DATAMONGO-721,is depended on by
115,DATACMNS-350,DATAGRAPH-374,is depended on by
116,DATACMNS-350,DATAMONGO-731,is depended on by
117,DATACMNS-350,DATASOLR-110,relates to
118,DATACMNS-356,DATAJPA-46,relates to
119,DATACMNS-359,DATACMNS-304,duplicates
120,DATACMNS-364,DATAJPA-398,is related to
121,DATACMNS-365,DATAJPA-592,relates to
122,DATACMNS-376,DATAREST-169,is depended on by
123,DATACMNS-379,DATACMNS-408,is related to
124,DATACMNS-387,DATAJPA-405,is depended on by
125,DATACMNS-388,SPR-11004,relates to
126,DATACMNS-389,DATAMONGO-792,is depended on by
127,DATACMNS-389,DATAJPA-265,is depended on by
128,DATACMNS-391,SPR-11052,depends on
129,DATACMNS-392,DATAJPA-419,is depended on by
130,DATACMNS-392,DATAMONGO-793,is depended on by
131,DATACMNS-393,DATACMNS-405,relates to
132,DATACMNS-395,DATACMNS-412,is related to
133,DATACMNS-397,DATAMONGO-870,is depended on by
134,DATACMNS-397,DATAJPA-486,is depended on by
135,DATACMNS-397,DATASOLR-186,relates to
136,DATACMNS-397,DATAGRAPH-440,is related to
137,DATACMNS-402,DATAJPA-12,is related to
138,DATACMNS-408,DATACMNS-379,relates to
139,DATACMNS-408,DATAREST-195,relates to
140,DATACMNS-412,DATACMNS-395,relates to
141,DATACMNS-422,DATAREST-198,is depended on by
142,DATACMNS-422,DATAREST-181,is depended on by
143,DATACMNS-432,DATAREST-246,relates to
144,DATACMNS-432,DATAJPA-471,relates to
145,DATACMNS-433,DATAJPA-451,relates to
146,DATACMNS-437,DATAGRAPH-454,is depended on by
147,DATACMNS-437,DATAMONGO-858,is depended on by
148,DATACMNS-437,DATACMNS-475,relates to
149,DATACMNS-437,DATASOLR-142,is related to
150,DATACMNS-441,DATAJPA-465,relates to
151,DATACMNS-448,DATAMONGO-566,relates to
152,DATACMNS-448,DATAJPA-460,relates to
153,DATACMNS-451,DATAMONGO-833,relates to
154,DATACMNS-455,DATAMONGO-843,is related to
155,DATACMNS-460,DATAMONGO-871,is depended on by
156,DATACMNS-464,DATAJPA-498,is depended on by
157,DATACMNS-464,DATAREST-265,is depended on by
158,DATACMNS-464,DATAJPA-489,is depended on by
159,DATACMNS-466,DATAJPA-490,relates to
160,DATACMNS-468,DATASOLR-154,relates to
161,DATACMNS-469,DATAJPA-575,relates to
162,DATACMNS-469,DATAMONGO-991,relates to
163,DATACMNS-469,DATASOLR-182,relates to
164,DATACMNS-475,DATACMNS-437,is related to
165,DATACMNS-476,SGF-260,is depended on by
166,DATACMNS-476,DATACMNS-480,is superseded by
167,DATACMNS-479,DATAMONGO-887,is depended on by
168,DATACMNS-480,SGF-260,is depended on by
169,DATACMNS-480,DATACMNS-476,supersedes
170,DATACMNS-483,DATACMNS-603,relates to
171,DATACMNS-483,DATACMNS-489,relates to
172,DATACMNS-486,DATAMONGO-866,is depended on by
173,DATACMNS-489,SPR-11725,depends on
174,DATACMNS-489,DATACMNS-498,relates to
175,DATACMNS-489,DATACMNS-499,is related to
176,DATACMNS-489,DATACMNS-483,is related to
177,DATACMNS-491,DATAJPA-499,relates to
178,DATACMNS-492,DATACMNS-493,relates to
179,DATACMNS-494,SPR-11744,depends on
180,DATACMNS-496,DATACMNS-719,relates to
181,DATACMNS-498,SPR-11725,depends on
182,DATACMNS-498,DATACMNS-499,is depended on by
183,DATACMNS-498,DATACMNS-489,is related to
184,DATACMNS-501,SPR-11763,is related to
185,DATACMNS-511,DATAJPA-558,relates to
186,DATACMNS-516,DATAJPA-551,is depended on by
187,DATACMNS-516,DATASOLR-170,is depended on by
188,DATACMNS-518,DATAMONGO-830,relates to
189,DATACMNS-523,DATACOUCH-94,is depended on by
190,DATACMNS-523,DATAMONGO-958,is depended on by
191,DATACMNS-526,DATASOLR-184,is depended on by
192,DATACMNS-526,DATAJPA-579,relates to
193,DATACMNS-526,DATAMONGO-1009,relates to
194,DATACMNS-534,DATAMONGO-980,is depended on by
195,DATACMNS-538,DATAREST-212,is related to
196,DATACMNS-539,DATAREST-319,is depended on by
197,DATACMNS-542,DATACASS-214,is depended on by
198,DATACMNS-542,DATAJPA-674,relates to
199,DATACMNS-542,DATAES-162,relates to
200,DATACMNS-542,DATAGRAPH-617,relates to
201,DATACMNS-542,DATAJPA-710,relates to
202,DATACMNS-542,DATAMONGO-1211,relates to
203,DATACMNS-542,DATACASS-211,relates to
204,DATACMNS-547,DATAMONGO-992,is depended on by
205,DATACMNS-548,DATACMNS-541,relates to
206,DATACMNS-551,DATAJPA-579,is depended on by
207,DATACMNS-554,DATACMNS-686,relates to
208,DATACMNS-554,DATAKV-96,relates to
209,DATACMNS-554,DATAJPA-679,is related to
210,DATACMNS-554,DATAMONGO-1167,is related to
211,DATACMNS-556,DATAJPA-569,is duplicated by
212,DATACMNS-557,DATAGRAPH-500,is depended on by
213,DATACMNS-557,DATAMONGO-1017,is depended on by
214,DATACMNS-557,DATAES-113,is depended on by
215,DATACMNS-557,DATASOLR-187,is depended on by
216,DATACMNS-557,DATACASS-149,is depended on by
217,DATACMNS-562,DATAJPA-588,relates to
218,DATACMNS-566,DATAJPA-596,is related to
219,DATACMNS-571,SPR-12139,is related to
220,DATACMNS-578,DATACMNS-582,is related to
221,DATACMNS-580,DATAJPA-615,is related to
222,DATACMNS-581,DATAJPA-618,relates to
223,DATACMNS-581,DATAMONGO-1075,is related to
224,DATACMNS-587,DATAMONGO-1105,is depended on by
225,DATACMNS-587,DATAJPA-635,is depended on by
226,DATACMNS-587,DATACMNS-686,relates to
227,DATACMNS-587,DATAKV-90,relates to
228,DATACMNS-588,DATACMNS-589,depends on
229,DATACMNS-589,DATACMNS-588,is depended on by
230,DATACMNS-589,DATAREST-409,relates to
231,DATACMNS-589,DATACMNS-540,relates to
232,DATACMNS-591,DATAJPA-631,relates to
233,DATACMNS-591,SPR-12423,is related to
234,DATACMNS-596,DATAREST-415,is depended on by
235,DATACMNS-596,DATASOLR-216,relates to
236,DATACMNS-599,DATAREST-416,is depended on by
237,DATACMNS-599,DATAJPA-630,relates to
238,DATACMNS-600,DATAREST-417,is depended on by
239,DATACMNS-609,DATASOLR-218,relates to
240,DATACMNS-609,DATACMNS-611,relates to
241,DATACMNS-611,DATACMNS-609,is related to
242,DATACMNS-613,DATAMONGO-1192,relates to
