boardid,sprintid,name,vel_diff,planday,no_issue_starttime,vel_starttime,no_issue_added,vel_added,no_issue_removed,vel_removed,no_issuetodo,vel_todo,no_issueinprogress,vel_inprogress,no_issuedone,vel_done,no_admin,no_teammember
5,7,Sprint 1,-7,14,4,17,0,0,0,0,2,7,0,0,2,10,1,1
5,12,Babbage - RC1 - Stage One,16,10,1,4,11,44,7,28,5,20,0,0,0,0,1,2
5,14,Babbage - RC1 - Stage Two,32,21,5,20,20,80,0,0,11,44,2,8,12,48,1,2
5,17,The Road To SpringOne,28,30,23,92,7,28,2,8,10,40,1,4,17,68,1,3
5,22,SpringOne Aftermath,60,21,0,0,21,84,0,0,14,56,4,16,3,12,1,2
5,23,The Road to Codd M1,156,18,13,52,16,64,0,0,14,56,3,12,12,48,1,4
5,26,Sprint 2,-13,14,1,13,0,0,0,0,1,13,0,0,0,0,1,1
5,27,Codd M1,68,49,26,104,13,52,6,24,14,56,6,24,13,52,1,3
5,30,42 - 2014 Kickoff,40,14,45,180,15,60,0,0,27,108,7,28,26,104,1,5
5,33,Sprint 3,0,7,3,9,0,0,0,0,2,6,1,3,0,0,1,3
5,34,43 - Babbage SR3,92,15,30,120,13,52,3,12,7,28,14,56,19,76,1,5
5,36,Sprint 4,-1,10,6,26,0,0,0,0,5,25,0,0,1,1,1,3
5,37,44 - Codd GA,140,21,11,44,48,192,1,4,13,52,14,56,31,124,1,5
5,38,Sprint 5,4,6,8,35,2,16,1,8,3,18,0,0,6,25,1,3
5,40,45 - Dijkstra M1,81,10,0,0,45,180,1,4,18,72,9,36,17,68,1,3
5,42,46 - Codd SR2,-28,16,33,132,2,8,0,0,27,108,7,28,1,4,1,3
5,44,47 - Dijkstra RC1,81,11,0,0,28,112,0,0,22,88,5,20,1,4,1,3
5,48,48 - Dijkstra GA,202,14,19,76,19,76,1,4,22,88,8,32,7,28,1,4
5,52,49 - Dijkstra SR1,25,8,35,140,5,20,2,8,29,116,2,8,7,28,1,4
5,53,50 - Evans M1,25,17,31,124,14,56,0,0,19,76,14,56,12,48,1,4
5,55,51 - Dijkstra SR2,-7,10,40,160,12,48,0,0,20,80,11,44,21,84,1,4
5,56,52 - Evans RC1,58,11,34,136,5,20,1,4,24,96,12,48,2,8,1,4
5,61,52 - Evans GA,218,16,3,12,6,24,0,0,9,36,0,0,0,0,1,4
5,63,53 - Evans SR1,166,25,0,0,13,52,0,0,4,16,7,28,2,8,1,5
5,69,54 - Fowler M1,161,11,28,112,14,56,0,0,14,56,18,72,10,40,1,4
5,71,55 - Evans SR2,313,14,27,108,6,24,0,0,16,64,4,16,13,52,1,5
5,76,56 - Fowler RC1,59,15,42,168,11,44,1,4,42,168,4,16,6,24,1,4
5,81,56 - Fowler GA,-15,14,40,160,5,20,3,12,26,104,8,32,8,32,1,4
5,84,57 - Fowler Aftermath,133,17,50,200,7,28,0,0,40,160,7,28,10,40,1,5
5,89,58 - Gosling M1,-135,14,70,280,2,8,0,0,60,240,6,24,6,24,1,4
5,91,59 - Evans / Fowler SR,10,14,65,260,4,16,0,0,54,216,9,36,6,24,1,6
5,93,Gosling RC1,1,14,70,280,4,16,0,0,60,240,2,8,12,48,1,4
6,1,Sprint 1,6,14,2,4,9,20,4,12,6,11,1,1,0,0,1,1
6,3,Sprint 2,0,4,10,31,8,14,8,33,10,12,0,0,0,0,1,4
6,4,Sprint 3,0,5,17,86,2,4,4,18,3,15,7,40,5,17,1,8
6,5,Sprint 4,9,4,21,55,4,6,7,17,10,26,3,7,5,11,1,5
6,6,Sprint 5,-36,6,25,63,9,33,1,1,4,21,9,25,20,49,1,10
6,8,Sprint 6,33,9,20,77,23,52,1,5,1,12,6,23,35,89,1,10
6,9,Sprint 7,22,3,10,24,1,8,3,11,3,2,2,11,3,8,1,4
6,10,Sprint 8,-16,3,18,91,5,17,1,4,9,32,9,55,4,17,1,7
