issuekey,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,ProgressTime,RemainingDay,topic_10,topic_100,topic_200,topic_300,topic_400
JBAS-23,153,"2004-04-16 00:00:00",Bug,0,0,0,0,Major,0,0,1,0,1,0,0,0,0,0,0,75,10,76,176,285,279
JBAS-1,19,"2004-11-07 00:00:00",Task,0,0,0,0,Major,0,0,2,0,2,1,0,1,0,0,0,1,1,76,158,212,284
JBAS-2,8,"2004-11-07 00:00:00",Bug,0,0,0,0,Major,0,0,2,0,1,0,0,1,0,0,0,12,2,81,176,294,273
JBAS-3,34,"2004-11-07 00:00:00",Task,0,0,0,0,Major,0,0,1,0,2,2,0,1,0,0,0,12,9,63,61,259,306
JBLAB-2,30,"2004-11-13 00:00:00",Task,0,0,0,0,Critical,0,0,1,0,0,0,0,1,0.625,0,0,66,2,95,181,245,400
JBAS-5,117,"2004-11-14 00:00:00",Task,0,0,0,0,Major,0,0,0,0,1,0,0,1,0.5555555555555556,0,0,3,10,3,140,299,380
JBLAB-3,54,"2004-11-18 00:00:00",Task,0,0,0,0,Critical,0,0,1,0,0,0,0,3,0.5,0,0,1,10,88,134,118,284
JBLAB-4,23,"2004-11-18 00:00:00",Task,0,0,0,0,Major,0,0,1,0,0,0,0,3,0.5,0,0,32,8,100,159,233,329
JBPORTAL-1,25,"2004-11-20 00:00:00","Feature Request",0,0,0,0,Critical,0,0,1,0,0,0,0,1,0.5,0,0,41,8,95,107,53,311
JBPORTAL-2,171,"2004-11-20 00:00:00","Feature Request",0,0,0,0,Critical,0,0,1,0,0,0,0,1,0.5,0,0,41,6,100,184,270,158
JBPM-1,0,"2004-11-23 00:00:00",Task,0,0,0,0,Major,0,0,0,0,0,0,0,0,0,0,0,2,8,49,167,273,363
JBAS-6,79,"2004-11-23 00:00:00",Task,0,0,0,0,Major,0,0,0,0,4,0,2,1,0.5,0,0,13,9,61,134,220,132
JBAS-7,17,"2004-11-23 00:00:00",Task,0,0,0,0,Major,0,0,1,0,8,0,8,1,0.5,0,0,13,9,77,134,235,50
JBSEAM-1,76,"2004-11-26 00:00:00","Feature Request",0,0,0,0,Major,0,0,0,0,0,0,0,0,0.5,0,0,62,8,88,181,250,282
HIBERNATE-1,0,"2004-11-28 00:00:00",Bug,0,0,0,0,Blocker,0,0,0,0,1,1,0,0,0.8,0,0,8,4,52,158,151,390
JBAS-13,17,"2004-11-28 00:00:00",Task,0,0,0,0,Major,0,0,1,0,5,1,4,1,0.8,0,0,8,10,90,176,181,195
EJBTHREE-3,12,"2004-11-30 00:00:00",Bug,0,0,0,0,Major,0,0,1,0,0,0,0,1,0,0,0,1,7,92,111,277,314
EJBTHREE-4,12,"2004-11-30 00:00:00",Bug,0,0,0,0,Major,0,0,1,0,0,0,0,1,0,0,0,1,6,79,179,258,186
EJBTHREE-5,12,"2004-11-30 00:00:00","Feature Request",0,0,0,0,Major,0,0,1,0,0,0,0,1,0,0,0,1,8,50,179,259,285
EJBTHREE-6,12,"2004-11-30 00:00:00","Feature Request",0,0,0,0,Major,0,0,1,0,0,0,0,1,0,0,0,1,4,63,71,131,162
EJBTHREE-7,12,"2004-11-30 00:00:00","Feature Request",0,0,0,0,Major,0,0,1,0,0,0,0,1,0,0,0,1,6,100,143,270,241
JBPM-15,82,"2004-12-01 00:00:00",Task,0,0,0,0,Major,0,0,0,0,0,0,0,0,0,0,0,30,1,59,188,104,349
JBMICROCONT-1,0,"2004-12-01 00:00:00",Task,0,0,0,0,Major,0,0,1,0,0,0,0,1,0,0,0,0,9,82,170,81,195
JBIDE-2,75,"2004-12-02 00:00:00",Task,0,0,0,0,Major,0,0,1,0,1,0,0,0,0,0,0,13,4,65,143,201,364
JBIDE-4,0,"2004-12-02 00:00:00",Task,0,0,0,0,Major,0,0,1,0,1,0,0,0,0,0,0,13,4,100,30,251,95
JBIDE-5,75,"2004-12-02 00:00:00",Task,0,0,0,0,Major,0,0,1,0,1,0,0,0,0,0,0,13,4,22,105,270,355
JBIDE-7,75,"2004-12-02 00:00:00",SubTask,0,0,0,0,Major,0,0,1,0,0,0,0,0,0,0,0,13,10,14,196,241,4
JBIDE-8,75,"2004-12-02 00:00:00",SubTask,0,0,0,0,Major,0,0,1,0,0,0,0,0,0,0,0,13,10,67,200,244,380
JBIDE-9,97,"2004-12-02 00:00:00",SubTask,0,0,0,0,Major,0,0,1,0,0,0,0,0,0,0,0,13,9,51,112,187,383
JBIDE-10,75,"2004-12-02 00:00:00","Feature Request",0,0,0,0,Major,0,0,1,0,0,0,0,0,0,0,0,13,10,14,196,214,361
JBIDE-12,60,"2004-12-03 00:00:00","Feature Request",0,0,0,0,Major,0,0,1,0,0,0,0,0,0.4,0,0,48,9,49,188,225,349
JBIDE-13,180,"2004-12-03 00:00:00","Feature Request",0,0,0,0,Major,0,0,1,0,0,0,0,0,0.4,0,0,48,8,72,52,169,96
JBIDE-14,61,"2004-12-03 00:00:00",SubTask,0,0,0,0,Major,0,0,1,0,0,0,0,0,0.4,0,0,48,8,66,173,259,357
JBIDE-15,39,"2004-12-03 00:00:00",SubTask,0,0,0,0,Major,0,0,1,0,0,0,0,0,0.4,0,0,48,1,51,190,270,343
JBIDE-19,61,"2004-12-03 00:00:00",SubTask,0,0,0,0,Major,0,0,1,0,0,0,0,0,0.4,0,0,48,9,88,98,289,55
JBMESSAGING-2,124,"2004-12-03 00:00:00","Feature Request",0,0,0,0,Major,0,0,0,0,0,0,0,0,0,0,0,47,10,100,104,67,332
JBMESSAGING-3,55,"2004-12-03 00:00:00","Feature Request",0,0,0,0,Critical,0,0,0,0,0,0,0,0,0,0,0,55,10,72,115,185,151
JBMESSAGING-6,177,"2004-12-03 00:00:00","Feature Request",0,0,0,0,Major,0,0,1,0,1,1,0,0,0,0,0,103,10,35,134,166,289
JBMESSAGING-7,0,"2004-12-03 00:00:00","Feature Request",0,0,0,0,Major,0,0,0,0,0,0,0,0,0,0,0,118,3,14,26,185,88
JBMESSAGING-9,0,"2004-12-03 00:00:00",Task,0,0,0,0,Major,0,0,0,0,0,0,0,0,0,0,0,150,6,84,123,289,274
JBBENCH-4,28,"2004-12-04 00:00:00","Feature Request",0,0,0,0,Major,0,0,1,0,0,0,0,1,0.45454545454545453,0,0,44,10,100,30,289,279
JBWEB-4,0,"2004-12-04 00:00:00",Patch,0,0,0,0,Minor,0,0,0,0,0,0,0,0,0,0,0,13,1,94,187,248,255
JBWEB-5,1,"2004-12-04 00:00:00",Task,0,0,0,0,Minor,0,0,0,0,0,0,0,0,0,0,0,3,4,78,67,235,198
JBWEB-6,7,"2004-12-04 00:00:00",Task,0,0,0,0,Major,0,0,0,0,0,0,0,0,0,0,0,13,9,64,99,228,198
JBBENCH-9,5,"2004-12-04 00:00:00","Feature Request",0,0,0,0,Major,0,0,1,0,0,0,0,1,0.45454545454545453,0,0,68,9,95,198,21,139
JBAS-35,0,"2004-12-07 00:00:00",Bug,0,0,0,0,Major,0,0,1,0,0,0,0,1,0.46153846153846156,0,0,13,9,67,127,228,198
JBAOP-2,14,"2004-12-10 00:00:00",Task,0,0,0,0,Major,0,0,0,0,2,1,0,0,0,0,0,42,9,3,188,246,289
EJBTHREE-2,0,"2004-12-13 00:00:00","Feature Request",0,0,0,0,Major,0,0,1,0,0,0,0,1,0,0,0,49,6,83,172,127,350
EJBTHREE-8,18,"2004-12-13 00:00:00","Feature Request",0,0,0,0,Major,0,0,1,0,0,0,0,1,0,0,0,18,2,84,112,268,354
EJBTHREE-9,116,"2004-12-13 00:00:00","Feature Request",0,0,0,0,Major,0,0,1,0,1,1,0,1,0,0,0,49,7,65,141,246,276
EJBTHREE-10,0,"2004-12-13 00:00:00",Bug,0,0,0,0,Major,0,0,1,0,0,0,0,1,0,0,0,49,10,64,138,170,141
EJBTHREE-15,0,"2004-12-13 00:00:00","Feature Request",0,0,0,0,Major,0,0,1,0,0,0,0,1,0,0,0,49,8,47,102,199,283
EJBTHREE-16,0,"2004-12-13 00:00:00","Feature Request",0,0,0,0,Major,0,0,1,0,0,0,0,1,0,0,0,49,5,50,147,260,193
EJBTHREE-17,0,"2004-12-13 00:00:00","Feature Request",0,0,0,0,Major,0,0,1,0,0,0,0,1,0,0,0,49,8,60,171,198,199
EJBTHREE-21,0,"2004-12-13 00:00:00","Feature Request",0,0,0,0,Major,0,0,1,0,0,0,0,1,0,0,0,184,10,100,30,214,95
EJBTHREE-28,0,"2004-12-13 00:00:00","Feature Request",0,0,0,0,Major,0,0,1,0,1,1,0,1,0,0,0,49,6,70,172,165,283
EJBTHREE-29,0,"2004-12-13 00:00:00","Feature Request",0,0,0,0,Major,0,0,1,0,1,0,1,1,0,0,0,49,9,82,179,204,347
EJBTHREE-30,0,"2004-12-13 00:00:00",Task,0,0,0,0,Major,0,0,1,0,0,0,0,1,0,0,0,49,9,98,160,230,248
JBAOP-4,0,"2004-12-13 00:00:00","Feature Request",0,0,0,0,Major,0,0,1,0,0,0,0,1,0,0,0,49,10,30,57,169,324
EJBTHREE-32,0,"2004-12-13 00:00:00",Task,0,0,0,0,Blocker,0,0,1,0,1,0,1,1,0,0,0,49,9,63,177,191,169
EJBTHREE-33,0,"2004-12-13 00:00:00","Feature Request",0,0,0,0,Blocker,0,0,1,0,1,0,1,1,0,0,0,49,2,91,177,266,367
JBAS-63,314,"2004-12-15 00:00:00",Task,0,0,0,0,Blocker,0,0,1,0,8,3,1,0,0.07692307692307693,0,0,688,8,93,67,261,399
JBCACHE-16,0,"2004-12-18 00:00:00",Task,0,0,0,0,Major,0,0,1,0,1,1,0,0,0,0,0,44,7,3,9,246,289
JBNET-31,4,"2004-12-29 00:00:00",Task,0,0,0,0,Major,0,0,0,0,0,0,0,0,0,0,0,1,9,25,188,242,328
JBNET-30,25,"2004-12-31 00:00:00",Task,0,0,0,0,Major,0,0,0,0,0,0,0,0,0,0,0,3,2,86,150,286,295
JBNET-34,208,"2004-12-31 00:00:00",Task,0,0,0,0,Major,0,0,0,0,0,0,0,0,0,0,0,0,9,82,186,202,194
JBMAIL-2,0,"2005-01-01 00:00:00","Feature Request",0,0,0,0,Blocker,0,0,1,0,0,0,0,1,0,0,0,2,7,98,193,231,96
JBMAIL-15,0,"2005-01-05 00:00:00",Bug,0,0,0,0,Critical,0,0,1,0,0,0,0,1,0.5333333333333333,0,0,1,8,52,193,177,387
JBIDE-99,61,"2005-01-06 00:00:00",Task,0,0,0,0,Critical,0,0,1,0,0,0,0,0,0.49019607843137253,0,0,154,10,57,181,248,253
JBWEB-10,409,"2005-01-14 00:00:00",Task,0,0,0,0,Major,0,0,0,0,1,0,1,0,0,0,0,137,6,3,99,228,289
JBCACHE-40,49,"2005-01-14 00:00:00",Task,0,0,0,0,Major,0,0,1,0,1,0,1,0,0,0,0,76,2,3,188,136,289
JBPROFILER-7,183,"2005-01-18 00:00:00",Task,0,0,0,0,Major,0,0,1,0,0,0,0,1,0.8,0,0,13,3,74,134,234,348
JBLAB-26,2,"2005-01-20 00:00:00",SubTask,0,0,0,0,Critical,0,0,1,0,0,0,0,1,0,0,0,4,2,100,150,222,336
JBLAB-28,15,"2005-01-20 00:00:00",SubTask,0,0,0,0,Major,0,0,1,0,0,0,0,1,0,0,0,6,2,94,199,295,144
JBLAB-29,10,"2005-01-20 00:00:00",SubTask,0,0,0,0,Major,0,0,0,0,0,0,0,1,0,0,0,6,2,76,136,32,379
JBLAB-30,15,"2005-01-20 00:00:00",SubTask,0,0,0,0,Major,0,0,1,0,0,0,0,1,0,0,0,6,2,94,136,278,269
JBLAB-31,15,"2005-01-20 00:00:00",SubTask,0,0,0,0,Major,0,0,0,0,0,0,0,1,0,0,0,6,2,94,167,32,333
JBLAB-32,20,"2005-01-20 00:00:00",SubTask,0,0,0,0,Major,0,0,0,0,0,0,0,1,0,0,0,6,2,98,136,278,121
JBNET-70,12,"2005-01-23 00:00:00",Task,0,0,0,0,Major,0,0,0,0,0,0,0,0,0.875,0,0,341,8,87,99,137,285
JBADMCON-52,0,"2005-01-26 00:00:00",Task,0,0,0,0,Major,0,0,1,0,0,0,0,1,0.8235294117647058,0,0,9,3,88,163,236,328
JBNET-77,59,"2005-01-28 00:00:00",Task,0,0,0,0,Critical,0,0,0,0,0,0,0,0,0.8181818181818182,0,0,21,8,85,197,240,391
JBNET-78,149,"2005-01-28 00:00:00",Task,0,0,0,0,Major,0,0,0,0,0,0,0,0,0.8181818181818182,0,0,215,9,60,193,200,207
JBNET-79,33,"2005-01-28 00:00:00",SubTask,0,0,0,0,Major,0,0,0,0,0,0,0,0,0.8181818181818182,0,0,5,7,96,186,299,373
JBNET-80,149,"2005-01-28 00:00:00",SubTask,0,0,0,0,Major,0,0,0,0,0,0,0,0,0.8181818181818182,0,0,215,9,21,120,274,207
JBADMCON-54,0,"2005-01-28 00:00:00",Task,0,0,0,0,Major,0,0,1,0,0,0,0,1,0.7368421052631579,0,0,7,10,73,55,223,303
JBADMCON-55,0,"2005-01-28 00:00:00",Task,0,0,0,0,Major,0,0,1,0,0,0,0,1,0.7368421052631579,0,0,7,1,93,43,278,364
JBNET-89,166,"2005-02-02 00:00:00",Task,0,0,0,0,Minor,0,0,0,0,0,0,0,0,0.8947368421052632,0,0,9,8,99,188,282,322
