issuekey,title,description,storypoint
TIMOB-8075,"Android: While debugger is running, cannot back out and go back into an app","If you debug an Android app, you can't back out of that app and go back into it.  It hangs then at the splash screen, and shows both ""Bad Socket"" and ""Connection Refused"" errors in logcat.    Logcat:    [https://gist.github.com/43b1285ca8743eaaf672]    Screencast:    [http://screencast.com/t/m0C2c9Ojxo]  ",2
TIMOB-559,"Android: Appversion never taken from tiapp.xml","I found this bug while I created new release for Android Market.    appversion is never changed from tiapp.xml file (version tag). I send you patch to correct this, to apply on 1.0.0/android/android.py",3
TIMOB-684,"Android: Border properties are broken for ImageView","{code}  // In Android, the border around the image is not visible  // I tried removing borderRadius property, but the issue still remains  // It works on iPhone though    var imageView = Titanium.UI.createImageView({      url: ""/path/to/image"",      width: 280,      height: 175,      borderWidth: 1,      borderColor: ""#ccc"",      borderRadius: 5  });    Titanium.UI.currentWindow.add(imageView);    // Workaround  // Wrap the image view in another view and set its border properties  // Set the width and height to be 2 pixels more than the width and height of the image view    var wrapperView = Titanium.UI.createView({      width: 282,      height: 177,      borderWidth: 1,      borderColor: ""#ccc"",      borderRadius: 5  });    var imageView = Titanium.UI.createImageView({      url: ""/path/to/image"",      width: 280,      height: 175  });    wrapperView.add(imageView);  Titanium.UI.currentWindow.add(wrapperView);  {code}",2
TIMOB-1097,"Android: Titlebar is displayed when fullscreen splash screen is used.","{html}<div><p>There are a couple of possibly related problems with trying to  run a fullscreen application in Android. The first is with the  splash screen. There should be a way to have the splash screen  display on the whole screen, but this is not the case despite the  tiapp.xml configuration in this screenshot which shows both the  emulator and the code:</p>  <p><a href=  ""http://skitch.com/kwhinnery/dgmps/fullscreen"">http://skitch.com/kwhinnery/dgmps/fullscreen</a></p>  <p>Also, once the app launches, you should be able to open a window  fullscreen with no title - this would be necessary for an app to go  totally fullscreen:</p>  <p><a href=  ""http://skitch.com/kwhinnery/dgmp7/fullscreen"">http://skitch.com/kwhinnery/dgmp7/fullscreen</a></p></div>{html}    h5. Test Code  {code} in theme.xml  <?xml version=""1.0"" encoding=""utf-8""?> <resources> <style name=""Theme.Titanium"" parent=""android:Theme.NoTitleBar.Fullscreen""> <item name=""android:windowBackground"">@drawable/background</item> </style> </resources>  {code}    h5. Expected behavior  The splash screen should be displayed full screen with no title bar    h5. Actual behavior  The title bar, is displayed. During build the theme.xml gets reset, causing the title bar to be displayed.  h5. Work-around    There is a workaround posted in community Q and A.  out one way to resolve this problem. 1) Create folders <your project>\platform\android\res\values (see KitchenSink folder structure) 2) Put in folder ""values"" the file theme.xml modifyed (i.e. )  ",2
TIMOB-1242,"iOS: Drag and drop map pin annotations","{html}<div><p>MKAnnotationView has support for allowing a map annotation to be  draggable (in iOS 4).<br>  Boolean property on Annotation object - draggable:true/false<br>  Add associated Events - e.g. DragStart &amp; DragEnd etc.</p></div>{html}",5
TIMOB-1800,"iOS: Analytics causes app crash when no network is available - iphone","{html}<div><p>A customer reports that if analytics is enabled and no network  (cell or wifi) causes a crash. I cannot reproduce this but at the  request of the customer I am logging this ticket so we can  investigate further.</p></div>{html}",2
TIMOB-1872,"Android: Fix AVD naming scheme","{html}<div><p>The current script for naming AVDs is based on the download order of the emulators. For instance if you download API 4 and API 8 and run the API 8 emulator. Then later you download the Google API emulator 4. It will launch the API 8 emulator.</p> <p>If possible, we should also try and detect that the problem exists in their environment and fix the AVDs name to the new solution based on the contents of the AVD configuration file.</p></div>{html}",2
TIMOB-1902,"iOS: Scrollview can scroll to much on ipad when keyboard is up","{html}<div><p>This can be recreated in KS Controls&gt;Text Field&gt;Border  Style.</p></div>{html}",1
TIMOB-2017,"Android: WebView No Longer Fires Click Event","{html}<div><p>Bill triaged the problem.</p> <p>In April you added this code to disallow registering for touch on the WebView:</p> <p><a href= ""http://github.com/appcelerator/titanium_mobile/commit/d47e4e06456d033af0eede50469633054bfc65cc#L1R149""> http://github.com/appcelerator/titanium_mobile/commit/d47e4e06456d0...</a></p> <p>I'm going to mark this as a regression since I didn't comment on the commit well enough to know if I disabled it on purpose. Will need to check interference with clickable items in a webview and scrolling.</p></div>{html}",1
TIMOB-2099,"Android: border properties broken for Label","{html}<div><p>Adding ""border:1, borderColor:'black'"" to a label works fine on  1.4.1 under iOS, but not on 1.4.2 under Android. Under android, the  entire label is blacked out, instead of a border being placed  around the label.</p></div>{html}",1
TIMOB-2122,"Android: Implement Video Recording",{html}{html},3
TIMOB-2209,"Android: Re-enable incremental build","Before all of our new changes for stylesheet and RA.java code generation we knew when new Java code was generated so we could skip the javac and dex parts of the APK building process. We need to go back through and make sure to only dex/javac when necessary.",3
TIMOB-2231,"iOS: Add the ability to add Vector Overlay on Maps","I couldn't find an existing ticket for this, but I remember it being mentioned somewhere before.    Would like to be able to draw vector shapes on top of a map with various colours / opacity / textures. Bonus points for code that assists with drawing and manipulating the vector with touch events, placing markers on the corners for resizing etc. Otherwise, at the very least some event triggering for clicking + interacting with the vector shape.    This adds a whole other dimension to mapping applications for plotting areas and recording information against these areas.",34
TIMOB-2363,"Android: Strip debugging symbols from JARs when building for production","It might be a good space saving measure to strip debugging symbols from our JARs when building apps for production mode. The biggest implication this has is not having line numbers in stack traces from production apps.",3
TIMOB-2484,"iOS: Httpclient ssl problem without different port","{html}<div><p>If I put a port 443 or a different one the connection does not  work</p></div>{html}",1
TIMOB-2527,"Android: App launch/build problem if ampersand in home folder name (windows)","http://developer.appcelerator.com/question/86611/ampersand-in-user-path-prevents-creation-of-avd-windows-vista    The user folder (C:\users...) for my profile contains an ampersand (C:\users\tom&amp;jerry\ - real names hidden). This is preventing Titanium from creating the Android AVDs needed to test apps, giving the following error:    [TRACE] Error: 'C:\Users\tom' is not recognized as a valid sdcard value. It looks like the command that creates the avd is stripping away part of the string when it tries  to create an avd. I've manage to track down a function 'create_avd' in 1.4.0/android/builder.py which I think may be the culprit, but I'm not sure where to go from there. The sdcard has been created, so the problem must be after that point.    There are a multitude of methods for renaming the user folder, none of which are straight forward (registry edits, etc.). I'm hoping someone can tell me a way of making Titanium function with this, albeit rare and idiotic, usage case.    Does anyone have any suggestions?",5
TIMOB-2646,"Android: Support passing customized launch params to Android emulator","Developers would like to have the ability to add custom launch parameters to the android emulator such as setting a HTTP proxy.      Here is one example of the parameters they would like to be able to include:  {code}    # start the emulator          emulator_cmd = [              self.sdk.get_emulator(),              '-avd',              avd_name,              '-port',              '5560',              '-sdcard',              self.sdcard,              '-logcat',              ""'*:d *'"",              '-no-boot-anim',  #           '-http-proxy',  #           'http://127.0.0.1:8888',              '-partition-size',              '128' # in between nexusone and droid          ]  {code}    Reference HD Tickets:   http://appc.me/c/APP-364571  http://appc.me/c/EPH-39417-198",3
