issuekey,title,description,storypoint
DLP-10,"Commissioning-ready Data Provenance System","Provenance System that can be connected with DRP and handle DRP-related provenance.",NULL
DLP-100,"Consistent multi-band deblending available","Per LDM-151 §5.3.2.2, it is a requirement that the deblender produce consistent results across multiple coadds and bands.    In this milestone we do not require a deblender which is capable of simultaneously processing multiple coadds. Rather, we require stack infrastructure such that consistent results may be achieved while deblending multiple bands in parallel using the single-epoch deblender. This requirement is satisfied by the [multi-band coadd processing workflow|https://confluence.lsstcorp.org/display/DM/S15+Multi-Band+Coadd+Processing+Prototype].",NULL
DLP-101,"Prototype detection on coadds available","Per LDM-151 §5.3.2.1, it is possible to detect objects on coadds. Multiple agent peaks are detected and merged ('culled') to reduce spurious detections due to noise or substructure.    Object detection is supported on the full range of coadds currently produced by the Image Coaddition Pipeline.    This milestone covers the state of object detection at the completion of the merger of the HSC codebase.",NULL
DLP-103,"Prototype multi-coadd peak association available","Per LDM-151 §5.3.2.1, it is possible to associated peaks and merge footprints detected on different coadds -- including in different bands -- to construct a unified set of footprints with associated peaks.    This is essential to the [multi-band coadd processing schema|https://confluence.lsstcorp.org/display/DM/S15+Multi-Band+Coadd+Processing+Prototype].",NULL
DLP-105,"Crowded field deblender available","Following the approach described in LDM-151 §5.3.2.2, the deblender has been extended to work in crowded fields by applying appropriate priors to the templates.",NULL
DLP-106,"Crowded field deblender","Deblending functionality available when PSFs substantially overlap over the field.    PSF determination gets harder in crowded fields, so we'll need to find a way to bootstrap that.    We'll need some way to divide-and-conquer extremely large blends (this will be necessary sometimes even in non-crowded fields to keep memory use bounded).  * Try to identify ""isthmuses""?  * Something based on sparse matrix diagonalization algorithms?",NULL
DLP-107,"Complete object detection on coadds","Develop a fully-functional detection system based on the HSC prototype.  ",NULL
DLP-108,"Final version of object detection on coadds available","Per LDM-151 §5.3.2.1, object detection is performed on a range of different types of coadd. Per this milestone, the production-quality detection system is in place in terms of selecting the coadds to be used, the thresholds adopted, binning strategy (NB LDM-151 requires recursive binning to detect extended objects), etc.",NULL
DLP-109,"Complete multi-coadd peak association","Building upon the work in DLP-104, develop the final peak & footprint association routines.    Note that we assume that detailed understanding of the coadds used in detection is required here, since the peak association requirements may vary with e.g. the binning strategy, and hence being blocked by DLP-108.",NULL
DLP-11,"Commissioning-ready AP/L1 Database","Commissioning-ready database that be capable of supporting Alert Production and L1 user analysis. Robust, including recovery from failures. Details of AP/L1 database are discussed in §3.1 of [LDM-135|http://ls.st/LDM-135*].",NULL
