issuekey,title,description,storypoint
MDL-1626,"Forum: Per-discussion subscription","I am finding that my inbox is absolutely flooded with unwanted moodle mails off the forum script. This is very annoying and I know it will similarly annoy my users. In fact it will put them off the system.    The problem arises because unlike other discussion boards moodle messages are emailed to me from the entire forum, not just the thread I have started or responded to. The overwhelming of people's inboxes is a serious business: it could be said that moodle is generating spam because the email feature is so unfocused.    Is there any chance this is going to be improved please?",100
MDL-3714,"Forum: Reply by e-mail","How about the ability to post to the forums via email?",100
MDL-5583,"allow teachers to specify certain fields in database activity as required","When creating a database, allow the teacher to specify whether a field must be filled in or not.",20
MDL-8501,"Forum: proceed to next thread link","Please put a link to jump to the next thread in the forum interface... Forums are very cool but the evaluation process is time consuming and, for a teacher, time is everything when evaluating 100s of students...  ",20
MDL-10115,"A use profile's course list is arbitarily limited with no way of seeing complete list","When viewing a user's profile, if the list of their courses exceeds 21 (I think) an ellipsis is displayed. This seems a bit useless because... a) You can't click on the ellipsis to see the rest of the courses b) The list isn't even in alphabetic order so it becomes even more arbitrary c) the ellipsis is easy to miss, so you may not realise the list is truncated  Suggest either making this work properly, i.e., the ellipsis is clickable OR if the list is not considered important just put ""too many courses to show"" if it exceeds a certain amount. It would seem sensible to display them in alphabetic order too.  Without this it is difficult for an administrator to see all the courses a user is in if (for example) checking role assignments.",13
MDL-12403,"backup or import of single quiz includes all questions in database","When making a backup of individual quizzes, no matter how many (or how few) quizzes I back up, the backup includes all questions from the question bank, not only those used in the quiz which I'm backing up. So, in an extreme case, if I back up a single quiz, and then restore it to another course, I unintentionally transfer hundreds of questions along with this quiz.    The same happens when importing a quiz to another course.",100
MDL-13114,"Include bulk course create and remove with Moodle through the use of CSV files","We're looking to Moodle for a replacement to Blackboard Enterprise.  In order for Moodle to be a viable replacement we need a way to bulk create and delete courses based on CSV files.  The bulk create courses is handled by use of a 3rd party module (uploadcourse.php created by Rory Allford).  However once we import say 700+ courses there's no way to them bulk remove them at the end of a semester (removing 1 by 1 would be too time consuming).  We would really prefer that this functionality be included within Moodle, as relying on 3rd party modules (no matter how good they are), inherits a risk if the module stops getting updated.",100
MDL-16073,"Add ""test database setup"" to the ""External Database"" enrollment and authentication plugins","It is hard to test whether the administrative panel for External Database Authentication and for External Database Enrollment is configured correctly. Currently, you have to create fake user accounts or similar, and try to authenticate them or enroll them and see if they receive email, etc. (At least, that's how I tested it! Does someone have a better way?)    It woule be nice to have a ""Test Connection"" button on that page which goes through and makes sure all the db info (username, password, connection, etc.) and data mapping is correct. AND prints out all this stuff to the screen in an easy-to-read report.    Thank you!",4
MDL-16474,"Allow single-item scales","The single-item scale, ""Useful"", used on moodle.org is in demand! See http://moodle.org/mod/forum/discuss.php?d=105515    Currently only scales of 2 or more items may be created.",8
MDL-16982,"Adding data mapping for custom user fields","I'd like having the possibility to add data mapping for custom user fields when I use LDAP or DB auth modules",40
MDL-17081,"Implement import/export ""Permissions"" settings for ""Manage roles"" tab","Suggest to implement ""import / export"" settings for the role ""permissions"". See the two proposed solutions (probably only one need to be implemented)... This is particularly useful for larger ""enterprise-level"" moodle implementation as we often have staging, testing, and development moodle installations and if we have customized role settings, it is a pain in the butt to manually change all of them one by one (it's a long list of the ""Permissions"" for all the newly deployed moodle instances. Thanks!",20
