issuekey,title,description,storypoint
TDQ-249,"SQL Server Single Sign On Support doesn't work in data profiler repository connections","In the data profiler perspective, you can't use the Single Sign on libraries to connect to SQL Server, even if the library is loaded.  We've used the Single Sign On capabilities in the job designer and haven't had any issues running jobs, using the data viewer, etc; however, when you switch to the data profiler, the connection returns that the library isn't loaded, and to check the java.library.path system property - which has the values appropriate for the library.  Everyone has installed the dll from the jtds project in their library paths.",3
TDQ-309,"Remove two columns in frequency tables","in the ""b01_column_basic.jrxml"" report, frequency tables must not have the following columns:   ""INDICATOR OK"" and ""INDICATOR PERC OK""    See screenshot.     TODO: remove these columns in all kind of frequency table.",8
TDQ-2018,"Connection analysis : information_schema","When you create an connection analysis on mysql, you can retrieve informations from all databases except information_schema where data are 0 or NaN.    But i have tables and data in this schema",5
TDQ-2699,"multiple analysis indicators are ""grayed out"" and cannot be used","When attempting to analyze DB2 table columns, not all analysis indicators are available",3
TDQ-1816,"""View invalid rows"" menu does not display on a table analysis (with DQ Rule)","If the DQ Rule has a ""join condition"", it is impossible to view the ""invalid rows"" from the analysis results: the option is not displayed.    See the screen captures.",8
TDQ-2350,"Hide MDM connection in the Data Explorer perspective","I have a MDM connection in my DQ repository and a Mysql connection.  When I switch to the Data explorer perspective and try to open a ""new SQL Editor"", I got the exception shown in the screen capture. ""c"" is an MDM connection.      We should hide MDM connection from the Data Explorer perspective.",3
TDQ-2045,"Reload database list on MDM connection doesn't work","""Reload database list"" action on MDM connection doesn't work.",20
TDQ-616,"list of patterns does not display folders","See bug:10936  It is working correctly in 4.0.0M3 but it's not working in 4.0.0.",3
TDQ-655,"Improve the error message when I declare the Data Profiler reporting DB","If I declare a DB into preferences on Data Profiler reporting I have an error with no message.    (with no grant access on the user).    Is it possible to add a better message than this picture ?",5
TDQ-1901,"Import Oracle synonyms in to Metadata","Hi,  Request you to include the feature to import Synonyms from Oracle database along with Tables and views in to the Metadata Tree under DB Connections and then be able to create and run analysis on the Synonym.  Thanks,  Chandana Busetty",40
