issuekey,title,description,storypoint
BAM-65,"Allows CVS repo to timeout and report on locking issues","Sometimes, when you perform a CVS action you get something like    {noformat}  cvs update: [01:38:32] waiting for mchai's lock in /cvsroot/atlassian/maven2test/bamboo  {noformat}    so Bamboo would probably just hang and become not so happy. We should allow Bamboo to timeout, or conditionally stop and tell the user how to dix the problem",3
BAM-932,"allow a build to be placed at the head of the build queue... (or edit the queue order)",NULL,2
BAM-3476,"Result not saved when checkout fails","Happened yesterday on our hosted bamboo: https://gdansk.bamboo2.atlassian.com/browse/INT-TST  Bamboo was upgraded from 2.0.5 to 2.15    I had build log messages like:  {noformat}  29-Jan-2009 03:12:23 	Build INT-TST-1067 started building on agent Default Agent  29-Jan-2009 03:12:23 	Updating source code to revision: 26986  29-Jan-2009 03:12:23 	Source found at  '/opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST'. Updating source...  29-Jan-2009 03:12:24 	          /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST/src/test/java/com/atlassian/theplugin/idea  29-Jan-2009 03:12:24 	          /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST/src/test/java/com/atlassian/theplugin  29-Jan-2009 03:12:24 	          /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST/src/test/java/com/atlassian  29-Jan-2009 03:12:24 	          /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST/src/test/java/com  29-Jan-2009 03:12:24 	          /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST/src/test/java  29-Jan-2009 03:12:24 	          /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST/src/test  29-Jan-2009 03:12:24 	          /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST/src/main/java/com/atlassian/theplugin/idea/jira  29-Jan-2009 03:12:24 	          /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST/src/main/java/com/atlassian/theplugin/idea/crucible/tree  29-Jan-2009 03:12:24 	U         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST/src/main/java/com/atlassian/theplugin/idea/crucible/editor/OpenDiffToolAction.java  29-Jan-2009 03:12:24 	U         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST/src/main/java/com/atlassian/theplugin/idea/crucible/editor/CrucibleEditorFactoryListener.java  29-Jan-2009 03:12:25 	Error occurred while executing the build for INT-TST-1067 : Unable to retrieve source code to '26986' for 'INT-TST'  29-Jan-2009 03:15:23 	Change detection found 11 changes  29-Jan-2009 03:15:23 	Build INT-TST-1068 started building on agent Default Agent  {noformat}    {noformat}  29-Jan-2009 03:30:13  	Build INT-TST2-1 started building on agent Default Agent  29-Jan-2009 03:30:13 	Updating source code to latest  29-Jan-2009 03:30:13 	Working directory '/opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST2' is empty. Checking out SVN URL 'https://studio.atlassian.com/svn/PL/trunk/atlassian-intellij-connector'  29-Jan-2009 03:30:15 	U         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST2/LICENSE  29-Jan-2009 03:30:15 	U         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST2/atlassian-idea-plugin.ipr  29-Jan-2009 03:30:15 	A         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST2/doc  29-Jan-2009 03:30:16 	Error occurred while executing the build for INT-TST2-1 : Failed to checkout source code to revision 'HEAD' for https://studio.atlassian.com/svn/PL/trunk/atlassian-intellij-connector  29-Jan-2009 03:34:06 	Manual build triggered by wseliga  29-Jan-2009 03:34:06 	Build INT-TST2-2 started building on agent Default Agent  29-Jan-2009 03:34:06 	Updating source code to latest  29-Jan-2009 03:34:06 	Source found at  '/opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST2'. Updating source...  29-Jan-2009 03:34:09 	D         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST2/doc  29-Jan-2009 03:34:09 	A         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST2/src  29-Jan-2009 03:34:09 	A         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST2/src/test  29-Jan-2009 03:34:09 	A         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST2/src/test/java  29-Jan-2009 03:34:09 	A         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST2/src/test/java/docs  29-Jan-2009 03:34:09 	A         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST2/src/test/java/com  29-Jan-2009 03:34:09 	A         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST2/src/test/java/com/atlassian  29-Jan-2009 03:34:09 	A         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST2/src/test/java/com/atlassian/theplugin  29-Jan-2009 03:34:09 	A         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST2/src/test/java/com/atlassian/theplugin/bamboo  29-Jan-2009 03:34:09 	A         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST2/src/test/java/com/atlassian/theplugin/bamboo/api  29-Jan-2009 03:34:09 	A         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST2/src/test/java/com/atlassian/theplugin/idea  29-Jan-2009 03:34:09 	U         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST2/src/test/java/com/atlassian/theplugin/idea/GenericServerConfigurationFormTest.java  29-Jan-2009 03:34:09 	A         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-TST2/src/test/java/com/atlassian/theplugin/idea/bamboo  29-Jan-2009 03:34:10 	Error occurred while executing the build for INT-TST2-2 : Unable to retrieve source code to 'null' for 'INT-TST2  {noformat}    or    {noformat}  	U         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-CS/src/main/java/com/atlassian/theplugin/idea/crucible/CrucibleRevisionsNumber.java  29-Jan-2009 03:37:10 	U         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-CS/src/main/java/com/atlassian/theplugin/idea/crucible/tree/ReviewItemTreePanel.java  29-Jan-2009 03:37:10 	          /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-CS/src/main/java/com/atlassian/theplugin/idea/crucible/tree  29-Jan-2009 03:37:10 	U         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-CS/src/main/java/com/atlassian/theplugin/idea/crucible/CrucibleCreatePostCommitReviewForm.java  29-Jan-2009 03:37:10 	D         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-CS/src/main/java/com/atlassian/theplugin/idea/crucible/editor/EditorDiffActionImpl.java  29-Jan-2009 03:37:10 	D         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-CS/src/main/java/com/atlassian/theplugin/idea/crucible/editor/EditorUpdateDiffActionImpl.java  29-Jan-2009 03:37:11 	Error occurred while executing the build for INT-CS-1177 : Unable to retrieve source code to '26987' for 'INT-CS'  29-Jan-2009 03:38:20 	Purging the checked out code from ""/opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo-2.0.2-attempt/xml-data/build-dir/INT-CS""  29-Jan-2009 03:38:30 	Manual build triggered by wseliga  29-Jan-2009 03:38:30 	Build INT-CS-1178 started building on agent Default Agent  29-Jan-2009 03:38:30 	Updating source code to revision: 26987  {noformat}    However executing svn co from command line on exactly the same host where Bamboo was installed (with the same credentials even) worked fine.    There were two problems:  * Bamboo did bump up build number and this build failed, but nowhere it was really shown. I.e. on dashboard (and via remote API) I still got last build as successful. And although my build number (in above logs) was now greater than 1000, Bamboo claimed on dashboard and via API that the last build is e.g. 500 (which happened to be the last one before these problems started)  * Cleaning working dir or full checkout did not help  * I solved this problem by full clean and using anonymous SVN access or my private account. Only then Bamboo finally showed new build on dashboard (with number > 1000) and its real status.    I suspect the problem may be also somehow connected to our SVN server which could have applied some security policies to avoid DOS attacks from Bamboo (Bamboo every 3 minutes - above 500 hundred times) was trying to checkout from svn the sources without success.  ",2
BAM-3612,"Talkback from elastic agent to bamboo server to include EBS volume mount results","When an elastic instance/agent is configured to mount a ebs volume containing a snapshot during startup the progress/success/fail should be fed back to bamboo server for display.  the log in /tmp/setupEbsSnapshot.log could be used to process progress and results.",2
BAM-3616,"Users can see the maven module (groupid, artifactid, version) against each plan.","* Should respect the sub-working directory. Only look for poms under the sub-working directory  * Only read top level pom for modules  * Pom is read only when building.  * This is only read only  * Each plan may have multiple artifacts",5
BAM-3620,"PostBuildProcessor plugin to kick off the Maven pom.xml parsing","Consider running on remote agents.  Can functional test the PostBuilderProcessor plugin behavior.  ",2
BAM-3621,"Get Bamboo functional tests passing in the cloud",NULL,5
BAM-3626,"Allow gadget server plugin to be incorporated into Bamboo.","Does not include OAuth, nor SAL  Read this for more details:  http://extranet.atlassian.com/display/BAMBOO/Plugins+2+Estimate  ",5
BAM-3631,"Implement SAL part 1","The goal was Goal to get 100% compatible with the SAL compatibility kit however we are only tackling a subset of SAL implementation.  We should figure how much of the compatibility kit we are targeting.    NOTE - I changed this from 8 storypoints to 5 given that we are not tackling all of SAL.  ",5
BAM-3633,"Implement SAL part 2","This is the remaining work for SAL.  See BAM-3631 for part 1.",8
