issuekey,title,description,storypoint
DURACLOUD-4,"Document logging framework","Store-client: Whenever used, creates a c:/ directory and several directories underneath it to store its log files.  Sending logs to STDOUT by default and/or having a documented way to changes this would be good.",1
DURACLOUD-10,"Allow for simple updating of project version numbers","It should be easy/simple to update the version number of all parts of the baseline for each release.",3
DURACLOUD-19,"Bulk load: Verify successful DuraCloud ingest of 10TB of BHL content",NULL,16
DURACLOUD-21,"JPEG2K: Image conversion service","Service wrapper and service to perform conversion of images from TIFF to JPEG2K.",8
DURACLOUD-22,"JPEG2K: Image server service","Service wrapper and service to serve JPEG2K images.",5
DURACLOUD-23,"JPEG2K: Image viewer service","Service wrapper and service to display JPEG2K images.",3
DURACLOUD-25,"Messaging: Add support for all DuraStore methods","Add messaging support for all methods available through the DuraStore REST API. Define an appropriate topic heirarchy.  Example Uses: - allows for a greater degree of replication filtering - allows for replication on update/delete - allows for creation of a provenance service ",3
DURACLOUD-28,"Replication: handle replication on update/delete ",NULL,3
DURACLOUD-29,"Replication: bulk from existing store to new/empty store ","Handles the replication of content from an existing store/space into a new store/space. This allows for starting up a new replicated store.",7
DURACLOUD-38,"Security: Add application security (basic auth)",NULL,13
DURACLOUD-39,"Indexing service for space/content properties/tags (Search) ","This includes listening for changes to spaces/content and making the calls to have the information included in the search engine index. Note that there needs to be a search engine started and available for this to work.  Prior to working this task, a choice will need to be made as to the indexing tools used. The most likely candidates are AWS CloudSearch (http://aws.amazon.com/cloudsearch) and Apache Solr (http://lucene.apache.org/solr/. Various comparisons (http://harish11g.blogspot.in/2012/12/amazon-cloudsearch-vs-apache-solr.html) can be found to assist in this selection.  This task does not include updates to the UI or REST API to support users querying the index.  ",8
DURACLOUD-41,"Integrity: check on demand (rely on DuraCloud generated hashes) ","Should allow for after-ingest checksum validation. Test case: use to validate a replicated content store.",13
DURACLOUD-60,"Allow expected checksum value to be included when adding a content item","Update the DuraStore REST API call for storing a content item to allow for including an MD5 checksum value which is compared with the stored file's checksum to ensure that the file was received correctly.",2
DURACLOUD-61,"Handle files larger than 5GB","Amazon S3 limits files size to 5GB, but many of our customers will want to store files larger than this. DuraStore should facilitate this by handling the chunking of large files into smaller files during transfer. Files will need to be stitched back together on download as well. Ideally this will all be transparent to the user, even as far as multiple files appearing as one in the space listing (with the proper total file size.)  ",3
DURACLOUD-62,"Enable Pax-logging","As the use of the OSGi container and PAX-tooling increases, it is important that the container enables the configuration of bundle-level logging.  Resources: http://ekkescorner.wordpress.com/2009/09/03/osgi-logging-part-2-logservices-vs-classic-logger/ http://fedora-commons.org/jira/browse/FCREPO-630",2
DURACLOUD-63,"Production AMI continuous integration testing","A suite of automated tests should be created to run on a schedule that: - start instances of production AMIs - check the tabs/fields/buttons of duradmin - start/verify each service - verify content actions ",5
DURACLOUD-64,"Update the development AMI","Update the tomcat user in the development AMI to allow calling of apt-get via sudo with no password. Steps: - call 'visudo' - add this line to the end of the file: tomcat  ALL=NOPASSWD:/usr/bin/apt-get  Also, add any necessary SystemProperties for enabling servicesutil to initialize $bundle.home  ",1
DURACLOUD-65,"Create utility for durastore & duraservice initialization",NULL,1
DURACLOUD-66,"Initialize servicesadmin $bundle.home at runtime","Currently $bundle.home is a buildtime configuration item. Since the deployment machine will likely have a different setup than any particular build machine, it would be useful to allow $bundle.home to be set at runtime. Note: this has been avoided in the past by building the deployed projects on the deployment machine.  Solutions may potentially be: - initialize from REST call - initialize from ~/file baked into AMI - initialize from System property (most tempting)",1
DURACLOUD-68,"Integrate j2k viewer with duradmin content browse","Although the j2k viewer is currently enabled, it needs to be tied to the duradmin content browse in order to be useful for jpeg2000 content.",3
