issuekey,title,description,storypoint
MULE-6432,"Implement true multicast functionality for <all> processor","Currently <all> processes messages sequentially. It could be an issue if message processors inside <all> take long time to respond (e.g. multiple request-response endpoints). We discussed it with MikeS and agreed that the behavior should be configurable (e.g. <all multicast=""true"">) - if set to true, <all> will spawn multiple threads inside. If one of the MPs inside <all> throws an Exception, it should return MuleExceptionMessage which should be included in the response collection, then Exception Strategy should be invoked.  ",8
MULE-5990,"Does Mule support XA transaction on XA resources used by a Spring object component ?","As you should know, a common use case is the bridge pattern :  * read a message from an inbound endpoint (from a JMS queue or/and a database through JDBC).  * writing the message to an outbound endpoint (to a JMS queue or/and a database through JDBC).    {code:xml}     <service name=""myBridgeService"">       <inbound>         <jms:inbound-endpoint queue=""/queue/inbox""/>       </inbound>       <outbound>         <multicasting-router>           <jms:outbound-endpoint queue=""/queue/outbox"" />           <jdbc:outbound-endpoint queryKey=""insertMessageStmt"" />         </multicasting-router>       </outbound>     </service>  {code}     What happens then if something goes wrong when writing the result to the outbound endpoint (eg. jdbc endpoint)? If you don't use XA Transaction on inbound and outbound endpoints, the message will not be rollbacked to the inbound endpoint in case of an Exception. So you will have to solve this issue by configuring <xa-transaction> on each endpoint with the appropriate transaction strategy.     {code:xml}     <service name=""myBridgeService"">       <inbound>         <jms:inbound-endpoint queue=""/queue/inbox"">           <xa-transaction action=""ALWAYS_BEGIN"" />         </jms:inbound-endpoint>       </inbound>       <outbound>         <multicasting-router>           <jms:outbound-endpoint queue=""/queue/outbox"">             <xa-transaction action=""ALWAYS_JOIN"" />           </jms:outbound-endpoint>           <jdbc:outbound-endpoint queryKey=""insertMessageStmt"">             <xa-transaction action=""ALWAYS_JOIN"" />           </jdbc:outbound-endpoint>         </multicasting-router>       </outbound>     </service>  {code}     But what happens now if you have a component between inbound and outbound enpoints ?    {code:xml}    <service name=""myDaoService"">      <inbound>        <jms:inbound-endpoint queue=""/queue/inbox"">          <xa-transaction action=""ALWAYS_BEGIN"" />        </jms:inbound-endpoint>      </inbound>      <component>        <spring-object bean=""messageDao"" />      </component>      <outbound>        <multicasting-router>          <jms:outbound-endpoint queue=""/queue/outbox"">            <xa-transaction action=""ALWAYS_JOIN"" />          </jms:outbound-endpoint>          <jdbc:outbound-endpoint queryKey=""insertMessageStmt"">            <xa-transaction action=""ALWAYS_JOIN"" />          </jdbc:outbound-endpoint>        </multicasting-router>      </outbound>    </service>  {code}    In most cases, the Spring object component (eg. messsageDao) will execute complicated business operations (from a currently existing business API) and also use a DataSource to execute several SQL select and update statements before returning a result to the outbound. These JDBC operations will be handled likely by Spring JdbcTemplate or even HibernateTemplate.    As far as I understand, Mule is fully responsible to handle enlistment/delistment and close of XA resources (see _org.mule.transaction.XaTransaction_). So by default, XA resources used by a Spring object component will not be handled by Mule and will not participate in the XA transaction started from Mule.    For completeness... I've also found a unit test for this usecase in Mule distribution under MULE_HOME/src/mule-3.1.2-src.zip/org/mule/test/integration/transaction/XATransactionsWithSpringDAO.java. When you execute this test, you will have a successful result but the XA resource used by the dao bean is not enlisted nor delisted in/from the transaction started from Mule. ",8
MULE-6087,"Include validation module in Mule core distribution","Emiliano created a validation module, something that's missing inside mule.    Validation module support built-in validators. Also it supports different types of exceptions for each validation allowing to generate a different response for each kind of exception.    Module: http://mulesoft.github.com/mule-module-validation/    ",8
MULE-6118,"until-successful should set exception payload with last exception received before sending to DLQ","The title says it all...  See this thread for discussions: http://forum.mulesoft.org/mulesoft/topics/until_successful_exceptions_handling  Deprecate DLQ (includes doc changes)",5
MULE-6145,"until-successful should support synchronous use cases","Imagine a simple synchronous HTTP proxy use case, e.g.:    <flow>      <http:inbound-endpoint.../>      <http:outbound-endpoint.../>  </flow>    If outbound endpoint is wrapped in until-successful, the flow won't work anymore. until-successful must support synchronous scenarios as well.",8
MULE-6172,"Upgrade apache-commons-pool","Since error handling in current version of Apache commons-pool is buggy (borrowConnection method throws a NoSuchElementException losing the original cause) we may need to update the library. Version 1.6 DOES NOT fix the issue. However, current code in trunk tackles the issue (we'll have to wait for a new release).     ",3
MULE-6251,"Add a default object store for non internal usages","Current version provides object stores default (persistent/in memory) to use while processing events internally but there is no object store which could be used by users as default.",3
MULE-6355,"soapVersion ignored on CXF proxy","Invoking this proxy with a Soap 1.2 message fails with a WARNing in the logs and a SOAP fault for the caller:    {code:xml}  <soap:Envelope xmlns:soap=""http://www.w3.org/2003/05/soap-envelope"">     <soap:Body>        <soap:Fault>           <faultcode xmlns:ns1=""http://schemas.xmlsoap.org/soap/envelope/"">ns1:VersionMismatch</faultcode>           <faultstring>A SOAP 1.2 message is not valid when sent to a SOAP 1.1 only endpoint.</faultstring>        </soap:Fault>     </soap:Body>  </soap:Envelope>  {code}    NB. Removing the soapVersion attribute and invoking the same proxy with a SOAP 1.1 message works with intense happiness.",8
MULE-6367,"FTP Inbound endpoint fails when reading empty file","Put an empty file into FTP inbound path",5
MULE-6386,"Outbound endpoint with scheduled dispatch job delivers messages again and again","If you send test messages to vm://test.in (say every second with a different payload for ex 1 2 3 ...) you'll notice that what's delivered to vm://accumulatedMessageHandler is:    {{1 2 3 4 5}}    then    {{1 2 3 4 5 6 7 8 9 10}}    then    {{1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16}}    (in a random order but the idea is here)",5
