issuekey,storypoint,context,codesnippet,Bug,Improvement,New Feature,Story,Task, Acegi, PGP, SXC, WS-Security), XPath, XSLT,Batch,Build: (other),Build: Distributions,Build: Integration Tests,Build: Libraries / Dependencies,Build: Maven,Core: (other),Core: API,Core: Bootstrap / Standalone,Core: Components,Core: Concurrency / Threading,Core: Configuration,Core: Containers,Core: Deployment,Core: Domains shared resources,Core: Endpoints,Core: Event/Message,Core: Exception Handling,Core: Expressions,Core: Flow,Core: Lifecycle,Core: Logging,Core: Non-Blocking,Core: Properties,Core: Queues (SEDA) / Persistence,Core: Registry,Core: Routing / Filters,Core: Services,Core: Sessions,Core: Streaming,Core: Transactions,Core: Transformers,Core: Transports,Core: Watermark,Documentation / Website,Examples / Tutorials,Extensions,Extensions API,Modules: (other),Modules: CXF,Modules: Database,Modules: Devkit Support,Modules: HTTP,Modules: JSON,Modules: Jersey,Modules: Management / JMX,Modules: Scripting,Modules: Security (Spring Security,Modules: Spring,Modules: Validators,Modules: WS Consumer,Modules: XA Transactions,Modules: XML,Schema,Tools,Transport: Axis,Transport: Email,Transport: FTP / SFTP,Transport: File,Transport: HTTP(S) / Jetty,Transport: JDBC,Transport: JMS,Transport: TCP / UDP / SSL / Multicast,Transport: VM,Transport: XMPP (Jabber),e: DataSense,sdk
MULE-5382,0.0,"XSL Transformation fails with xsl:result-document on repeated transformations xsl:result-document outputs a file to the configured href.  

The first time the transformation of a particular file is carried out it succeeds, after that it fails with the following error.

""Cannot write more than one result document to the same URI, or write to a URI
  that has been read:""

In my particular set-up, Mule is listening on a particular directory. When a file is dropped in that directory the transformation is applied.  When I drop the same file a second (or third etc.) time I see this error.

It seems probably that the issue is because the transformer is not getting reset after each transformation.  In the XsltTransformer file (v2.2.1), I added the line transformer.reset(); (after transformer.clearParameters();) and that seemed to resolve the issue.",,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MULE-6087,8.0,"Include validation module in Mule core distribution Emiliano created a validation module, something that's missing inside mule.

Validation module support built-in validators. Also it supports different types of exceptions for each validation allowing to generate a different response for each kind of exception.

Module: http://mulesoft.github.com/mule-module-validation/

",,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MULE-6251,3.0,Add a default object store for non internal usages Current version provides object stores default (persistent/in memory) to use while processing events internally but there is no object store which could be used by users as default.,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MULE-6367,5.0,FTP Inbound endpoint fails when reading empty file Put an empty file into FTP inbound path,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MULE-6417,0.0,"/ by zero in ComponentStatistics Recently I have been querying JMX statistics periodically via the MXBean interface (domain=Mule.*, type=org.mule.Statistics). After collecting statistics for each MBean, I reset the bean by invoking ""clearStatistics"" with no arguments, so that I can come back and collect fresh statistics later.

Howeven, when I do this while mule is under load, I see that the ComponentStatistics class starts to throw an exception on a divide-by-zero error. It tends to happen on multiple processor threads, and it seems to be a persistent issue - i.e. it throws the error every few seconds until I restart mule. I am uncertain if a message is trapped in limbo due to the repeated exception, but I think it may be as the message seems to repeat over and over again.

ERROR org.mule.exception.DefaultMessagingExceptionStrategy - Caught exception in Exception Strategy: / by zero
java.lang.ArithmeticException: / by zero
        at org.mule.management.stats.ComponentStatistics.addExecutionBranchTime(ComponentStatistics.java:163)
        at org.mule.management.stats.FlowConstructStatistics.addFlowExecutionBranchTime(FlowConstructStatistics.java:110)
        at org.mule.management.stats.ProcessingTime.addFlowExecutionBranchTime(ProcessingTime.java:95)
        at org.mule.interceptor.ProcessingTimeInterceptor.last(ProcessingTimeInterceptor.java:53)
        at org.mule.interceptor.AbstractEnvelopeInterceptor.process(AbstractEnvelopeInterceptor.java:61)
        at org.mule.processor.AsyncInterceptingMessageProcessor.processNextTimed(AsyncInterceptingMessageProcessor.java:111)
        at org.mule.processor.AsyncInterceptingMessageProcessor$AsyncMessageProcessorWorker.doRun(AsyncInterceptingMessageProcessor.java:158)
        at org.mule.work.AbstractMuleEventWork.run(AbstractMuleEventWork.java:43)
        at org.mule.work.WorkerContext.run(WorkerContext.java:310)
        at java.util.concurrent.ThreadPoolExecutor$CallerRunsPolicy.rejectedExecution(ThreadPoolExecutor.java:1746)
        at java.util.concurrent.ThreadPoolExecutor.reject(ThreadPoolExecutor.java:767)
        at java.util.concurrent.ThreadPoolExecutor.execute(ThreadPoolExecutor.java:658)
        at org.mule.work.ScheduleWorkExecutor.doExecute(ScheduleWorkExecutor.java:41)
        at org.mule.work.MuleWorkManager.executeWork(MuleWorkManager.java:250)
        at org.mule.work.MuleWorkManager.scheduleWork(MuleWorkManager.java:218)
        at org.mule.processor.SedaStageInterceptingMessageProcessor.run(SedaStageInterceptingMessageProcessor.java:233)
        at org.mule.work.WorkerContext.run(WorkerContext.java:310)
        at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:886)
        at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:908)
        at java.lang.Thread.run(Thread.java:662)
",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MULE-6441,5.0,"Inconsistent behaviour of foreach with inside flowvar The index of the foreach inside the flow of the flowref is not consistent.
It seems that there is a lack of atomicity with the invocation variables causing as a result jump of indexes of the iteration and overwrite of invocation variables.

In the example below my payload is the result of a sql query so an ArrayList<caseinsensitivehashmap>. I save the value of each row in a flow variable to make it always available in next operations (the original project has more flowRef).
The problem comes out because in the contained flow accessed by the flowRef, the invocation variable carrying the index of the iteration and also the name of the element that I saved is not consistent during each iteration. Sometimes some idexes are jumped and also the element of my array tooks more time the same value.</caseinsensitivehashmap>",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MULE-6468,8.0,"Messages generated from http-messages.properties should be escaped when returned to the client as http response Currently if you send the the following http request:

","<code>
GET /unionstation/ens/form HTTP/1.1 
Accept: */* 
Accept-Language: en-us 
UA-CPU: x86 
User-Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322) 
Host: staging-unionstation.optuminsight.com 
Authorization: <script>alert(88585)</script> 
Pragma: no-cache 
Referer: https://staging-unionstation.optuminsight.com:443/unionstation/ens/form 
X-Scan-Memo: Category=""Audit""; Function=""createStateRequestFromAttackDefinition""; 
SID=""CF1B85D9856FC7300BE04E08AE969344""; PSID=""1D12AD7B110413DEBB8E6634539F76CF""; 
SessionType=""AuditAttack""; CrawlType=""None""; AttackType=""HeaderParamManipulation""; OriginatingEngineID=""1354e211- 
9d7d-4cc1-80e6-4de3fd128002""; AttackSequence=""3""; AttackParamDesc=""Authorization""; AttackParamIndex=""6""; 
AttackParamSubIndex=""0""; CheckId=""(null)""; Engine=""Cross+Site+Scripting""; Retry=""False""; 
SmartMode=""NonServerSpecificOnly""; AttackString=""%3csCrIpT%3ealert(88585)%3c%2fsCrIpT%3e""; 
AttackStringProps=""Attack""; 
Connection: Keep-Alive 
Cookie: CustomCookie=WebInspect76158ZX7B636566555940D48015FD4B8FB9C0F6Y76AF 
UnitedHealth Group 5Report Date: 9/28/2012 Vulnerability (Legacy) 
<code>

you will receive the following response:

<code>
HTTP/1.1 403 Forbidden 
Date: Thu, 27 Sep 2012 07:55:26 GMT 
Server: Mule Core/3.3.0 
http.status: 403 
X-MULE_ENCODING: UTF-8 
WWW-Authenticate: Basic realm=""X12Files"" 
Content-Type: text/plain; charset=UTF-8 
Content-Length: 116 
Connection: close 
Http Basic filter doesnt know how to handle header <script>alert(88585)</script>. Message payload is of type: String 
<code>

containing potential malicious javascript code that the browser will run.

Anytime a message is returned to the client the inputs should be parsed to prevent this kind of problems</code></code></code></code>",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MULE-6501,8.0,"XsltTransformer forcefully evaluate expressions in context-property into Strings This arbitrary limitation prevents passing DOM nodes as XSL parameters :(

It comes from the fact the XSL transformer uses the deprecated {{parse}} method in:
{code:java}
    protected Object evaluateTransformParameter(String key, Object value, MuleMessage message) throws TransformerException
    {
        if (value instanceof String)
        {
            return muleContext.getExpressionManager().parse(value.toString(), message);
        }

        return value;
    }
",<code></code>,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MULE-6512,2.0,MuleMessageToHttpResponse.createResponse shouldn't use SimpleDateFormat We should use JodaTime's DateTimeFormatter since it is thread-safe (we can use one static instance) and faster than creating a new one each time.,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MULE-6557,0.0,"Performance regression when caching JMS Sessions When enabling cacheJmsSessions attribute on the JMS Connector performance drops to a factor of 10.

Attached test case contains an example of this, if runned on mule 3.2.2, it lasts 3 to 5 seconds to process 10k messages, if runned on mule 3.3.0 or 3.3.1, it lasts 30 to 32 seconds to process 10k messages.

This has been tested on ActiveMQ and Websphere Message Broker.",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
