issuekey,storypoint,context,codesnippet,Bug,Epic,Improvement,New Feature,Story,Sub-task,Technical task,Android,BlackBerry,CLI,Code Processor,Core,Drillbit,Hyperloop,LiveView,MobileWeb,Release,TiAPI,Tooling,Windows,iOS
TIMOB-1872,2.0,"Android: Fix AVD naming scheme {html}<div><p>The current script for naming AVDs is based on the download
order of the emulators. For instance if you download API 4 and API
8 and run the API 8 emulator. Then later you download the Google
API emulator 4. It will launch the API 8 emulator.</p>
<p>If possible, we should also try and detect that the problem
exists in their environment and fix the AVDs name to the new
solution based on the contents of the AVD configuration file.</p></div>{html}",,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
TIMOB-2017,1.0,"Android: WebView No Longer Fires Click Event {html}<div><p>Bill triaged the problem.</p>
<p>In April you added this code to disallow registering for touch
on the WebView:</p>
<p><a href=""http://github.com/appcelerator/titanium_mobile/commit/d47e4e06456d033af0eede50469633054bfc65cc#L1R149"">
http://github.com/appcelerator/titanium_mobile/commit/d47e4e06456d0...</a></p>
<p>I'm going to mark this as a regression since I didn't comment on
the commit well enough to know if I disabled it on purpose. Will
need to check interference with clickable items in a webview and
scrolling.</p></div>{html}",,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMOB-2099,1.0,"Android: border properties broken for Label {html}<div><p>Adding ""border:1, borderColor:'black'"" to a label works fine on
1.4.1 under iOS, but not on 1.4.2 under Android. Under android, the
entire label is blacked out, instead of a border being placed
around the label.</p></div>{html}",,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMOB-3588,1.0,"Android: Geolocation displays error alert for Current location {html}<div><p>Steps to Reproduce<br/>
1. Launch KitchenSink<br/>
2. Run Phone &gt; Geolocation<br/>
3. Go back and then go back into geolocation again</p>
<p>Actual Result:<br/>
Alert ""error{<a href=""""></a><a href=""2}"">code</a></p>
<p>Expected Result:<br/>
To return the geolocation values</p>
<p>Note:<br/>
Droid 1 happens on first launch<br/>
Nexus S, sometimes happen on first launch, sometimes require a
second launch<br/>
See also bug # 2418</p>
<p>Tested on:<br/>
Nexus S 2.3.2 Titanium SDK version: 1.7.0 (Apr 12 2011 15:24
rcc9dd9e1)<br/>
Droid 1 2.2.1 Titanium SDK version: 1.7.0 (Apr 12 2011 15:24
rcc9dd9e1)</p></div>{html}",,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMOB-4521,2.0,"Android: Natively Compiled JS Modules h1. Feature
Support natively compiled JavaScript modules like we do on iOS.

h2. Example Module
The following steps create a compiled module that you could distribute as a zip on iOS. Once implemented, the same process would work on Android.

1. Create a new module for Android: titanium create --platform=android --type=module --name=jsmod --id=ti.jsmod --android=/path/to/android-sdk
2. Drop the below in assets/ti.jsmod.js:
{code:title=assets/ti.jsmod.js}
exports.createBox = function() {
    return Ti.UI.createView({
        width: 100, height: 100,
        backgroundColor: 'red'
    });
};
","<code>
3. Drop the below in example/app.js:
{code:title=example/app.js}
var window = Ti.UI.createWindow({ backgroundColor: 'white' });
window.add(require('ti.jsmod').createBox());
window.open();
<code>
4. Enjoy your luscious red rectangle

h2. Workaround
Until this feature is available, you can always distribute just the JS file. Developers can utilize it in its un-compiled state, although your code isn't protected from prying eyes.

h3. Associated Helpdesk Ticket
http://appc.me/c/APP-487811</code></code>",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMOB-4730,2.0,"Android 3.2 Simulator behavior on windows is very poor (not launched at all or useless emulator launched) 1.update your sdk install to include 3.2
2.target 3.2 as the run config and launch the emulator 

results: we see 2 things occur
1.time out with no emulator launched
2. emulator launches, but is useless (half the screen renders, buttons do not work etc)

fwiw, lion and 10.6.8 work as expected

Also, as per Don this is not a studio or TIMOB issue",,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
TIMOB-5010,3.0,"Latest version of Java unusable for building Android projects 1) Download and install latest Java JDK 7
http://www.oracle.com/technetwork/java/javase/downloads/java-se-jdk-7-download-432154.html
2) Create a new Android project and launch to emulator

Results:
build.log has the following contents

Logfile initialized
[INFO] logfile = C:\Users\alan\My Documents\Titanium Studio Workspace\Hello\build.log
[DEBUG] C:\ProgramData\Titanium\mobilesdk\win32\1.8.0.v20110811101746\android\builder.py simulator Hello C:\Users\alan\android-sdk C:\Users\alan\My Documents\Titanium Studio Workspace\Hello com.appcelerator.hello 17 WVGA854
[INFO] Building Hello for Android ... one moment
[ERROR] JDK version 1.7.0 detected, but 1.6 is required

",,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
TIMOB-5749,3.0,"Android: AndroidManifest.xml not properly created when using Ti.Geolocation events Using the code below, the appropriate <uses-permission> entries are not added to the AndroidManifest.xml file to allow for using location services. 

{code:lang=javascript}
var win = Ti.UI.createWindow();
win.open();

var locationAdded = false;
var handleLocation = function(e) {
	if (!e.error) {
		Ti.API.info(e.coords);
	}
};
var addHandler = function() {
	if (!locationAdded) {
		Ti.Geolocation.addEventListener('location', handleLocation);
		locationAdded = true;
	}
};
var removeHandler = function() {
	if (locationAdded) {
		Ti.Geolocation.removeEventListener('location', handleLocation);
		locationAdded = false;
	}
};

Ti.Geolocation.accuracy = Ti.Geolocation.ACCURACY_BEST;
Ti.Geolocation.preferredProvider = Ti.Geolocation.PROVIDER_GPS;
if (Ti.Geolocation.locationServicesEnabled) {
	addHandler();
	
	var activity = Ti.Android.currentActivity;
	activity.addEventListener('destroy', removeHandler);
	activity.addEventListener('pause', removeHandler);
	activity.addEventListener('resume', addHandler);
} else {
	alert('Please enable location services');	
}
</uses-permission>","<code>

The expected values of 

{code:lang=xml}
<uses-permission android:name=""android.permission.ACCESS_MOCK_LOCATION""></uses-permission>
<uses-permission android:name=""android.permission.ACCESS_COARSE_LOCATION""></uses-permission>
<uses-permission android:name=""android.permission.ACCESS_FINE_LOCATION""></uses-permission>
<code>

are absent from the generated AndroidManifest.xml. If you add the following line of code into the above code, the AndroidManifest.xml generates just fine.

{code:lang=javascript}
Ti.Geolocation.getCurrentPosition(function(e) {});
<code></code></code></code>",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
TIMOB-6038,0.5,"Android: Ti.App.Properties - Cannot retrieve property value set in tiapp.xml  1. Include the following code into app.js:

Titanium.UI.setBackgroundColor('white');
var win = Titanium.UI.createWindow();
var text = '' + Ti.App.Properties.getString('appstate');
alert(text);
win.open();

2. Add the following line to tiapp.xml:
<property name=""appstate"" type=""string"">DEV</property>

3. Run the app for Android
Result: See null in the alert dialog

Expected: Should see DEV in the alert dialog

Note: This bug is already fixed for iOS -&gt; http://jira.appcelerator.org/browse/TIMOB-4696",,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMOB-6438,0.0,"iOS : TableView - When running QTS on an iOS device 5.0+, after finishing a test and navigating back to the main list of tests, one cannot run any other tests without terminating the app Steps to reproduce:

Grab the QTS app from git@github.com:appcelerator/titanium_mobile_tests_internal.git

1. Launch the app on an iOS device running iOS 5+
2. Once the app is running, press any table view row (you don't have to run the test)
3. Navigate back to the main table view with all the tests
4. Press a new table view row

Expected result:
Able to run tests one after the other

Actual result:
Pressing the new table view row doesn't launch any new tests",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
