issuekey,storypoint,context,codesnippet,Bug,Epic,Improvement,Story,Technical task,Acceptance Testing,Analytics,Batch,CLI,Configuration,DSL,Documentation,Export,Hadoop,Ingest,Packaging,Performance Testing,REST,Runtime,Stream Module,Testing,UI,YARN Runtime
XD-44,1.0,Redis based repositories should use a NamingStrategy class to calculate the name of the key to use for persistence RedisCounterRepository and RedisGaugeRepository have duplicated code that needs to be factored out into a one place.  One such duplication is the determination of the key name to use for persistence.  This should be abstracted out into a strategy helper class.,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XD-50,2.0,"Add tap support to DIRT syntax:

","<code>
tap @ somechannel --key=value | somecounter
<code>
</code></code>",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
XD-54,1.0,XD Metrics backed Message Counter A Spring Integration based @ServiceActivator that counts the number of messages using the Spring XD metrics support,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XD-56,2.0,Switch to use Lettuce driver for Redis Replace the use of Jedis with Lettuce as it has higher performance,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XD-58,1.0,build.gradle doesn't handle a small handful of libraries Trying to build spring-xd for the first resulted in lots of errors inside STS (I had an empty .m2 repo).,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XD-59,1.0,"Tuple should support storing nested tuples Nested tuple structures shoudl be supported,  getTuple(int index), getTuple(String name)",,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XD-62,5.0,Use the tuple data structure to process data in a spring batch step  Do not require a POJO in order to do end-to-end processing in a batch step.,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XD-65,2.0,Gemfire Sink to update a gemfire cache. Update a gemfire region.,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
XD-68,8.0,"Export of data from HDFS to a relational database Based on a single process running a Spring Batch job, support the ETL of data from HDFS to a RDBMS",,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
XD-71,1.0,"Remove UUID from Tuple class or replace with more efficient implementation The Java UUID class is known not to be the fasted implementation available. 

See https://github.com/stephenc/eaio-uuid and http://mvnrepository.com/artifact/com.eaio.uuid/uuid for high perf impls.  ",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
XD-72,5.0,Provide a http source stream should be able to ingest data from http ,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
XD-100,2.0,"Rename Tuple class in spring-xd-tuple The Tuple classes in Reactor follow the more traditional data structure concept of Tuples, an immutable fixed length sequence of values where each value can have different types.  They are ordered and can often be access by index.

An example in a static language is the Tuple class found in .NET http://msdn.microsoft.com/en-us/library/system.tuple.aspx or in Scala http://www.tutorialspoint.com/scala/scala_tuples.htm

Using this standard definition of a Tuple, they do not support named values.  There is also a different tuple class instance for each length, e.g. Tuple<t1,t2>, Tuple<t1,t2,t3>.

The Tuple class in XD is more like a record or named tuple. 

Python has a named tuple concept - http://docs.python.org/2/library/collections.html#collections.namedtuple

and http://stackoverflow.com/questions/1490413/languages-that-allow-named-tuples shows that other languages use the term 'Record' for a 'named tuple' - Haskell, Standard ML, OCaml, and F#.

http://en.wikibooks.org/wiki/F_Sharp_Programming/Tuples_and_Records#Defining_Records

So boiling it all down, to avoid conflicts of names, and also to open up the possibility of using Reactor tuples as keys (instead of strings for names), we should change the name to either NamedTuple or Record.  ATM, there is no direct relationship between Reactor's Tuple and NamedTuple (such as inheritance) and so probably Record is the way to go.


</t1,t2,t3></t1,t2>",,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XD-103,1.0,"Create XDAdmin server to start container launcher This will launch the RedisContainerLauncher, in future will be able to select from a variety of middleware options.",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XD-104,1.0,Add README to be included in root directory of distribution should explain basic layout of the distribution,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XD-105,1.0,Add LICENSE to be included in root directory of distribution should contain apache licence,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XD-108,1.0,"Build script should not package 'spring-xd-dirt' scripts  We are packaging separate scripts to start XDAdmin and XDContainer.  The Gradle application plugin will generate an unwanted 'spring-xd-dirt' scripts, this should be removed from the bin directory when creating a distribution zip.",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XD-111,5.0,"Create final distribution zip across multiple projects The final directory structure should look like

<install-dir>/xd
<install-dir>/redis
<install-dir>/gemfire

inside the XD directory 

/xd/bin - which has xd-container and xd-admin scripts
/xd/lib

inside the gemfire directory
/gemfire/bin - has the gemfire-server script
/gemfire/lib 

inside the redis directory is 

/redis/redis-latest-v.x.y.z.tar
/redis/README
/readis/install-redis  - script that does the basic 4 commands to install redis.


There should be a gradle task that runs after the distZip task, that will take the contents of different project directories, script diretories and 'redis-binary' directories and creates the final layout for the distribution.</install-dir></install-dir></install-dir>",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XD-114,2.0,"Add install script for Redis This assumes the redis source tar is available under $rootDir/redis/redis-2.6.13.tar.gz

The install script does the following:

- Check the platform OS &amp; arch
- unzip the tar, compile the sources",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
